District,Year,Home Deliveries,Trained as SBAs,Non-Trained as SBAs,Public Institutions,Private Institutions,Public Facility Deliveries (%),Private Facility Deliveries (%),Institutional Deliveries,Reported Deliveries,Reported Live Births,Reported Still Births,Live Birth Rate,Still Birth Rate,Maternal Deaths
Ahilyanagar,2019,67,38,29,22408,51066,30.5,69.5,73474,73541,73144,589,99.201,0.799,27
Akola,2019,27,18,9,23840,8846,72.9,27.1,32686,32713,32429,549,98.335,1.665,28
Amravati,2019,1217,629,588,25200,14787,63,37,39987,41204,41561,683,98.383,1.617,39
Beed,2019,18,7,11,31350,14828,67.9,32.1,46178,46196,46023,369,99.205,0.795,12
Bhandara,2019,20,9,11,11927,4556,72.4,27.6,16483,16503,16454,225,98.651,1.349,7
Buldhana,2019,193,157,36,17402,24513,41.5,58.5,41915,42108,41977,303,99.283,0.717,8
Chandrapur,2019,72,63,9,19316,8102,70.5,29.5,27418,27490,27244,492,98.226,1.774,20
Chh. Sambhaji Nagar,2019,33,17,16,38428,32884,53.9,46.1,71312,71345,71021,373,99.478,0.522,66
Dharashiv,2019,39,34,5,15363,6707,69.6,30.4,22070,22109,22079,196,99.120,0.880,7
Dhule,2019,79,70,9,28891,9314,75.6,24.4,38205,38284,38306,126,99.672,0.328,24
Gadchiroli,2019,843,724,119,14971,680,95.7,4.3,15651,16494,16288,349,97.902,2.098,11
Gondia,2019,17,13,4,13618,3833,78,22,17451,17468,17305,261,98.514,1.486,13
Hingoli,2019,82,34,48,11900,4396,73,27,16296,16378,16328,139,99.156,0.844,4
Jalgaon,2019,14,12,2,29713,43346,40.7,59.3,73059,73073,72787,375,99.487,0.513,24
Jalna,2019,28,8,20,15050,20139,42.8,57.2,35189,35217,35197,322,99.093,0.907,7
Kolhapur,2019,14,6,8,18672,38096,32.9,67.1,56768,56782,56725,240,99.579,0.421,26
Latur,2019,13,9,4,26065,15653,62.5,37.5,41718,41731,41459,313,99.251,0.749,20
Mumbai,2019,41,4,37,68936,78886,46.6,53.4,147822,147863,148692,1646,98.905,1.095,238
Nagpur,2019,22,13,9,36151,34214,51.4,48.6,70365,70387,71317,708,99.017,0.983,185
Nanded,2019,20,12,8,40302,20574,66.2,33.8,60876,60896,60769,284,99.535,0.465,30
Nandurbar,2019,4623,1559,3064,23503,3159,88.2,11.8,26662,31285,30871,510,98.375,1.625,42
Nashik,2019,1554,140,1414,56959,51561,52.5,47.5,108520,110074,109600,1092,99.013,0.987,98
Palghar,2019,406,242,164,31956,23764,57.4,42.6,55720,56126,55858,409,99.273,0.727,18
Parbhani,2019,7,5,2,15059,17470,46.3,53.7,32529,32536,32596,88,99.731,0.269,3
Pune,2019,65,21,44,70476,99087,41.6,58.4,169563,169628,169721,898,99.474,0.526,110
Raigad,2019,330,181,149,12205,27914,30.4,69.6,40119,40449,40362,225,99.446,0.554,15
Ratnagiri,2019,20,9,11,5768,10203,36.1,63.9,15971,15991,16001,133,99.176,0.824,7
Sangli,2019,1,0,1,18057,28013,39.2,60.8,46070,46071,45914,324,99.299,0.701,40
Satara,2019,2,2,0,15553,29092,34.8,65.2,44645,44647,44435,381,99.150,0.850,20
Sindhudurg,2019,7,7,0,4891,2413,67,33,7304,7311,7348,64,99.137,0.863,0
Solapur,2019,17,11,6,27171,46457,36.9,63.1,73628,73645,73616,470,99.366,0.634,64
Thane,2019,1272,43,1229,46616,102933,31.2,68.8,149549,150821,150752,1107,99.271,0.729,66
Wardha,2019,27,20,7,6875,10303,40,60,17178,17205,17243,90,99.481,0.519,29
Washim,2019,28,21,7,8449,4856,63.5,36.5,13305,13333,13297,98,99.268,0.732,2
Yavatmal,2019,7,7,0,23467,18050,56.5,43.5,41517,41524,41498,183,99.561,0.439,26
Ahilyanagar,2018,82,52,30,24607,49006,33.4,66.6,73613,73695,73402,510,99.310,0.690,32
Akola,2018,74,55,19,24042,9176,72.4,27.6,33218,33292,32967,584,98.259,1.741,32
Amravati,2018,1528,546,982,25505,13153,66,34,38658,40186,40103,683,98.325,1.675,38
Beed,2018,18,6,12,32665,14320,69.5,30.5,46985,47003,46789,328,99.304,0.696,13
Bhandara,2018,31,9,22,13146,3613,78.4,21.6,16759,16790,16690,211,98.752,1.248,9
Buldhana,2018,233,186,47,18263,22889,44.4,55.6,41152,41385,41156,405,99.026,0.974,10
Chandrapur,2018,102,34,68,20331,10535,65.9,34.1,30866,30968,30908,557,98.230,1.770,24
Chh. Sambhaji Nagar,2018,126,98,28,37071,33776,52.3,47.7,70847,70973,70086,939,98.678,1.322,70
Dharashiv,2018,65,40,25,16311,6511,71.5,28.5,22822,22887,22854,231,98.999,1.001,7
Dhule,2018,233,198,35,27940,11767,70.4,29.6,39707,39940,39497,466,98.834,1.166,36
Gadchiroli,2018,955,786,169,15433,648,96,4,16081,17036,16802,363,97.885,2.115,12
Gondia,2018,23,17,6,14935,2424,86,14,17359,17382,17232,257,98.531,1.469,5
Hingoli,2018,84,26,58,12698,4121,75.5,24.5,16819,16903,16858,174,98.978,1.022,2
Jalgaon,2018,33,26,7,29945,39747,43,57,69692,69725,69435,414,99.407,0.593,32
Jalna,2018,30,8,22,15777,15645,50.2,49.8,31422,31452,31235,394,98.754,1.246,6
Kolhapur,2018,16,10,6,19769,26194,43,57,45963,45979,45762,329,99.286,0.714,31
Latur,2018,15,8,7,31031,12467,71.3,28.7,43498,43513,43354,217,99.502,0.498,9
Mumbai,2018,31,2,29,68739,78718,46.6,53.4,147457,147488,146609,1690,98.860,1.140,224
Nagpur,2018,21,8,13,36176,34156,51.4,48.6,70332,70353,70103,422,99.402,0.598,164
Nanded,2018,88,39,49,40833,20226,66.9,33.1,61059,61147,60903,362,99.409,0.591,18
Nandurbar,2018,4964,1978,2986,20962,1659,92.7,7.3,22621,27585,27599,439,98.434,1.566,29
Nashik,2018,1347,221,1126,56794,37676,60.1,39.9,94470,95817,95480,1010,98.953,1.047,73
Palghar,2018,529,182,347,31204,20925,59.9,40.1,52129,52658,52407,414,99.216,0.784,19
Parbhani,2018,6,5,1,17615,15880,52.6,47.4,33495,33501,34187,156,99.546,0.454,7
Pune,2018,51,15,36,65445,83993,43.8,56.2,149438,149489,150363,1397,99.079,0.921,135
Raigad,2018,563,319,244,13037,23630,35.6,64.4,36667,37230,37073,276,99.261,0.739,22
Ratnagiri,2018,15,6,9,6333,10861,36.8,63.2,17194,17209,17169,150,99.134,0.866,5
Sangli,2018,0,0,0,18183,25396,41.7,58.3,43579,43579,43425,353,99.194,0.806,36
Satara,2018,2,0,2,16148,27401,37.1,62.9,43549,43551,43226,446,98.979,1.021,25
Sindhudurg,2018,10,5,5,4765,2608,64.6,35.4,7373,7383,7370,82,98.900,1.100,1
Solapur,2018,46,41,5,28119,42475,39.8,60.2,70594,70640,70645,658,99.077,0.923,21
Thane,2018,1284,84,1200,47091,87677,34.9,65.1,134768,136052,135462,1196,99.125,0.875,66
Wardha,2018,29,18,11,6759,10177,39.9,60.1,16936,16965,16973,123,99.281,0.719,25
Washim,2018,21,13,8,8666,6200,58.3,41.7,14866,14887,14948,94,99.375,0.625,2
Yavatmal,2018,25,9,16,24013,17863,57.3,42.7,41876,41901,41892,62,99.852,0.148,25
Ahilyanagar,2017,115,76,39,32720,42961,43.2,56.8,75681,75796,75919,446,99.416,0.584,41
Akola,2017,164,140,24,25398,9908,71.9,28.1,35306,35470,35045,670,98.124,1.876,37
Amravati,2017,1853,655,1198,27163,13581,66.7,33.3,40744,42597,42237,778,98.191,1.809,28
Beed,2017,65,24,41,34948,12362,73.9,26.1,47310,47375,47347,198,99.584,0.416,7
Bhandara,2017,38,15,23,14196,3482,80.3,19.7,17678,17716,17623,259,98.552,1.448,9
Buldhana,2017,295,261,34,19607,13861,58.6,41.4,33468,33763,33729,245,99.279,0.721,15
Chandrapur,2017,160,62,98,22475,5560,80.2,19.8,28035,28195,27804,471,98.334,1.666,20
Chh. Sambhaji Nagar,2017,157,111,46,36300,42805,45.9,54.1,79105,79262,79140,501,99.371,0.629,47
Dharashiv,2017,64,33,31,18292,6455,73.9,26.1,24747,24811,24746,307,98.775,1.225,11
Dhule,2017,320,263,57,26797,12901,67.5,32.5,39698,40018,39923,134,99.665,0.335,13
Gadchiroli,2017,1064,794,270,16235,676,96,4,16911,17975,17738,386,97.870,2.130,12
Gondia,2017,35,22,13,16009,1857,89.6,10.4,17866,17901,17723,287,98.406,1.594,12
Hingoli,2017,118,30,88,14022,4405,76.1,23.9,18427,18545,18502,189,98.989,1.011,5
Jalgaon,2017,192,159,33,32724,36322,47.4,52.6,69046,69238,68870,482,99.305,0.695,20
Jalna,2017,40,9,31,18156,13193,57.9,42.1,31349,31389,31153,331,98.949,1.051,8
Kolhapur,2017,12,6,6,22048,25180,46.7,53.3,47228,47240,47042,256,99.459,0.541,32
Latur,2017,70,52,18,30914,11844,72.3,27.7,42758,42828,42706,292,99.321,0.679,10
Mumbai,2017,26,1,25,73820,78403,48.5,51.5,152223,152249,153958,1989,98.725,1.275,240
Nagpur,2017,35,23,12,39932,29857,57.2,42.8,69789,69824,69361,913,98.701,1.299,199
Nanded,2017,138,68,70,42558,22310,65.6,34.4,64868,65006,64745,539,99.174,0.826,23
Nandurbar,2017,5633,1833,3800,24603,330,98.7,1.3,24933,30566,30302,506,98.358,1.642,31
Nashik,2017,2152,425,1727,57946,36419,61.4,38.6,94365,96517,96095,1238,98.728,1.272,78
Palghar,2017,557,197,360,33195,19917,62.5,37.5,53112,53669,53359,450,99.164,0.836,24
Parbhani,2017,1,0,1,19830,15515,56.1,43.9,35345,35346,35366,120,99.662,0.338,4
Pune,2017,62,7,55,67974,76478,47.1,52.9,144452,144514,143623,1400,99.035,0.965,94
Raigad,2017,570,271,299,13658,20462,40,60,34120,34690,34677,409,98.834,1.166,28
Ratnagiri,2017,16,7,9,7257,10287,41.4,58.6,17544,17560,17467,187,98.941,1.059,7
Sangli,2017,2,1,1,19243,28417,40.4,59.6,47660,47662,47418,255,99.465,0.535,41
