District,Year,Vasectomies,Tubectomies,Private Institutions,Public Institutions,Public Facilities,Private Facilities
Ahilyanagar,2019,64,19948,2842,17170,32774,1289
Akola,2019,94,5122,758,4458,5456,107
Amravati,2019,217,8760,2488,6489,6545,984
Beed,2019,41,12799,810,12030,13702,448
Bhandara,2019,738,4043,19,4762,3081,0
Buldhana,2019,47,7401,142,7306,4986,129
Chandrapur,2019,917,9689,1332,9274,8966,252
Chh. Sambhaji Nagar,2019,26,11046,3854,7218,12128,4454
Dharashiv,2019,3,5518,763,4758,6929,291
Dhule,2019,106,6990,109,6987,6561,159
Gadchiroli,2019,2213,3131,34,5310,2268,7
Gondia,2019,1170,6470,661,6979,2420,5
Hingoli,2019,8,5067,590,4485,4576,224
Jalgaon,2019,8,16273,5249,11032,14428,1348
Jalna,2019,12,6493,1196,5309,8881,550
Kolhapur,2019,151,17074,3879,13346,18469,4096
Latur,2019,36,10838,1375,9499,11982,420
Mumbai,2019,116,17659,10781,6994,20039,19565
Nagpur,2019,384,10527,1708,9203,8126,580
Nanded,2019,17,19045,2458,16604,9908,239
Nandurbar,2019,958,3429,262,4125,4990,616
Nashik,2019,901,19261,2138,18024,25083,1955
Palghar,2019,165,9987,1795,8357,8154,634
Parbhani,2019,6,5882,367,5521,7450,328
Pune,2019,306,35623,10480,25449,21407,5515
Raigad,2019,19,3996,1586,2429,5087,284
Ratnagiri,2019,9,3168,1002,2175,4272,256
Sangli,2019,8,10878,3813,7073,5048,2039
Satara,2019,37,14471,3876,10632,8279,568
Sindhudurg,2019,19,2100,864,1255,3174,6
Solapur,2019,21,18215,3338,14898,19495,867
Thane,2019,24,11668,4930,6762,13678,4422
Wardha,2019,65,6074,1881,4258,5479,498
Washim,2019,3,2957,340,2620,3494,42
Yavatmal,2019,34,11197,965,10266,5527,649
Ahilyanagar,2018,62,20347,2069,18340,31861,1337
Akola,2018,143,4565,1017,3691,6056,256
Amravati,2018,339,8240,1654,6925,5265,907
Beed,2018,32,13943,681,13294,13938,371
Bhandara,2018,832,4474,0,5306,5200,0
Buldhana,2018,38,8926,273,8691,5613,287
Chandrapur,2018,753,9050,1161,8642,9096,220
Chh. Sambhaji Nagar,2018,34,13488,3959,9563,11035,5231
Dharashiv,2018,5,5607,587,5025,5710,90
Dhule,2018,90,7312,133,7269,6668,123
Gadchiroli,2018,1977,3243,24,5196,2272,16
Gondia,2018,1185,6736,564,7357,2443,27
Hingoli,2018,5,5578,607,4976,4985,222
Jalgaon,2018,52,18823,6390,12485,15414,827
Jalna,2018,21,8986,1388,7619,9331,614
Kolhapur,2018,184,16709,3911,12982,20600,4080
Latur,2018,23,11792,1053,10762,13041,1294
Mumbai,2018,185,19263,11011,8437,22182,22862
Nagpur,2018,219,10357,1745,8831,9333,366
Nanded,2018,29,19213,1999,17243,12529,392
Nandurbar,2018,720,4501,0,5221,4984,35
Nashik,2018,1119,23384,2291,22212,21895,2427
Palghar,2018,107,9809,1452,8464,6860,893
Parbhani,2018,33,7535,0,7568,8034,0
Pune,2018,226,39673,13077,26822,23093,6275
Raigad,2018,1,4750,1633,3118,6309,373
Ratnagiri,2018,15,3900,1017,2898,4858,234
Sangli,2018,5,11114,3533,7586,7350,2680
Satara,2018,50,16601,5165,11486,12713,2846
Sindhudurg,2018,21,2016,927,1110,2996,4
Solapur,2018,11,18068,1950,16129,16111,1025
Thane,2018,69,14405,6385,8089,14291,7153
Wardha,2018,89,5711,1935,3865,5027,153
Washim,2018,5,3317,436,2886,3446,11
Yavatmal,2018,19,9500,520,8999,3988,264
Ahilyanagar,2017,62,19757,3633,16186,27529,1262
Akola,2017,249,5961,1176,5034,8013,523
Amravati,2017,602,10412,2177,8837,5341,889
Beed,2017,27,11192,1295,9924,17364,
Bhandara,2017,1219,4775,69,5925,4800,6
Buldhana,2017,64,9432,49,9447,5622,59
Chandrapur,2017,1008,9538,439,10107,10957,118
Chh. Sambhaji Nagar,2017,50,17466,8086,9430,15129,2994
Dharashiv,2017,9,5656,0,5665,7013,0
Dhule,2017,125,7080,65,7140,7584,515
Gadchiroli,2017,2736,3466,8,6194,3039,30
Gondia,2017,1463,7183,737,7909,3049,8
Hingoli,2017,23,5822,651,5194,4679,118
Jalgaon,2017,40,18993,5647,13386,12252,579
Jalna,2017,128,7980,1311,6797,8294,505
Kolhapur,2017,315,18396,4345,14366,22049,2038
Latur,2017,31,11613,373,11271,11846,36
Mumbai,2017,914,20750,11418,10246,23483,24103
Nagpur,2017,249,12717,1939,11027,10742,380
Nanded,2017,30,19097,1895,17232,11572,183
Nandurbar,2017,497,5184,0,5681,5825,0
Nashik,2017,990,21430,2326,20094,15079,2698
Palghar,2017,184,9967,1558,8593,7423,908
Parbhani,2017,26,6899,0,6925,7220,0
Pune,2017,240,41217,14298,27159,26881,3075
Raigad,2017,1,5919,2644,3276,6060,317
Ratnagiri,2017,23,4745,955,3813,6482,280
Sangli,2017,14,11632,3707,7939,14068,0
Satara,2017,44,16709,4431,12322,15588,759
Sindhudurg,2017,46,2216,982,1280,3235,23
Solapur,2017,13,20760,5090,15683,16037,441
Thane,2017,42,12620,4142,8520,13917,3152
Wardha,2017,101,6466,2405,4162,5644,475
Washim,2017,7,4547,567,3987,3280,81
Yavatmal,2017,20,12320,1020,11320,6246,162
Ahilyanagar,2016,53,20343,0,16021,26862,2567
Akola,2016,381,7153,0,5208,8002,1966
Amravati,2016,636,10484,19,8369,5709,1304
Beed,2016,50,13429,7,12523,16629,1596
Bhandara,2016,1117,4419,0,5536,6146,72
Buldhana,2016,140,10642,0,10529,6422,455
Chandrapur,2016,1090,10741,1,10163,10308,1578
Chh. Sambhaji Nagar,2016,47,13426,0,9511,8758,5163
Dharashiv,2016,12,5769,0,5511,6006,510
Dhule,2016,135,7301,4,7096,5632,872
Gadchiroli,2016,2963,3642,6,6599,1717,92
Gondia,2016,1528,6968,0,7881,3491,45
Hingoli,2016,92,6682,0,6061,2436,362
Jalgaon,2016,76,20473,4,13493,12698,1585
Jalna,2016,118,8779,1,7711,8119,842
Kolhapur,2016,670,20000,2,16232,22228,5692
Latur,2016,62,13139,0,10702,7840,1198
Mumbai,2016,720,20682,36,15636,22894,26379
Nagpur,2016,354,14210,1,11100,10959,1617
Nanded,2016,42,19610,0,18533,9246,832
Nandurbar,2016,1111,5796,0,6907,3681,160
Nashik,2016,1126,22689,0,21203,13564,3555
Palghar,2016,230,9969,0,8470,6705,1234
Parbhani,2016,55,7507,0,6668,5213,686
Pune,2016,517,40564,34,28571,27658,9923
Raigad,2016,8,6883,1,4252,6899,930
Ratnagiri,2016,33,5483,0,4456,7641,380
Sangli,2016,36,14127,1,9964,17137,2103
Satara,2016,41,18608,1,13847,15190,649
Sindhudurg,2016,50,2288,0,1505,3756,90
Solapur,2016,23,22454,3,15692,17739,2765
Thane,2016,43,19089,7,10167,10818,9650
Wardha,2016,126,5325,4,4310,7135,916
Washim,2016,25,5131,0,4697,3553,435
Yavatmal,2016,125,13294,0,12340,6390,999
Ahilyanagar,2015,52,21950,0,17802,22494,3313
Akola,2015,521,7479,3,5916,6093,728
Amravati,2015,629,10129,37,8494,6461,1518
Beed,2015,37,13989,0,13127,13378,1862
Bhandara,2015,1159,5051,0,6196,2961,87
Buldhana,2015,43,10508,2,10241,6182,542
Chandrapur,2015,1110,10717,4,10342,6780,538
Chh. Sambhaji Nagar,2015,88,15107,2,12637,9248,4607
Dharashiv,2015,5,7542,0,7178,5324,659
Dhule,2015,249,8148,0,7959,5939,232
Gadchiroli,2015,2817,3421,12,6226,1331,92
Gondia,2015,1686,7067,0,8177,3019,67
Hingoli,2015,57,6729,0,6182,2430,196
Jalgaon,2015,173,22202,2,15706,12423,1681
Jalna,2015,7,8831,0,7269,7121,1158
Kolhapur,2015,665,19266,0,15603,21820,5451
Latur,2015,79,14205,1,12489,7282,1231
Mumbai,2015,800,19255,65,11253,19487,22597
Nagpur,2015,524,13603,39,11554,9113,1630
Nanded,2015,40,18492,0,17294,7596,907
Nandurbar,2015,1098,6163,0,7245,3072,191
Nashik,2015,1243,25110,0,23592,9889,3858
Palghar,2015,256,10181,5,8978,4716,1683
Parbhani,2015,19,7288,0,6879,5191,813
Pune,2015,346,41509,47,27802,23756,10321
Raigad,2015,8,7253,3,4737,6349,1003
Ratnagiri,2015,39,5768,1,4602,6504,380
Sangli,2015,58,14318,0,10289,15867,1812
Satara,2015,88,19291,0,14753,12846,481
Sindhudurg,2015,92,2647,1,1889,4218,155
Solapur,2015,29,22406,3,15960,16351,2664
Thane,2015,178,17832,45,10895,9970,8845
Wardha,2015,182,6545,3,4888,5648,1030
Washim,2015,4,4831,0,4557,3436,554
Yavatmal,2015,72,14796,0,13903,7385,851
Ahilyanagar,2014,54,23277,0,19005,23269,4174
Akola,2014,425,7757,6,5294,5421,966
