District,Year,Infant Deaths Reported,Sepsis x,Asphyxia x,Pneumonia x,Diarrhea x,Fever x,Measles x,Low Birth Weight x,Sepsis,Asphyxia,Pneumonia,Diarrhea,Fever,Measles,Low Birth Weight
Ahilyanagar,2019,738,2.6,5,2.2,0,0.7,0,,,,,,,,
Akola,2019,907,12.7,12.9,7.1,0,0.1,0,,,,,,,,
Amravati,2019,487,9,8.4,2.9,0.6,0.4,0,,,,,,,,
Beed,2019,367,15.5,16.6,3.3,0,0,0,,,,,,,,
Bhandara,2019,239,4.2,9.2,1.3,0,1.3,0,,,,,,,,
Buldhana,2019,296,4.7,9.1,1.7,0,0.7,0,,,,,,,,
Chandrapur,2019,626,13.9,14.1,2.2,0.2,0.3,0,,,,,,,,
Chh. Sambhaji Nagar,2019,995,11,11.8,4.1,0,1.6,0,,,,,,,,
Dharashiv,2019,197,1,8.1,3,0,1.5,0,,,,,,,,
Dhule,2019,541,11.1,20.1,3.9,0.7,0.4,0,,,,,,,,
Gadchiroli,2019,302,13.9,7.9,2.6,0.3,1.3,0,,,,,,,,
Gondia,2019,257,14.4,21.4,3.5,0,0.8,0,,,,,,,,
Hingoli,2019,185,5.4,8.1,1.6,0,1.1,0,,,,,,,,
Jalgaon,2019,349,8.9,12.3,5.4,0.3,0.3,0,,,,,,,,
Jalna,2019,129,1.6,12.4,4.7,0,0,0,,,,,,,,
Kolhapur,2019,575,19.1,10.3,2.6,0.2,0.3,0,,,,,,,,
Latur,2019,101,2,2,3,0,2,0,,,,,,,,
Mumbai,2019,1835,18.4,12.6,8.3,1.6,1.6,0,,,,,,,,
Nagpur,2019,1124,12.5,7.4,1.3,0.2,0,0,,,,,,,,
Nanded,2019,342,0,2.9,0.6,0,9.4,0,,,,,,,,
Nandurbar,2019,612,11.1,10.6,2.8,1,3.4,0,,,,,,,,
Nashik,2019,635,7.7,18.9,5,0.5,1.6,0,,,,,,,,
Palghar,2019,321,4.7,14.6,4,0.3,0,0,,,,,,,,
Parbhani,2019,159,2.5,3.1,1.9,0,0,0,,,,,,,,
Pune,2019,848,18.2,8.4,7.3,0.7,0.5,0,,,,,,,,
Raigad,2019,242,2.1,10.7,2.5,0,0.8,0,,,,,,,,
Ratnagiri,2019,105,9.5,10.5,1,0,0,0,,,,,,,,
Sangli,2019,670,6,17.2,3.1,0.4,0.1,0,,,,,,,,
Satara,2019,339,8.6,16.2,2.1,0,0.3,0,,,,,,,,
Sindhudurg,2019,64,1.6,3.1,0,0,0,0,,,,,,,,
Solapur,2019,779,13.4,12.6,4.9,0,3.1,0,,,,,,,,
Thane,2019,748,5.7,14.7,4.5,0.5,1.2,0,,,,,,,,
Wardha,2019,181,2.2,5,1.1,0.6,0,0,,,,,,,,
Washim,2019,98,11.2,17.3,1,0,0,0,,,,,,,,
Yavatmal,2019,237,5.5,7.2,2.1,0.4,2.1,0,,,,,,,,
Ahilyanagar,2018,792,3.3,11.4,4.5,1,0.6,0,,,,,,,,
Akola,2018,871,11.6,13.8,4.4,0,0.1,0,,,,,,,,
Amravati,2018,601,8.3,9.5,4.5,0.3,0.3,0,,,,,,,,
Beed,2018,356,7,16.6,2.5,0,1.1,0,,,,,,,,
Bhandara,2018,269,10.4,10.8,1.5,0,0.4,0,,,,,,,,
Buldhana,2018,410,8.5,10.5,3.4,0.2,1,0,,,,,,,,
Chandrapur,2018,605,7.8,10.7,1.2,0.3,0.2,0,,,,,,,,
Chh. Sambhaji Nagar,2018,1013,33.2,12.3,0.8,0,0.2,0,,,,,,,,
Dharashiv,2018,185,3.8,4.3,2.7,0,3.8,0,,,,,,,,
Dhule,2018,536,14.2,10.6,4.9,0.6,0.7,0.2,,,,,,,,
Gadchiroli,2018,427,12.9,6.3,5.6,0.2,0.5,0,,,,,,,,
Gondia,2018,298,15.8,20.5,1.7,0,0.7,0,,,,,,,,
Hingoli,2018,215,7.9,12.1,2.3,0,1.9,0,,,,,,,,
Jalgaon,2018,333,4.8,8.7,5.1,0.6,0.9,0,,,,,,,,
Jalna,2018,105,1.9,10.5,1.9,0,2.9,0,,,,,,,,
Kolhapur,2018,514,14,9.9,3.7,0.4,0.2,0,,,,,,,,
Latur,2018,94,6.4,3.2,6.4,4.3,6.4,0,,,,,,,,
Mumbai,2018,1850,15.1,8.6,6.4,0.6,0.6,0.1,,,,,,,,
Nagpur,2018,548,10.6,7.7,1.5,0,1.8,0,,,,,,,,
Nanded,2018,476,2.9,8.2,3.8,0.4,7.6,0,,,,,,,,
Nandurbar,2018,708,11,14.7,4.2,1.3,0.8,0.3,,,,,,,,
Nashik,2018,818,7.8,14.5,5.6,0,0.9,0,,,,,,,,
Palghar,2018,365,4.7,12.1,6.6,0,0,0,,,,,,,,
Parbhani,2018,216,0.9,13.4,3.7,0,0.9,0,,,,,,,,
Pune,2018,1049,13.9,8.6,5.6,0.3,1,0.1,,,,,,,,
Raigad,2018,247,2.4,7.7,6.1,0,1.6,0,,,,,,,,
Ratnagiri,2018,127,16.5,14.2,6.3,0,0.8,0,,,,,,,,
Sangli,2018,783,10.5,15.8,3.3,0.4,2,0.3,,,,,,,,
Satara,2018,333,4.5,8.1,2.4,0,0.3,0,,,,,,,,
Sindhudurg,2018,42,4.8,9.5,7.1,0,0,0,,,,,,,,
Solapur,2018,871,10.9,8,4.4,1.4,3.8,0.2,,,,,,,,
Thane,2018,702,9.3,14.4,6.7,0.1,0.6,0,,,,,,,,
Wardha,2018,221,2.7,8.1,2.3,0,0.5,0,,,,,,,,
Washim,2018,90,6.7,4.4,1.1,0,1.1,0,,,,,,,,
Yavatmal,2018,283,4.2,12.7,2.5,0,0.7,0,,,,,,,,
Ahilyanagar,2017,737,3.3,7.3,2.8,0.7,0.7,0,,,,,,,,
