District,Year,Select Cause,Number
Ahilyanagar,2019,Sepsis,3
Ahilyanagar,2019,Asphyxia,5
Ahilyanagar,2019,Pneumonia,3
Ahilyanagar,2019,Diarrhea,0
Ahilyanagar,2019,Fever,1
Ahilyanagar,2019,Measles,0
Akola,2019,Sepsis,13
Akola,2019,Asphyxia,13
Akola,2019,Pneumonia,8
Akola,2019,Diarrhea,0
Akola,2019,Fever,1
Akola,2019,Measles,0
Amravati,2019,Sepsis,9
Amravati,2019,Asphyxia,9
Amravati,2019,Pneumonia,3
Amravati,2019,Diarrhea,1
Amravati,2019,Fever,1
Amravati,2019,Measles,0
Beed,2019,Sepsis,16
Beed,2019,Asphyxia,17
Beed,2019,Pneumonia,4
Beed,2019,Diarrhea,0
Beed,2019,Fever,0
Beed,2019,Measles,0
Bhandara,2019,Sepsis,5
Bhandara,2019,Asphyxia,10
Bhandara,2019,Pneumonia,2
Bhandara,2019,Diarrhea,0
Bhandara,2019,Fever,2
Bhandara,2019,Measles,0
Buldhana,2019,Sepsis,5
Buldhana,2019,Asphyxia,10
Buldhana,2019,Pneumonia,2
Buldhana,2019,Diarrhea,0
Buldhana,2019,Fever,1
Buldhana,2019,Measles,0
Chandrapur,2019,Sepsis,14
Chandrapur,2019,Asphyxia,15
Chandrapur,2019,Pneumonia,3
Chandrapur,2019,Diarrhea,1
Chandrapur,2019,Fever,1
Chandrapur,2019,Measles,0
Chh. Sambhaji Nagar,2019,Sepsis,11
Chh. Sambhaji Nagar,2019,Asphyxia,12
Chh. Sambhaji Nagar,2019,Pneumonia,5
Chh. Sambhaji Nagar,2019,Diarrhea,0
Chh. Sambhaji Nagar,2019,Fever,2
Chh. Sambhaji Nagar,2019,Measles,0
Dharashiv,2019,Sepsis,1
Dharashiv,2019,Asphyxia,9
Dharashiv,2019,Pneumonia,3
Dharashiv,2019,Diarrhea,0
Dharashiv,2019,Fever,2
Dharashiv,2019,Measles,0
Dhule,2019,Sepsis,12
Dhule,2019,Asphyxia,21
Dhule,2019,Pneumonia,4
Dhule,2019,Diarrhea,1
Dhule,2019,Fever,1
Dhule,2019,Measles,0
Gadchiroli,2019,Sepsis,14
Gadchiroli,2019,Asphyxia,8
Gadchiroli,2019,Pneumonia,3
Gadchiroli,2019,Diarrhea,1
Gadchiroli,2019,Fever,2
Gadchiroli,2019,Measles,0
Gondia,2019,Sepsis,15
Gondia,2019,Asphyxia,22
Gondia,2019,Pneumonia,4
Gondia,2019,Diarrhea,0
Gondia,2019,Fever,1
Gondia,2019,Measles,0
Hingoli,2019,Sepsis,6
Hingoli,2019,Asphyxia,9
Hingoli,2019,Pneumonia,2
Hingoli,2019,Diarrhea,0
Hingoli,2019,Fever,2
Hingoli,2019,Measles,0
Jalgaon,2019,Sepsis,9
Jalgaon,2019,Asphyxia,13
Jalgaon,2019,Pneumonia,6
Jalgaon,2019,Diarrhea,1
Jalgaon,2019,Fever,1
Jalgaon,2019,Measles,0
Jalna,2019,Sepsis,2
Jalna,2019,Asphyxia,13
Jalna,2019,Pneumonia,5
Jalna,2019,Diarrhea,0
Jalna,2019,Fever,0
Jalna,2019,Measles,0
Kolhapur,2019,Sepsis,20
Kolhapur,2019,Asphyxia,11
Kolhapur,2019,Pneumonia,3
Kolhapur,2019,Diarrhea,1
Kolhapur,2019,Fever,1
Kolhapur,2019,Measles,0
Latur,2019,Sepsis,2
Latur,2019,Asphyxia,2
Latur,2019,Pneumonia,3
Latur,2019,Diarrhea,0
Latur,2019,Fever,2
Latur,2019,Measles,0
Mumbai,2019,Sepsis,19
Mumbai,2019,Asphyxia,13
Mumbai,2019,Pneumonia,9
Mumbai,2019,Diarrhea,2
Mumbai,2019,Fever,2
Mumbai,2019,Measles,0
Nagpur,2019,Sepsis,13
Nagpur,2019,Asphyxia,8
Nagpur,2019,Pneumonia,2
Nagpur,2019,Diarrhea,1
Nagpur,2019,Fever,0
Nagpur,2019,Measles,0
Nanded,2019,Sepsis,0
Nanded,2019,Asphyxia,3
Nanded,2019,Pneumonia,1
Nanded,2019,Diarrhea,0
Nanded,2019,Fever,10
Nanded,2019,Measles,0
Nandurbar,2019,Sepsis,12
Nandurbar,2019,Asphyxia,11
Nandurbar,2019,Pneumonia,3
Nandurbar,2019,Diarrhea,1
Nandurbar,2019,Fever,4
Nandurbar,2019,Measles,0
Nashik,2019,Sepsis,8
Nashik,2019,Asphyxia,19
Nashik,2019,Pneumonia,5
Nashik,2019,Diarrhea,1
Nashik,2019,Fever,2
Nashik,2019,Measles,0
Palghar,2019,Sepsis,5
Palghar,2019,Asphyxia,15
Palghar,2019,Pneumonia,4
Palghar,2019,Diarrhea,1
Palghar,2019,Fever,0
Palghar,2019,Measles,0
Parbhani,2019,Sepsis,3
Parbhani,2019,Asphyxia,4
Parbhani,2019,Pneumonia,2
Parbhani,2019,Diarrhea,0
Parbhani,2019,Fever,0
Parbhani,2019,Measles,0
Pune,2019,Sepsis,19
Pune,2019,Asphyxia,9
Pune,2019,Pneumonia,8
Pune,2019,Diarrhea,1
Pune,2019,Fever,1
Pune,2019,Measles,0
Raigad,2019,Sepsis,3
Raigad,2019,Asphyxia,11
Raigad,2019,Pneumonia,3
Raigad,2019,Diarrhea,0
Raigad,2019,Fever,1
Raigad,2019,Measles,0
Ratnagiri,2019,Sepsis,10
Ratnagiri,2019,Asphyxia,11
Ratnagiri,2019,Pneumonia,1
Ratnagiri,2019,Diarrhea,0
Ratnagiri,2019,Fever,0
Ratnagiri,2019,Measles,0
Sangli,2019,Sepsis,6
Sangli,2019,Asphyxia,18
Sangli,2019,Pneumonia,4
Sangli,2019,Diarrhea,1
Sangli,2019,Fever,1
Sangli,2019,Measles,0
Satara,2019,Sepsis,9
Satara,2019,Asphyxia,17
Satara,2019,Pneumonia,3
Satara,2019,Diarrhea,0
Satara,2019,Fever,1
Satara,2019,Measles,0
Sindhudurg,2019,Sepsis,2
Sindhudurg,2019,Asphyxia,4
Sindhudurg,2019,Pneumonia,0
Sindhudurg,2019,Diarrhea,0
Sindhudurg,2019,Fever,0
Sindhudurg,2019,Measles,0
Solapur,2019,Sepsis,14
Solapur,2019,Asphyxia,13
Solapur,2019,Pneumonia,5
Solapur,2019,Diarrhea,0
Solapur,2019,Fever,4
Solapur,2019,Measles,0
Thane,2019,Sepsis,6
Thane,2019,Asphyxia,15
Thane,2019,Pneumonia,5
Thane,2019,Diarrhea,1
Thane,2019,Fever,2
Thane,2019,Measles,0
Wardha,2019,Sepsis,3
Wardha,2019,Asphyxia,5
Wardha,2019,Pneumonia,2
Wardha,2019,Diarrhea,1
Wardha,2019,Fever,0
Wardha,2019,Measles,0
Washim,2019,Sepsis,12
Washim,2019,Asphyxia,18
Washim,2019,Pneumonia,1
Washim,2019,Diarrhea,0
Washim,2019,Fever,0
Washim,2019,Measles,0
Yavatmal,2019,Sepsis,6
Yavatmal,2019,Asphyxia,8
Yavatmal,2019,Pneumonia,3
Yavatmal,2019,Diarrhea,1
Yavatmal,2019,Fever,3
Yavatmal,2019,Measles,0
Ahilyanagar,2018,Sepsis,4
Ahilyanagar,2018,Asphyxia,12
Ahilyanagar,2018,Pneumonia,5
Ahilyanagar,2018,Diarrhea,1
Ahilyanagar,2018,Fever,1
Ahilyanagar,2018,Measles,0
Akola,2018,Sepsis,12
Akola,2018,Asphyxia,14
Akola,2018,Pneumonia,5
Akola,2018,Diarrhea,0
Akola,2018,Fever,1
Akola,2018,Measles,0
Amravati,2018,Sepsis,9
Amravati,2018,Asphyxia,10
Amravati,2018,Pneumonia,5
Amravati,2018,Diarrhea,1
Amravati,2018,Fever,1
Amravati,2018,Measles,0
Beed,2018,Sepsis,7
Beed,2018,Asphyxia,17
Beed,2018,Pneumonia,3
Beed,2018,Diarrhea,0
Beed,2018,Fever,2
Beed,2018,Measles,0
Bhandara,2018,Sepsis,11
Bhandara,2018,Asphyxia,11
Bhandara,2018,Pneumonia,2
Bhandara,2018,Diarrhea,0
Bhandara,2018,Fever,1
Bhandara,2018,Measles,0
Buldhana,2018,Sepsis,9
Buldhana,2018,Asphyxia,11
Buldhana,2018,Pneumonia,4
Buldhana,2018,Diarrhea,1
Buldhana,2018,Fever,1
Buldhana,2018,Measles,0
Chandrapur,2018,Sepsis,8
Chandrapur,2018,Asphyxia,11
Chandrapur,2018,Pneumonia,2
Chandrapur,2018,Diarrhea,1
Chandrapur,2018,Fever,1
Chandrapur,2018,Measles,0
Chh. Sambhaji Nagar,2018,Sepsis,34
Chh. Sambhaji Nagar,2018,Asphyxia,13
Chh. Sambhaji Nagar,2018,Pneumonia,1
Chh. Sambhaji Nagar,2018,Diarrhea,0
Chh. Sambhaji Nagar,2018,Fever,1
Chh. Sambhaji Nagar,2018,Measles,0
Dharashiv,2018,Sepsis,4
Dharashiv,2018,Asphyxia,5
Dharashiv,2018,Pneumonia,3
Dharashiv,2018,Diarrhea,0
Dharashiv,2018,Fever,4
Dharashiv,2018,Measles,0
Dhule,2018,Sepsis,15
Dhule,2018,Asphyxia,11
Dhule,2018,Pneumonia,5
Dhule,2018,Diarrhea,1
Dhule,2018,Fever,1
Dhule,2018,Measles,1
Gadchiroli,2018,Sepsis,13
Gadchiroli,2018,Asphyxia,7
Gadchiroli,2018,Pneumonia,6
Gadchiroli,2018,Diarrhea,1
Gadchiroli,2018,Fever,1
Gadchiroli,2018,Measles,0
Gondia,2018,Sepsis,16
Gondia,2018,Asphyxia,21
Gondia,2018,Pneumonia,2
Gondia,2018,Diarrhea,0
Gondia,2018,Fever,1
Gondia,2018,Measles,0
Hingoli,2018,Sepsis,8
Hingoli,2018,Asphyxia,13
Hingoli,2018,Pneumonia,3
Hingoli,2018,Diarrhea,0
Hingoli,2018,Fever,2
Hingoli,2018,Measles,0
Jalgaon,2018,Sepsis,5
Jalgaon,2018,Asphyxia,9
Jalgaon,2018,Pneumonia,6
Jalgaon,2018,Diarrhea,1
Jalgaon,2018,Fever,1
Jalgaon,2018,Measles,0
Jalna,2018,Sepsis,2
Jalna,2018,Asphyxia,11
Jalna,2018,Pneumonia,2
Jalna,2018,Diarrhea,0
Jalna,2018,Fever,3
Jalna,2018,Measles,0
Kolhapur,2018,Sepsis,14
Kolhapur,2018,Asphyxia,10
Kolhapur,2018,Pneumonia,4
Kolhapur,2018,Diarrhea,1
Kolhapur,2018,Fever,1
Kolhapur,2018,Measles,0
Latur,2018,Sepsis,7
Latur,2018,Asphyxia,4
Latur,2018,Pneumonia,7
Latur,2018,Diarrhea,5
Latur,2018,Fever,7
Latur,2018,Measles,0
Mumbai,2018,Sepsis,16
