District,Year,Oral Polio Vaccine,Bacillus Calmette Guerin (BCG),Hepatitis (Birth Dose),Pentavalent-1,Pentavalent-2,Pentavalent-3,Measles,Measles Rubella,Fully Immunized Children,Rotavirus (1st Dose),Rotavirus (2nd Dose),Rotavirus (3rd Dose),Abscess Cases,Deaths,Other Complications
Ahilyanagar,2019,72650,78904,26808,74046,72798,72837,0,73141,72918,42588,35101,30484,0,0,5
Akola,2019,28088,32427,21433,30948,29960,29942,0,29968,29509,18195,15135,12963,3,0,18
Amravati,2019,35953,52492,25802,48512,46885,46864,0,45480,44980,28507,23848,21033,0,0,0
Beed,2019,41070,46189,17719,48338,47078,47432,0,45529,45051,26966,21648,19433,0,1,0
Bhandara,2019,15370,16465,14397,16085,15915,16118,0,15807,15807,10594,9226,8130,4,0,10
Buldhana,2019,42944,47494,17117,46979,46930,46990,0,46957,46776,28598,24573,21789,1,0,2
Chandrapur,2019,24232,28949,21118,33462,32422,33103,23,32410,32206,20802,17774,16725,1,2,12
Chhatrapati Sambhaji Nagar,2019,71021,71021,66461,74917,73325,73200,0,73062,73062,43683,32874,26911,0,1,0
Dharashiv,2019,23487,28607,14786,30237,28442,28587,444,27402,27600,18341,14609,12647,1,0,24
Dhule,2019,31850,42310,20588,42549,40563,40455,0,39873,39064,26773,22722,19809,0,0,0
Gadchiroli,2019,15725,16959,13816,17196,17389,17670,0,17591,17591,12086,10655,9440,0,0,41
Gondia,2019,15301,17491,10211,18913,18600,19115,0,20407,18714,13084,11512,10360,0,0,2
Hingoli,2019,14440,20065,10576,24144,23833,23776,0,23012,22696,15866,14526,13113,2,0,4
Jalgaon,2019,68891,75347,36341,76104,75839,75985,0,74791,74323,54504,46936,41744,5,0,9
Jalna,2019,37481,42046,20624,41999,40397,39901,0,38535,38436,25925,21389,18551,3,0,157
Kolhapur,2019,53488,59550,41357,57216,56392,61010,0,60962,60935,37155,31767,29376,4,1,13
Latur,2019,41048,43627,22348,47979,45272,42895,0,43117,42083,29616,24837,22269,0,0,0
Mumbai,2019,162510,165359,145106,174405,172880,178586,0,181346,181027,99878,85346,78756,6,5,76
Nagpur,2019,69472,69681,44763,69320,68674,69210,0,70335,69674,37059,31975,29156,0,0,0
Nanded,2019,60768,60637,44286,60697,58986,60141,0,58625,58166,36980,32144,27533,0,1,111
Nandurbar,2019,29166,35397,18670,37638,37198,32314,0,32614,32242,24587,21631,18755,0,0,0
Nashik,2019,86490,122469,57017,126028,121435,120889,0,118488,117452,81634,66879,58438,2,0,15
Palghar,2019,52384,60560,36753,61841,62039,61480,0,61159,60975,37177,31325,26508,0,0,12
Parbhani,2019,23568,36391,13853,37659,36377,35219,0,33952,33879,22357,17906,15573,5,0,58
Pune,2019,136060,174670,121473,166363,168677,172379,0,175860,174280,97229,84221,78406,6,0,151
Raigad,2019,33912,40258,30512,40326,40401,40373,0,40465,40463,24749,20909,18402,1,0,1
Ratnagiri,2019,13721,17280,8460,16533,16084,16051,0,16136,15993,10813,8862,7508,0,0,62
Sangli,2019,45677,60272,19653,51753,50400,52922,32,52386,52236,33438,28995,26758,6,0,16
Satara,2019,44583,45646,20067,46007,45439,46076,0,46151,45908,31774,26708,24736,0,0,3
Sindhudurg,2019,6753,7468,5881,7753,7740,7556,0,7447,7415,5064,4492,3791,0,0,208
Solapur,2019,58895,78492,22710,80110,77152,78286,0,79407,78844,49447,40776,37610,8,2,94
Thane,2019,151134,149308,69007,137546,138369,151036,0,151034,151034,92023,79874,74043,32,1,427
Wardha,2019,16161,17531,13388,18571,18573,18507,0,18504,18504,12698,11199,9590,0,0,2
