District,Year,Abscess Cases,Deaths,Other Complications
Ahilyanagar,2019,0,0,5
Akola,2019,3,0,18
Amravati,2019,0,0,0
Beed,2019,0,1,0
Bhandara,2019,4,0,10
Buldhana,2019,1,0,2
Chandrapur,2019,1,2,12
Chhatrapati Sambhaji Nagar,2019,0,1,0
Dharashiv,2019,1,0,24
Dhule,2019,0,0,0
Gadchiroli,2019,0,0,41
Gondia,2019,0,0,2
Hingoli,2019,2,0,4
Jalgaon,2019,5,0,9
Jalna,2019,3,0,157
Kolhapur,2019,4,1,13
Latur,2019,0,0,0
Mumbai,2019,6,5,76
Nagpur,2019,0,0,0
Nanded,2019,0,1,111
Nandurbar,2019,0,0,0
Nashik,2019,2,0,15
Palghar,2019,0,0,12
Parbhani,2019,5,0,58
Pune,2019,6,0,151
Raigad,2019,1,0,1
Ratnagiri,2019,0,0,62
Sangli,2019,6,0,16
Satara,2019,0,0,3
Sindhudurg,2019,0,0,208
Solapur,2019,8,2,94
Thane,2019,32,1,427
Wardha,2019,0,0,2
Washim,2019,2,0,0
Yavatmal,2019,0,0,7
Ahilyanagar,2018,0,0,2
Akola,2018,2,2,4
Amravati,2018,0,0,5
Beed,2018,0,1,0
Bhandara,2018,0,2,12
Buldhana,2018,8,0,1
Chandrapur,2018,0,0,7
Chhatrapati Sambhaji Nagar,2018,1,2,6
Dharashiv,2018,0,0,15
Dhule,2018,0,0,1
Gadchiroli,2018,5,0,13
Gondia,2018,3,1,0
Hingoli,2018,0,0,19
Jalgaon,2018,0,0,1
Jalna,2018,7,1,45
Kolhapur,2018,0,0,11
Latur,2018,0,0,0
Mumbai,2018,0,8,93
Nagpur,2018,1,0,2
Nanded,2018,0,0,30
Nandurbar,2018,0,0,13
Nashik,2018,1,2,37
Palghar,2018,0,3,4
Parbhani,2018,2,2,15
Pune,2018,4,3,41
Raigad,2018,0,2,3
Ratnagiri,2018,0,0,2
Sangli,2018,0,0,5
Satara,2018,0,0,0
Sindhudurg,2018,0,0,8
Solapur,2018,0,2,0
Thane,2018,34,7,128
Wardha,2018,0,1,14
Washim,2018,0,1,88
Yavatmal,2018,0,0,16
Ahilyanagar,2017,0,0,1
Akola,2017,0,0,2
Amravati,2017,1,0,0
Beed,2017,1,0,0
Bhandara,2017,0,0,10
Buldhana,2017,0,0,6
Chandrapur,2017,1,0,100
Chhatrapati Sambhaji Nagar,2017,0,0,13
Dharashiv,2017,0,0,10
Dhule,2017,0,0,1
Gadchiroli,2017,0,0,132
Gondia,2017,0,1,6
Hingoli,2017,0,0,4
Jalgaon,2017,1,0,0
Jalna,2017,0,0,177
Kolhapur,2017,2,2,15
Latur,2017,0,0,2
Mumbai,2017,1,8,94
Nagpur,2017,1,0,0
