District,Year,Select Effect,Number
Ahilyanagar,2019,Abscess Cases,0
Ahilyanagar,2019,Deaths,0
Ahilyanagar,2019,Other Complications,5
Akola,2019,Abscess Cases,3
Akola,2019,Deaths,0
Akola,2019,Other Complications,18
Amravati,2019,Abscess Cases,0
Amravati,2019,Deaths,0
Amravati,2019,Other Complications,0
Beed,2019,Abscess Cases,0
Beed,2019,Deaths,1
Beed,2019,Other Complications,0
Bhandara,2019,Abscess Cases,4
Bhandara,2019,Deaths,0
Bhandara,2019,Other Complications,10
Buldhana,2019,Abscess Cases,1
Buldhana,2019,Deaths,0
Buldhana,2019,Other Complications,2
Chandrapur,2019,Abscess Cases,1
Chandrapur,2019,Deaths,2
Chandrapur,2019,Other Complications,12
Chhatrapati Sambhaji Nagar,2019,Abscess Cases,0
Chhatrapati Sambhaji Nagar,2019,Deaths,1
Chhatrapati Sambhaji Nagar,2019,Other Complications,0
Dharashiv,2019,Abscess Cases,1
Dharashiv,2019,Deaths,0
Dharashiv,2019,Other Complications,24
Dhule,2019,Abscess Cases,0
Dhule,2019,Deaths,0
Dhule,2019,Other Complications,0
Gadchiroli,2019,Abscess Cases,0
Gadchiroli,2019,Deaths,0
Gadchiroli,2019,Other Complications,41
Gondia,2019,Abscess Cases,0
Gondia,2019,Deaths,0
Gondia,2019,Other Complications,2
Hingoli,2019,Abscess Cases,2
Hingoli,2019,Deaths,0
Hingoli,2019,Other Complications,4
Jalgaon,2019,Abscess Cases,5
Jalgaon,2019,Deaths,0
Jalgaon,2019,Other Complications,9
Jalna,2019,Abscess Cases,3
Jalna,2019,Deaths,0
Jalna,2019,Other Complications,157
Kolhapur,2019,Abscess Cases,4
Kolhapur,2019,Deaths,1
Kolhapur,2019,Other Complications,13
Latur,2019,Abscess Cases,0
Latur,2019,Deaths,0
Latur,2019,Other Complications,0
Mumbai,2019,Abscess Cases,6
Mumbai,2019,Deaths,5
Mumbai,2019,Other Complications,76
Nagpur,2019,Abscess Cases,0
Nagpur,2019,Deaths,0
Nagpur,2019,Other Complications,0
Nanded,2019,Abscess Cases,0
Nanded,2019,Deaths,1
Nanded,2019,Other Complications,111
Nandurbar,2019,Abscess Cases,0
Nandurbar,2019,Deaths,0
Nandurbar,2019,Other Complications,0
Nashik,2019,Abscess Cases,2
Nashik,2019,Deaths,0
Nashik,2019,Other Complications,15
Palghar,2019,Abscess Cases,0
Palghar,2019,Deaths,0
Palghar,2019,Other Complications,12
Parbhani,2019,Abscess Cases,5
Parbhani,2019,Deaths,0
Parbhani,2019,Other Complications,58
Pune,2019,Abscess Cases,6
Pune,2019,Deaths,0
Pune,2019,Other Complications,151
Raigad,2019,Abscess Cases,1
Raigad,2019,Deaths,0
Raigad,2019,Other Complications,1
Ratnagiri,2019,Abscess Cases,0
Ratnagiri,2019,Deaths,0
Ratnagiri,2019,Other Complications,62
Sangli,2019,Abscess Cases,6
Sangli,2019,Deaths,0
Sangli,2019,Other Complications,16
Satara,2019,Abscess Cases,0
Satara,2019,Deaths,0
Satara,2019,Other Complications,3
Sindhudurg,2019,Abscess Cases,0
