District,Year,Maternal Deaths
Ahilyanagar,2019,27
Akola,2019,28
Amravati,2019,39
Beed,2019,12
Bhandara,2019,7
Buldhana,2019,8
Chandrapur,2019,20
Chhatrapati Sambhaji Nagar,2019,66
Dharashiv,2019,7
Dhule,2019,24
Gadchiroli,2019,11
Gondia,2019,13
Hingoli,2019,4
Jalgaon,2019,24
Jalna,2019,7
Kolhapur,2019,26
Latur,2019,20
Mumbai,2019,238
Nagpur,2019,185
Nanded,2019,30
Nandurbar,2019,42
Nashik,2019,98
Palghar,2019,18
Parbhani,2019,3
Pune,2019,110
Raigad,2019,15
Ratnagiri,2019,7
Sangli,2019,40
Satara,2019,20
Sindhudurg,2019,0
Solapur,2019,64
Thane,2019,66
Wardha,2019,29
Washim,2019,2
Yavatmal,2019,26
Ahilyanagar,2018,32
Akola,2018,32
Amravati,2018,38
Beed,2018,13
Bhandara,2018,9
Buldhana,2018,10
Chandrapur,2018,24
Chhatrapati Sambhaji Nagar,2018,70
Dharashiv,2018,7
Dhule,2018,36
Gadchiroli,2018,12
Gondia,2018,5
Hingoli,2018,2
Jalgaon,2018,32
Jalna,2018,6
Kolhapur,2018,31
Latur,2018,9
Mumbai,2018,224
Nagpur,2018,164
Nanded,2018,18
Nandurbar,2018,29
Nashik,2018,73
Palghar,2018,19
Parbhani,2018,7
Pune,2018,135
Raigad,2018,22
Ratnagiri,2018,5
Sangli,2018,36
Satara,2018,25
Sindhudurg,2018,1
Solapur,2018,21
Thane,2018,66
Wardha,2018,25
Washim,2018,2
Yavatmal,2018,25
Ahilyanagar,2017,41
Akola,2017,37
Amravati,2017,28
Beed,2017,7
Bhandara,2017,9
Buldhana,2017,15
Chandrapur,2017,20
Chhatrapati Sambhaji Nagar,2017,47
Dharashiv,2017,11
Dhule,2017,13
Gadchiroli,2017,12
Gondia,2017,12
Hingoli,2017,5
Jalgaon,2017,20
Jalna,2017,8
Kolhapur,2017,32
Latur,2017,10
Mumbai,2017,240
Nagpur,2017,199
Nanded,2017,23
Nandurbar,2017,31
Nashik,2017,78
Palghar,2017,24
Parbhani,2017,4
Pune,2017,94
Raigad,2017,28
Ratnagiri,2017,7
Sangli,2017,41
Satara,2017,20
Sindhudurg,2017,2
Solapur,2017,32
Thane,2017,52
Wardha,2017,26
Washim,2017,1
Yavatmal,2017,21
