District,Year,Inpatients,Outpatients,Given Allopathic Treatment,Received AYUSH Treatment,Outpatients to Inpatients,Major Operations,Minor Operations,Hysterectomies Performed
Ahilyanagar,2019,121386,3084400,2972120,112280,3.9,4977,7449,2051
Akola,2019,138892,1635457,1568057,67400,8.5,7225,2887,48
Amravati,2019,216558,3050813,2797127,253686,7.1,12279,27337,362
Beed,2019,171431,2592209,2432129,160080,6.6,10551,17014,473
Bhandara,2019,107963,2187702,1992093,195609,4.9,10301,7204,147
Buldhana,2019,191694,2695942,2408002,287940,7.1,3636,10002,459
Chandrapur,2019,158843,3439799,3077157,362642,4.6,12181,16506,5340
Chh. Sambhaji Nagar,2019,204862,3693782,3572255,121527,5.5,6248,15449,282
Dharashiv,2019,141539,2366363,2218276,148087,6,6519,15151,313
Dhule,2019,101097,1548341,1464416,83925,6.5,3504,3190,218
Gadchiroli,2019,113306,1774152,1583998,190154,6.4,5280,8554,423
Gondia,2019,83089,1692993,1516031,176962,4.9,3681,8732,837
Hingoli,2019,79151,1292228,1210737,81491,6.1,2865,24503,756
Jalgaon,2019,247110,3237602,3060455,177147,7.6,3917,4241,185
Jalna,2019,103663,1728905,1549400,179505,6,3835,5647,59
Kolhapur,2019,209214,3413177,3199180,213997,6.1,13957,16487,319
Latur,2019,122317,2354537,2105266,249271,5.2,3657,6147,725
Mumbai,2019,640949,14336160,14215166,120994,4.5,65737,57944,5273
Nagpur,2019,111413,3554728,3276318,278410,3.1,12030,13108,93
Nanded,2019,200491,3485874,3267205,218669,5.8,8816,16172,10
Nandurbar,2019,143245,1732062,1652816,79246,8.3,1370,7294,167
Nashik,2019,337823,5749139,5595460,153679,5.9,18807,43318,762
Palghar,2019,152457,3214619,3038157,176462,4.7,4022,10798,345
Parbhani,2019,141433,1987019,1805793,181226,7.1,5653,12187,215
Pune,2019,415482,9126613,8864823,261790,4.6,34681,41339,2242
Raigad,2019,108599,1771403,1591172,180231,6.1,6546,6005,650
Ratnagiri,2019,116039,1623920,1583779,40141,7.1,2863,7326,309
Sangli,2019,155772,2725225,2600204,125021,5.7,9752,8247,694
Satara,2019,138291,2811823,2740352,71471,4.9,5099,13149,162
Sindhudurg,2019,58400,1238084,1180587,57497,4.7,3163,6846,394
Solapur,2019,209267,3434908,3334351,100557,6.1,10093,15732,336
Thane,2019,243555,5812530,5679617,132913,4.2,15157,31061,3186
Wardha,2019,78311,2254882,2032051,222831,3.5,5178,9535,909
Washim,2019,98673,1499797,1369817,129980,6.6,116,2508,3
Yavatmal,2019,141505,2574318,2397373,176945,5.5,517,2308,17
Ahilyanagar,2018,118545,2714028,2595372,118656,4.4,4214,6959,2124
Akola,2018,112973,1423727,1343429,80298,7.9,6959,4183,433
Amravati,2018,203323,2752063,2509013,243050,7.4,11371,24572,439
Beed,2018,143667,2222953,2066437,156516,6.5,10284,14243,924
Bhandara,2018,103534,1814147,1663176,150971,5.7,10780,6499,190
Buldhana,2018,170128,2315900,2042252,273648,7.3,4168,7638,953
Chandrapur,2018,135450,3003856,2679909,323947,4.5,13422,17294,4842
Chh. Sambhaji Nagar,2018,176844,2925488,2824837,100651,6,16961,19865,445
Dharashiv,2018,138704,1879936,1706103,173833,7.4,4633,25653,258
Dhule,2018,75151,1246607,1171836,74771,6,2461,3216,254
Gadchiroli,2018,102486,1576783,1418174,158609,6.5,4786,8119,784
Gondia,2018,80506,1466294,1270842,195452,5.5,9727,8044,2095
Hingoli,2018,77581,943894,845226,98668,8.2,2722,25536,1296
Jalgaon,2018,164698,2690850,2541845,149005,6.1,3792,5807,594
Jalna,2018,98558,1435611,1268305,167306,6.9,3843,5914,262
Kolhapur,2018,213584,3015762,2817917,197845,7.1,13367,17764,431
Latur,2018,101392,1920551,1670635,249916,5.3,3074,7355,1734
Mumbai,2018,607062,14752858,14593520,159338,4.1,72925,79713,8403
Nagpur,2018,98114,3089307,2792214,297093,3.2,11886,15222,253
Nanded,2018,215159,3005084,2736649,268435,7.2,10201,16313,9
Nandurbar,2018,139273,1422906,1358096,64810,9.8,1577,4770,563
Nashik,2018,336711,5047835,4892204,155631,6.7,18406,32599,495
Palghar,2018,146849,3092664,2840748,251916,4.7,4284,9935,230
Parbhani,2018,128790,1875575,1707309,168266,6.9,6601,11780,237
Pune,2018,379096,8922189,8595717,326472,4.2,38274,40901,2655
Raigad,2018,89930,1706155,1537623,168532,5.3,6599,5982,1114
Ratnagiri,2018,116570,1502573,1471662,30911,7.8,2520,9543,324
Sangli,2018,134060,2342159,2215525,126634,5.7,10027,8946,1520
Satara,2018,140746,2298178,2215051,83127,6.1,3688,13534,156
Sindhudurg,2018,55801,999701,912990,86711,5.6,3104,6400,678
Solapur,2018,190951,3090486,3008992,81494,6.2,10447,17270,575
Thane,2018,240580,5179848,5067885,111963,4.6,15319,29032,5258
Wardha,2018,77324,1929314,1681605,247709,4,4317,10367,562
Washim,2018,85004,1141518,1042823,98695,7.4,954,2857,0
Yavatmal,2018,140798,2153486,2008445,145041,6.5,742,2521,177
Ahilyanagar,2017,125742,2569910,2428898,141012,4.9,4433,7141,1557
Akola,2017,116390,1669135,1606583,62552,7,7472,5212,177
Amravati,2017,222996,2637957,2444972,192985,8.5,11007,22427,358
Beed,2017,144091,2168264,2016993,151271,6.6,8292,16891,664
Bhandara,2017,118900,2183305,1991996,191309,5.4,11000,7606,4638
Buldhana,2017,163939,2313895,1994813,319082,7.1,5550,6490,560
Chandrapur,2017,132523,2777687,2509569,268118,4.8,11445,17009,4857
Chh. Sambhaji Nagar,2017,110581,2463714,2318282,145432,4.5,2291,22199,494
Dharashiv,2017,140480,1994962,1816343,178619,7,5422,26823,1353
Dhule,2017,62357,1175601,1072793,102808,5.3,938,2459,226
Gadchiroli,2017,94161,1487448,1337291,150157,6.3,4117,6672,1996
Gondia,2017,78317,1571584,1341939,229645,5,8721,8539,1948
Hingoli,2017,78804,956996,863730,93266,8.2,2625,21870,1127
Jalgaon,2017,158331,2592223,2443680,148543,6.1,3511,6145,476
Jalna,2017,101893,1557582,1387680,169902,6.5,3054,6653,142
Kolhapur,2017,210420,3029637,2828581,201056,6.9,18305,20261,584
Latur,2017,122413,1931145,1665767,265378,6.3,2995,8110,1361
Mumbai,2017,544517,14697902,14508899,189003,3.7,73047,49547,10759
Nagpur,2017,136977,3229627,2940758,288869,4.2,13386,15438,560
Nanded,2017,217822,2771022,2535616,235406,7.9,6832,9927,1515
Nandurbar,2017,121824,1200995,1150272,50723,10.1,2556,2221,213
Nashik,2017,290984,4622215,4483422,138793,6.3,14029,22306,597
Palghar,2017,151525,2937806,2736657,201149,5.2,4552,9794,337
Parbhani,2017,154634,2001603,1857355,144248,7.7,7531,12531,502
Pune,2017,348893,8055081,7733075,322006,4.3,18660,23832,3474
Raigad,2017,91650,1718881,1521544,197337,5.3,4711,5860,1308
Ratnagiri,2017,121029,1456862,1406097,50765,8.3,2303,9815,678
Sangli,2017,151216,2492050,2299398,192652,6.1,7556,15885,1482
Satara,2017,146613,2265104,2165250,99854,6.5,4217,12655,443
Sindhudurg,2017,61733,991876,903237,88639,6.2,3058,5851,306
Solapur,2017,154267,2829096,2743815,85281,5.5,9033,12075,205
Thane,2017,261055,5135340,4996615,138725,5.1,14482,23020,2357
Wardha,2017,72371,1909704,1687675,222029,3.8,3799,9835,514
Washim,2017,67586,1165769,1092185,73584,5.8,1350,2877,86
Yavatmal,2017,156884,2256413,2115092,141321,7,1400,2939,6
Ahilyanagar,2016,128241,3242347,,109926,4,6781,8198,127
Akola,2016,115384,1531757,,94883,7.5,8873,2224,72
Amravati,2016,171150,2525047,,240296,6.8,11943,10802,616
Beed,2016,133755,2268923,,224605,5.9,10507,18526,519
Bhandara,2016,102095,1872526,,218094,5.5,10406,7278,79
Buldhana,2016,159182,2283065,,306396,7,3865,6081,26
Chandrapur,2016,119101,2750773,,287717,4.3,10354,12850,132
Chh. Sambhaji Nagar,2016,98294,2249140,,135487,4.4,627,7721,16
Dharashiv,2016,130588,1971732,,220815,6.6,8648,12921,227
Dhule,2016,93621,1181860,,79060,7.9,626,2668,11
Gadchiroli,2016,93272,1626639,,154942,5.7,4472,7385,57
Gondia,2016,86437,1510052,,248874,5.7,8888,6675,231
Hingoli,2016,80408,947215,,101375,8.5,3196,21036,150
Jalgaon,2016,154282,2595778,,148073,5.9,5363,3725,77
Jalna,2016,108431,1440650,,174334,7.5,2945,6212,107
Kolhapur,2016,158723,2486087,,188169,6.4,8137,12151,489
Latur,2016,102075,2126724,,326729,4.8,4849,6600,237
Mumbai,2016,545630,15835297,,146626,3.4,77810,33059,3487
Nagpur,2016,95524,2716874,,127729,3.5,13571,11441,160
Nanded,2016,209304,2818603,,280436,7.4,5955,7532,109
Nandurbar,2016,114854,1498972,,57798,7.7,2774,2620,186
Nashik,2016,299018,4847566,,206473,6.2,16630,17402,357
Palghar,2016,139228,2358546,,146004,5.9,4925,6903,106
Parbhani,2016,145179,2134978,,214720,6.8,7782,12834,108
Pune,2016,334310,8018642,,246265,4.2,25589,22397,628
Raigad,2016,101080,1689162,,276931,6,5854,6714,266
Ratnagiri,2016,116189,1523593,,100341,7.6,5157,8702,497
Sangli,2016,90445,1808962,,175024,5,9261,6470,524
Satara,2016,135821,2188374,,101670,6.2,8463,14124,133
Sindhudurg,2016,60781,1063206,,80958,5.7,3876,6458,253
Solapur,2016,138737,2658920,,84631,5.2,4400,6046,110
Thane,2016,221577,4827544,,130512,4.6,18557,21226,4017
Wardha,2016,76228,1985832,,260997,3.8,3675,8826,28
Washim,2016,74697,1226618,,79009,6.1,1429,1975,190
Yavatmal,2016,148106,2348308,,130131,6.3,2104,2175,161
Ahilyanagar,2015,141213,3013372,,108867,4.7,7628,7583,153
Akola,2015,117245,1487808,,100746,7.9,9783,6532,86
Amravati,2015,166860,2573696,,248038,6.5,11433,11554,1046
Beed,2015,157608,2593964,,301898,6.1,14083,15741,238
Bhandara,2015,117069,1854042,,196743,6.3,11461,10192,76
Buldhana,2015,163343,2248660,,307704,7.3,5580,6565,347
Chandrapur,2015,127173,2669648,,303141,4.8,11074,10412,119
Chh. Sambhaji Nagar,2015,93238,2307275,,159255,4,894,7203,51
Dharashiv,2015,146320,2039150,,224374,7.2,11131,8139,641
Dhule,2015,78837,1161251,,72187,6.8,1760,3088,41
Gadchiroli,2015,97371,1716623,,171432,5.7,5642,7639,60
Gondia,2015,93820,1454478,,209159,6.5,7960,6162,316
Hingoli,2015,77548,957430,,106836,8.1,4021,21449,92
Jalgaon,2015,174033,2601380,,172323,6.7,6535,3627,56
Jalna,2015,110136,1542454,,186506,7.1,4522,6348,7
Kolhapur,2015,157803,2401600,,189834,6.6,6779,12776,1081
Latur,2015,111566,2177059,,367094,5.1,5472,5640,475
Mumbai,2015,535637,11411014,,88980,4.7,74330,41033,2140
Nagpur,2015,98803,2467996,,173603,4,8510,12540,73
Nanded,2015,190004,2857849,,209883,6.6,7615,7595,75
Nandurbar,2015,110636,1378880,,50647,8,3858,2843,41
