District,Year,Sex Ratio At Birth
Ahilyanagar,2019,916
Akola,2019,926
Amravati,2019,952
Beed,2019,947
Bhandara,2019,942
Buldhana,2019,889
Chandrapur,2019,945
Chhatrapati Sambhaji Nagar,2019,959
Dharashiv,2019,928
Dhule,2019,937
Gadchiroli,2019,944
Gondia,2019,968
Hingoli,2019,948
Jalgaon,2019,917
Jalna,2019,919
Kolhapur,2019,908
Latur,2019,947
Mumbai,2019,940
Nagpur,2019,970
Nanded,2019,998
Nandurbar,2019,938
Nashik,2019,942
Palghar,2019,966
Parbhani,2019,945
Pune,2019,919
Raigad,2019,985
Ratnagiri,2019,952
Sangli,2019,912
Satara,2019,935
Sindhudurg,2019,959
Solapur,2019,942
Thane,2019,962
Wardha,2019,956
Washim,2019,920
Yavatmal,2019,978
Ahilyanagar,2018,912
Akola,2018,924
Amravati,2018,926
Beed,2018,961
Bhandara,2018,924
Buldhana,2018,922
Chandrapur,2018,900
Chhatrapati Sambhaji Nagar,2018,945
Dharashiv,2018,902
Dhule,2018,923
Gadchiroli,2018,923
Gondia,2018,927
Hingoli,2018,901
Jalgaon,2018,919
Jalna,2018,905
Kolhapur,2018,879
Latur,2018,922
Mumbai,2018,930
Nagpur,2018,971
Nanded,2018,982
Nandurbar,2018,943
Nashik,2018,928
Palghar,2018,948
Parbhani,2018,896
Pune,2018,898
Raigad,2018,975
Ratnagiri,2018,944
Sangli,2018,912
Satara,2018,934
Sindhudurg,2018,960
Solapur,2018,884
Thane,2018,960
Wardha,2018,954
Washim,2018,942
Yavatmal,2018,963
Ahilyanagar,2017,902
Akola,2017,911
Amravati,2017,947
Beed,2017,936
Bhandara,2017,948
Buldhana,2017,943
Chandrapur,2017,932
Chhatrapati Sambhaji Nagar,2017,981
Dharashiv,2017,916
Dhule,2017,965
Gadchiroli,2017,937
Gondia,2017,932
Hingoli,2017,925
Jalgaon,2017,910
Jalna,2017,938
Kolhapur,2017,897
Latur,2017,949
Mumbai,2017,944
Nagpur,2017,967
Nanded,2017,997
Nandurbar,2017,910
Nashik,2017,927
Palghar,2017,948
Parbhani,2017,913
Pune,2017,929
Raigad,2017,929
Ratnagiri,2017,923
Sangli,2017,919
Satara,2017,927
Sindhudurg,2017,957
Solapur,2017,969
Thane,2017,949
Wardha,2017,949
Washim,2017,953
Yavatmal,2017,971
Ahilyanagar,2016,895
Akola,2016,905
Amravati,2016,967
Beed,2016,927
Bhandara,2016,944
Buldhana,2016,915
Chandrapur,2016,958
Chhatrapati Sambhaji Nagar,2016,930
Dharashiv,2016,911
Dhule,2016,910
Gadchiroli,2016,937
Gondia,2016,938
Hingoli,2016,916
Jalgaon,2016,901
Jalna,2016,899
Kolhapur,2016,884
Latur,2016,937
Mumbai,2016,940
Nagpur,2016,942
Nanded,2016,964
Nandurbar,2016,923
Nashik,2016,913
Palghar,2016,931
Parbhani,2016,916
Pune,2016,899
Raigad,2016,910
Ratnagiri,2016,940
Sangli,2016,896
Satara,2016,920
Sindhudurg,2016,925
Solapur,2016,902
Thane,2016,930
Wardha,2016,931
Washim,2016,910
Yavatmal,2016,962
Ahilyanagar,2015,906
Akola,2015,933
Amravati,2015,930
Beed,2015,898
Bhandara,2015,950
Buldhana,2015,954
Chandrapur,2015,932
Chhatrapati Sambhaji Nagar,2015,929
Dharashiv,2015,909
Dhule,2015,873
Gadchiroli,2015,951
Gondia,2015,957
Hingoli,2015,953
Jalgaon,2015,898
Jalna,2015,887
Kolhapur,2015,903
Latur,2015,929
Mumbai,2015,924
Nagpur,2015,935
Nanded,2015,1011
Nandurbar,2015,921
Nashik,2015,922
Palghar,2015,941
Parbhani,2015,941
Pune,2015,911
Raigad,2015,930
Ratnagiri,2015,941
Sangli,2015,889
Satara,2015,927
Sindhudurg,2015,935
Solapur,2015,878
Thane,2015,943
Wardha,2015,949
Washim,2015,903
Yavatmal,2015,960
Ahilyanagar,2014,904
Akola,2014,926
Amravati,2014,929
Beed,2014,913
Bhandara,2014,922
Buldhana,2014,934
Chandrapur,2014,964
Chhatrapati Sambhaji Nagar,2014,917
Dharashiv,2014,883
Dhule,2014,894
Gadchiroli,2014,946
Gondia,2014,924
Hingoli,2014,916
Jalgaon,2014,864
Jalna,2014,901
Kolhapur,2014,889
Latur,2014,930
Mumbai,2014,930
Nagpur,2014,953
Nanded,2014,976
Nandurbar,2014,921
Nashik,2014,916
Palghar,2014,932
Parbhani,2014,911
Pune,2014,917
Raigad,2014,909
Ratnagiri,2014,926
Sangli,2014,885
Satara,2014,923
Sindhudurg,2014,926
Solapur,2014,901
Thane,2014,933
Wardha,2014,953
Washim,2014,974
Yavatmal,2014,933
Ahilyanagar,2013,909
Akola,2013,938
Amravati,2013,954
Beed,2013,916
Bhandara,2013,942
Buldhana,2013,962
Chandrapur,2013,942
Chhatrapati Sambhaji Nagar,2013,860
Dharashiv,2013,908
Dhule,2013,876
Gadchiroli,2013,930
Gondia,2013,968
Hingoli,2013,924
Jalgaon,2013,883
Jalna,2013,918
Kolhapur,2013,890
Latur,2013,908
Mumbai,2013,928
Nagpur,2013,954
Nanded,2013,955
Nandurbar,2013,941
Nashik,2013,945
Palghar,2013,990
Parbhani,2013,918
Pune,2013,937
Raigad,2013,910
Ratnagiri,2013,986
Sangli,2013,845
Satara,2013,916
Sindhudurg,2013,944
Solapur,2013,901
Thane,2013,916
Wardha,2013,934
Washim,2013,911
Yavatmal,2013,902
Ahilyanagar,2012,883
Akola,2012,892
Amravati,2012,939
Beed,2012,893
Bhandara,2012,904
Buldhana,2012,875
Chandrapur,2012,936
Chhatrapati Sambhaji Nagar,2012,894
Dharashiv,2012,879
Dhule,2012,882
Gadchiroli,2012,941
Gondia,2012,936
Hingoli,2012,930
Jalgaon,2012,884
Jalna,2012,879
Kolhapur,2012,899
Latur,2012,905
Mumbai,2012,930
Nagpur,2012,950
Nanded,2012,931
Nandurbar,2012,919
Nashik,2012,891
Palghar,2012,0
Parbhani,2012,899
Pune,2012,920
Raigad,2012,904
Ratnagiri,2012,928
Sangli,2012,883
Satara,2012,916
Sindhudurg,2012,994
Solapur,2012,878
Thane,2012,940
Wardha,2012,943
Washim,2012,904
Yavatmal,2012,926
Ahilyanagar,2011,836
Akola,2011,915
Amravati,2011,928
