District,Year,Children,Women,Men,Non-Pregnant Women,Pregnant Women
Ahilyanagar,2015,47.3,46.1,17.3,46.6,35.7
Akola,2015,53.2,38.7,20,38.5,45
Amravati,2015,50.5,42.8,19.4,42.6,49.7
Beed,2015,57.4,36.5,9.9,35.3,54.7
Bhandara,2015,43,52.7,28,52.8,47.7
Buldhana,2015,43.1,41,8.6,41.1,38.4
Chandrapur,2015,58.8,48.7,15.9,49,
Chhatrapati Sambhaji Nagar,2015,38.3,45,17.5,45.2,41.4
Dharashiv,2015,36.7,36.4,15,37,21.8
Dhule,2015,67,53.5,23.9,53.1,65
Gadchiroli,2015,58.3,51.7,31.9,52,44.5
Gondia,2015,57,55.1,28.8,54.9,58.7
Hingoli,2015,51.5,42,13.4,41.2,55.5
Jalgaon,2015,60.2,51.7,28.2,51.6,
Jalna,2015,49.5,43.9,11.4,44.2,37.7
Kolhapur,2015,45.2,46.8,20.8,47.2,
Latur,2015,53.6,37.5,12.8,36.9,50.9
Mumbai,2015,65.7,49.4,23,49.6,
Nagpur,2015,44.7,46.6,19.1,46.7,44.4
Nanded,2015,53.6,47.5,15.5,46.5,64.9
Nandurbar,2015,60.1,60.2,33.6,59.9,65.9
Nashik,2015,52.9,54.7,16.4,54.6,57.3
Parbhani,2015,52.1,46.4,15.9,45.7,57.4
Pune,2015,53.4,50,17.4,50.4,40
Raigad,2015,53.4,53.1,13.3,53.1,50.8
Ratnagiri,2015,50.1,47.3,20.6,47.4,
Sangli,2015,49.6,51.2,19.5,51,
Satara,2015,55.2,49.4,16.6,48.9,
Sindhudurg,2015,39.9,44.4,18.2,44.1,
Solapur,2015,51.5,44.3,14.9,44,51
Thane,2015,54.1,48.4,17.1,48.5,
Wardha,2015,48.5,42.5,24.8,42.4,43.4
Washim,2015,60.3,35.5,20.3,35.3,39.7
Yavatmal,2015,68.9,46.9,21.2,46.1,68.4
Ahilyanagar,2019,64.5,50.3,,50.5,44
Akola,2019,77.5,52.6,,53.2,39.2
Amravati,2019,74.4,53.4,,53.6,43.3
Beed,2019,61,50.8,,51,0
Bhandara,2019,72.8,65.3,,65.4,64.7
Buldhana,2019,79.4,57.8,,58.5,0
Chandrapur,2019,76.6,55.5,,55.9,0
Chhatrapati Sambhaji Nagar,2019,64.5,52.4,,52.6,48.2
Dharashiv,2019,67.4,49.1,,49.3,44.4
Dhule,2019,72.2,61.2,,60.8,70.6
Gadchiroli,2019,76.6,66.2,,67.1,39.3
Gondia,2019,78,60.4,,60.9,43.6
Hingoli,2019,72.5,51.3,,51.2,53.3
Jalgaon,2019,85.2,65.2,,65.3,63.8
Jalna,2019,68.3,58.2,,58.7,47.3
Kolhapur,2019,66.4,50.1,,50.1,48.9
Latur,2019,59.5,50.7,,50.7,51
Mumbai,2019,72.8,45.9,,46.9,19.9
Nagpur,2019,70.5,53.6,,54,0
Nanded,2019,76.1,57.3,,57.5,52.9
Nandurbar,2019,79.3,64.2,,64.1,68.2
Nashik,2019,67.3,56.2,,55.4,73.4
Palghar,2019,70.3,56.9,,57.2,48.5
Parbhani,2019,75.4,58.8,,59.4,48
Pune,2019,58.7,51.9,,53.2,0
Raigad,2019,67,54.2,,53.8,65.7
Ratnagiri,2019,69.4,43.4,,43.4,0
Sangli,2019,62.7,47.5,,47.6,42.3
Satara,2019,68.9,49.6,,50.2,28.8
Sindhudurg,2019,55.6,41.2,,41.3,0
Solapur,2019,70.9,54.5,,55.5,34.1
Thane,2019,67.9,58.8,,58.8,0
Wardha,2019,71.4,60,,60.7,36.5
Washim,2019,70.4,56.4,,57,33.8
Yavatmal,2019,75.2,58.4,,58.5,53.7
