District,Year,Births Registered with Civil Authority
Ahilyanagar,2015,93.4
Akola,2015,98.7
Amravati,2015,97.9
Beed,2015,90.1
Bhandara,2015,99.6
Buldhana,2015,96.9
Chandrapur,2015,98.6
Chhatrapati Sambhaji Nagar,2015,93.6
Dharashiv,2015,92.6
Dhule,2015,96.1
Gadchiroli,2015,99.2
Gondia,2015,99.4
Hingoli,2015,95.4
Jalgaon,2015,92.1
Jalna,2015,95.4
Kolhapur,2015,96.3
Latur,2015,94.9
Mumbai,2015,95
Nagpur,2015,98.4
Nanded,2015,94.1
Nandurbar,2015,84.1
Nashik,2015,94.8
Parbhani,2015,96.2
Pune,2015,95.9
Raigad,2015,98
Ratnagiri,2015,98.8
Sangli,2015,97.4
Satara,2015,97.5
Sindhudurg,2015,100
Solapur,2015,96.2
Thane,2015,93.6
Wardha,2015,98.5
Washim,2015,93.7
Yavatmal,2015,95.8
Ahilyanagar,2019,99.3
Akola,2019,98.8
Amravati,2019,97.1
Beed,2019,91.8
Bhandara,2019,99.5
Buldhana,2019,97.9
Chandrapur,2019,98.1
Chhatrapati Sambhaji Nagar,2019,94.5
Dharashiv,2019,99.7
Dhule,2019,93.6
Gadchiroli,2019,99.6
Gondia,2019,99.6
Hingoli,2019,96
Jalgaon,2019,93.7
Jalna,2019,94.8
Kolhapur,2019,96.6
Latur,2019,94.2
Mumbai,2019,98.6
Nagpur,2019,97.7
Nanded,2019,97.8
Nandurbar,2019,94.6
Nashik,2019,93.6
Palghar,2019,98.8
Parbhani,2019,95.5
Pune,2019,96.5
Raigad,2019,99.7
Ratnagiri,2019,97.8
Sangli,2019,93.8
Satara,2019,96.9
Sindhudurg,2019,98.2
Solapur,2019,97
Thane,2019,96.7
Wardha,2019,98.4
Washim,2019,95.8
Yavatmal,2019,97.2
