District,Year,Cervix Examination,Breast Examination,Oral Cavity Examination
Ahilyanagar,2015,52.8,28.9,14.4
Akola,2015,36.2,9.7,11
Amravati,2015,45.2,20.3,14.9
Beed,2015,52.1,37.4,34
Bhandara,2015,56.2,36.2,14.4
Buldhana,2015,49.7,21.7,7.8
Chandrapur,2015,44.4,12.2,11.3
Chhatrapati Sambhaji Nagar,2015,50.6,25.7,9.3
Dharashiv,2015,49.1,20.4,12.4
Dhule,2015,47.7,38.1,35.6
Gadchiroli,2015,50.1,34,36.6
Gondia,2015,48.6,18,10.6
Hingoli,2015,46,23.8,19.7
Jalgaon,2015,43.4,23.5,13.9
Jalna,2015,49.9,27.3,22.2
Kolhapur,2015,39.8,18.8,11.7
Latur,2015,46.8,14.6,11.8
Mumbai,2015,39.4,26.5,18.6
Nagpur,2015,38,14.8,13
Nanded,2015,45.3,15.8,13.9
Nandurbar,2015,36.9,23.2,13.9
Nashik,2015,30.9,10.7,9.4
Parbhani,2015,55.7,27.4,8.9
Pune,2015,37.2,14.9,12.6
Raigad,2015,34.9,16.4,18.5
Ratnagiri,2015,37.6,15.6,15.7
Sangli,2015,38.3,21.2,16.2
Satara,2015,33.7,13.6,10.5
Sindhudurg,2015,37.7,27.2,23.9
Solapur,2015,45.7,13.3,11.6
Thane,2015,43.8,25.6,14.4
Wardha,2015,43.1,12.9,11.3
Washim,2015,49.9,31.6,29.2
Yavatmal,2015,49.2,35.9,30.9
Ahilyanagar,2019,1.3,0.2,0.2
Akola,2019,1.6,0.4,0.5
Amravati,2019,0.5,0,0
Beed,2019,4.9,0.8,0.7
Bhandara,2019,0.7,0.2,0.5
Buldhana,2019,1,0,0.4
Chandrapur,2019,1,0.2,0.6
Chhatrapati Sambhaji Nagar,2019,2.5,0.2,0.4
Dharashiv,2019,4.3,0,0
Dhule,2019,0.4,0.3,0.2
Gadchiroli,2019,1.1,0.9,0.9
Gondia,2019,0.9,0.6,0.7
Hingoli,2019,0.7,0,0
Jalgaon,2019,0.4,0.3,0.2
Jalna,2019,2.4,1.4,1.9
Kolhapur,2019,9.4,8.5,8.3
Latur,2019,0.9,0.5,0.4
Mumbai,2019,1,0,0.2
Nagpur,2019,0.8,0.3,0.7
Nanded,2019,1.6,0.2,0
Nandurbar,2019,0.7,1.2,0.4
Nashik,2019,0.4,0.2,0
Palghar,2019,1.8,0.4,0
Parbhani,2019,3.8,0.9,0.2
Pune,2019,3.8,2.3,0.9
Raigad,2019,1,0.6,0.4
Ratnagiri,2019,1.4,0.4,0.2
Sangli,2019,3.9,4.1,4.1
Satara,2019,1.2,0.5,0
Sindhudurg,2019,1.9,0.6,0.4
Solapur,2019,1.3,0.3,0.5
Thane,2019,4.3,3,4.8
Wardha,2019,0.4,0,0.2
Washim,2019,1.8,0.6,0.9
Yavatmal,2019,1.3,0.4,0
