District,Year,Select Examination,Percentage
Ahilyanagar,2015,Cervix Examination,52.8
Ahilyanagar,2015,Breast Examination,28.9
Ahilyanagar,2015,Oral Cavity Examination,14.4
Akola,2015,Cervix Examination,36.2
Akola,2015,Breast Examination,9.7
Akola,2015,Oral Cavity Examination,11
Amravati,2015,Cervix Examination,45.2
Amravati,2015,Breast Examination,20.3
Amravati,2015,Oral Cavity Examination,14.9
Beed,2015,Cervix Examination,52.1
Beed,2015,Breast Examination,37.4
Beed,2015,Oral Cavity Examination,34
Bhandara,2015,Cervix Examination,56.2
Bhandara,2015,Breast Examination,36.2
Bhandara,2015,Oral Cavity Examination,14.4
Buldhana,2015,Cervix Examination,49.7
Buldhana,2015,Breast Examination,21.7
Buldhana,2015,Oral Cavity Examination,7.8
Chandrapur,2015,Cervix Examination,44.4
Chandrapur,2015,Breast Examination,12.2
Chandrapur,2015,Oral Cavity Examination,11.3
Chh. Sambhaji Nagar,2015,Cervix Examination,50.6
Chh. Sambhaji Nagar,2015,Breast Examination,25.7
Chh. Sambhaji Nagar,2015,Oral Cavity Examination,9.3
Dharashiv,2015,Cervix Examination,49.1
Dharashiv,2015,Breast Examination,20.4
Dharashiv,2015,Oral Cavity Examination,12.4
Dhule,2015,Cervix Examination,47.7
Dhule,2015,Breast Examination,38.1
Dhule,2015,Oral Cavity Examination,35.6
Gadchiroli,2015,Cervix Examination,50.1
Gadchiroli,2015,Breast Examination,34
Gadchiroli,2015,Oral Cavity Examination,36.6
Gondia,2015,Cervix Examination,48.6
Gondia,2015,Breast Examination,18
Gondia,2015,Oral Cavity Examination,10.6
Hingoli,2015,Cervix Examination,46
Hingoli,2015,Breast Examination,23.8
Hingoli,2015,Oral Cavity Examination,19.7
Jalgaon,2015,Cervix Examination,43.4
Jalgaon,2015,Breast Examination,23.5
Jalgaon,2015,Oral Cavity Examination,13.9
Jalna,2015,Cervix Examination,49.9
Jalna,2015,Breast Examination,27.3
Jalna,2015,Oral Cavity Examination,22.2
Kolhapur,2015,Cervix Examination,39.8
Kolhapur,2015,Breast Examination,18.8
