District,Year,Births Delivered By Caesarean Section,Private Health Facility,Public Health Facility
Ahilyanagar,2015,16.7,18.9,16.5
Akola,2015,23.7,37.1,18.7
Amravati,2015,18.4,32.9,12.9
Beed,2015,11.1,18.3,8.4
Bhandara,2015,25.9,64.5,16.7
Buldhana,2015,13.9,29.9,8.9
Chandrapur,2015,14.5,36.1,8.1
Chh. Sambhaji Nagar,2015,14.4,20.8,8.6
Dharashiv,2015,15.2,27.1,10.6
Dhule,2015,13.9,28.9,12.2
Gadchiroli,2015,11,33.7,7.2
Gondia,2015,16.3,60.1,9.8
Hingoli,2015,11.5,18.5,9.4
Jalgaon,2015,20.2,35.4,10.1
Jalna,2015,10.6,20,7.4
Kolhapur,2015,30.7,48,12.9
Latur,2015,15.9,27.8,9.6
Mumbai,2015,28.5,37.6,23.2
Nagpur,2015,39.3,59.4,33.2
Nanded,2015,13.6,24.8,10.3
Nandurbar,2015,4.5,23.3,2.7
Nashik,2015,16.5,27.9,13.6
Parbhani,2015,13.7,19.9,12.1
Pune,2015,31.9,47.1,15.1
Raigad,2015,23.3,22.7,26
Ratnagiri,2015,22.3,27.8,15.8
Sangli,2015,31.3,41.9,17.5
Satara,2015,29,40.2,9.4
Sindhudurg,2015,22.8,29.1,19.6
Solapur,2015,16.5,24.9,7.3
Thane,2015,22.5,44,8.8
Wardha,2015,25.9,47.5,18.6
Washim,2015,11,23.6,6.6
Yavatmal,2015,9.6,23.7,3.2
Ahilyanagar,2019,28.1,33.7,23
Akola,2019,29.1,42,23.9
Amravati,2019,30.2,58.9,22.7
Beed,2019,17.5,21.6,17.3
Bhandara,2019,31.3,0,30
Buldhana,2019,17.6,28.4,15.6
Chandrapur,2019,20.8,41.7,17.3
Chh. Sambhaji Nagar,2019,17.5,19.5,17.9
Dharashiv,2019,18.5,31.9,13.1
Dhule,2019,17,40.8,11.1
Gadchiroli,2019,17.3,0,12.5
Gondia,2019,27,0,22.1
Hingoli,2019,16.4,29.3,13
Jalgaon,2019,27.5,40.1,22.2
Jalna,2019,15.2,30.4,7.7
Kolhapur,2019,38.1,55.8,18.1
Latur,2019,19,36.5,13.2
Mumbai,2019,30.4,39.1,23.8
Nagpur,2019,33.7,41.4,28.9
Nanded,2019,14,28.8,8.9
Nandurbar,2019,7.9,29,5.6
Nashik,2019,21.2,38.6,12.3
Palghar,2019,22.6,54.4,10.9
Parbhani,2019,12.5,17.4,12.9
Pune,2019,34.6,40.9,28.3
Raigad,2019,26.1,38.9,18
Ratnagiri,2019,30.8,35.7,28
Sangli,2019,34.3,43.2,22.2
Satara,2019,36.2,53,18.1
Sindhudurg,2019,31.8,44.3,25.2
Solapur,2019,21.2,34.9,10.8
Thane,2019,26.6,41.3,17.4
Wardha,2019,24.1,39.3,19
Washim,2019,18,31.3,14.3
Yavatmal,2019,16,32.1,9.9
