District,Year,Avg Delivery Expenditure in Public Facility
Ahilyanagar,2015,4851
Akola,2015,1759
Amravati,2015,6546
Beed,2015,1631
Bhandara,2015,2163
Buldhana,2015,1739
Chandrapur,2015,1803
Chh. Sambhaji Nagar,2015,2924
Dharashiv,2015,2172
Dhule,2015,2491
Gadchiroli,2015,910
Gondia,2015,1447
Hingoli,2015,16010
Jalgaon,2015,2655
Jalna,2015,24453
Kolhapur,2015,2452
Latur,2015,1515
Mumbai,2015,8300
Nagpur,2015,1911
Nanded,2015,1982
Nandurbar,2015,15103
Nashik,2015,1180
Parbhani,2015,3104
Pune,2015,2231
Raigad,2015,3310
Ratnagiri,2015,4895
Sangli,2015,3574
Satara,2015,1867
Sindhudurg,2015,5633
Solapur,2015,1453
Thane,2015,2513
Wardha,2015,2823
Washim,2015,2147
Yavatmal,2015,1954
Ahilyanagar,2019,5575
Akola,2019,1753
Amravati,2019,3557
Beed,2019,3988
Bhandara,2019,2584
Buldhana,2019,2641
Chandrapur,2019,2109
Chh. Sambhaji Nagar,2019,4039
Dharashiv,2019,2654
Dhule,2019,2269
Gadchiroli,2019,1847
Gondia,2019,1684
Hingoli,2019,3114
Jalgaon,2019,3366
Jalna,2019,4178
Kolhapur,2019,2958
Latur,2019,2483
Mumbai,2019,6233
Nagpur,2019,3249
Nanded,2019,2964
Nandurbar,2019,1313
Nashik,2019,1698
Palghar,2019,1948
Parbhani,2019,2779
Pune,2019,3677
Raigad,2019,1676
Ratnagiri,2019,3096
Sangli,2019,3548
Satara,2019,2607
Sindhudurg,2019,3290
Solapur,2019,1910
Thane,2019,2275
Wardha,2019,3482
Washim,2019,3071
Yavatmal,2019,1734
