District,Year,Breastfed Within One Hour Of Birth,Receiving An Adequate Diet
Ahilyanagar,2015,42.5,3.3
Akola,2015,62.9,0
Amravati,2015,57.7,5.2
Beed,2015,56.4,16.3
Bhandara,2015,32.1,0
Buldhana,2015,30.1,0
Chandrapur,2015,67.2,3.6
Chhatrapati Sambhaji Nagar,2015,41.6,0
Dharashiv,2015,62.9,8.9
Dhule,2015,55.1,17.1
Gadchiroli,2015,62.4,8.3
Gondia,2015,69.8,6.1
Hingoli,2015,58.3,8.6
Jalgaon,2015,61.9,2.6
Jalna,2015,61.5,5.2
Kolhapur,2015,53.9,1.7
Latur,2015,49.5,7.3
Mumbai,2015,49.8,6.4
Nagpur,2015,59.6,5.9
Nanded,2015,64.5,3.3
Nandurbar,2015,64.9,2.5
Nashik,2015,64.5,1
Parbhani,2015,49.1,3.7
Pune,2015,62,8.2
Raigad,2015,63.6,8.7
Ratnagiri,2015,58.1,9.1
Sangli,2015,52.4,6.8
Satara,2015,66.5,1.2
Sindhudurg,2015,56.5,20.2
Solapur,2015,59.6,6.7
Thane,2015,58.4,9
Wardha,2015,56.9,4.8
Washim,2015,60.5,10.4
Yavatmal,2015,60.9,9.8
Ahilyanagar,2019,50.5,9.8
Akola,2019,63.1,4
Amravati,2019,54.7,13.4
Beed,2019,45.8,3.2
Bhandara,2019,60.5,8.4
Buldhana,2019,64.4,4.1
Chandrapur,2019,65.5,6.8
Chhatrapati Sambhaji Nagar,2019,39.9,11.7
Dharashiv,2019,61.3,12.8
Dhule,2019,46.3,11.4
Gadchiroli,2019,66,4.5
Gondia,2019,58.9,7.2
Hingoli,2019,55.4,11.5
Jalgaon,2019,46.2,15.6
Jalna,2019,66.1,5.2
Kolhapur,2019,45.2,15.1
Latur,2019,45.3,14
Mumbai,2019,51,14.1
Nagpur,2019,68.4,4.6
Nanded,2019,52.7,3.8
Nandurbar,2019,51.9,9.6
Nashik,2019,46.5,13.5
Palghar,2019,60.1,5.2
Parbhani,2019,47.2,1.9
Pune,2019,54.8,9.6
Raigad,2019,52.4,5.9
Ratnagiri,2019,45.7,8.6
Sangli,2019,46.5,5.3
Satara,2019,46.4,15.9
Sindhudurg,2019,65.3,2.6
Solapur,2019,51.1,7.9
Thane,2019,54.3,4.6
Wardha,2019,51.6,7.3
Washim,2019,68.8,3.3
Yavatmal,2019,58,2.6
