District,Year,Iodized Salt,Clean Fuel for Cooking,Improved Drinking Water Source,Improved Sanitation Facility,Health Insurance Or Financing Scheme
Ahilyanagar,2015,94.9,57.8,86.1,50.8,10
Akola,2015,98.7,43.1,97.4,46.5,16.1
Amravati,2015,97.1,50.3,95.8,64.5,24.3
Beed,2015,95.4,28,86.1,39.7,13.1
Bhandara,2015,99,47.7,85.9,67.3,16.1
Buldhana,2015,99.6,33.1,86.8,45.7,18.8
Chandrapur,2015,99.2,47.2,84,53.9,11.3
Chhatrapati Sambhaji Nagar,2015,98.2,54.6,88.4,45.3,9.5
Dharashiv,2015,98.6,31.8,89,27.3,6.8
Dhule,2015,96.9,41,93.8,32,22.7
Gadchiroli,2015,98.2,22.4,86.1,32.6,19.6
Gondia,2015,98.8,23.8,78.8,55.4,16
Hingoli,2015,98.9,25.6,86,40.3,14.4
Jalgaon,2015,98.6,52.9,96,42.1,11.5
Jalna,2015,99.8,20.7,72.6,34,11.2
Kolhapur,2015,94.9,64,95.4,67,10.1
Latur,2015,97.4,32.4,93,39.7,19.7
Mumbai,2015,98.1,89.2,99.6,39.2,14.7
Nagpur,2015,94.4,75.7,95.4,71.1,18
Nanded,2015,95.8,32.4,88.3,43.8,18.9
Nandurbar,2015,98.5,19.1,83.7,23.6,12.5
Nashik,2015,97.2,65.7,89.7,52.8,12.3
Parbhani,2015,99.1,26.6,89.9,34,10.3
Pune,2015,95.7,81.4,95.3,63.5,21.4
Raigad,2015,93.8,75.6,93.6,75.4,18.9
Ratnagiri,2015,85.1,34.2,85,67.8,9.8
Sangli,2015,96.2,63.2,95.8,68.8,10.3
Satara,2015,93.3,57,93,63.8,8.9
Sindhudurg,2015,88.1,38.7,75.1,77.6,10.8
Solapur,2015,96.4,50.7,86.9,49.3,21.5
Thane,2015,93.5,76.7,92,64.7,15.7
Wardha,2015,98.7,54.9,93.7,56.9,14.8
Washim,2015,97.2,33.9,88.1,41.5,17.6
Yavatmal,2015,98,37.2,80.8,43.7,14.9
Ahilyanagar,2019,95.5,77.4,90,79.5,12
Akola,2019,95.2,75.5,95.1,69.5,40.1
Amravati,2019,98.5,71.7,95.8,75.7,31.9
Beed,2019,96.3,54.4,85.4,66.4,9.3
Bhandara,2019,95.4,71.4,92,81.8,30
Buldhana,2019,97.8,69.2,89.7,68.9,37.9
Chandrapur,2019,97.4,85.1,96.5,77.3,28.9
Chhatrapati Sambhaji Nagar,2019,98.9,78.4,91.7,69.1,12.4
Dharashiv,2019,97.5,69.7,96.4,71.2,14.8
Dhule,2019,98,65.1,89.9,58.9,19.8
Gadchiroli,2019,97.7,60.5,83,62.4,33.3
Gondia,2019,98,68,91.6,74.3,30.6
Hingoli,2019,99,53.1,92.4,69,14.7
Jalgaon,2019,96.8,79.5,94.3,59.7,11.9
Jalna,2019,97.6,56.4,82.8,63.6,9.7
Kolhapur,2019,97.7,84.7,97.3,82,16.5
Latur,2019,97.8,78.5,94.6,72.5,33.6
Mumbai,2019,98.3,98.3,100,58.6,30.7
Nagpur,2019,97.6,96,99.5,88.9,25.6
Nanded,2019,96.9,64.5,94.8,68,15.7
Nandurbar,2019,97.6,40.3,94.6,54.1,15.3
Nashik,2019,91.6,72.5,86.3,68.3,14.7
Palghar,2019,86.5,75,91.1,75.1,18.8
Parbhani,2019,95.1,54.8,89,60.1,10.5
Pune,2019,97,89.5,96.9,79.6,14.4
Raigad,2019,80.3,83.3,87.8,74.8,26.3
Ratnagiri,2019,91.1,58.1,90.9,85.6,16.6
Sangli,2019,98.8,87.3,96.8,84.7,12.3
Satara,2019,93.9,82.1,95.6,78.7,11.4
Sindhudurg,2019,94.9,66,73.2,87.9,13.2
Solapur,2019,96.5,73.1,90.4,67.8,20.5
Thane,2019,97.5,90.4,96.7,74.7,22.7
Wardha,2019,97.9,83.9,98.5,80.2,27.1
Washim,2019,96.5,61.4,73.7,61.5,24.1
Yavatmal,2019,94.6,71.8,89.5,66.4,29
