District,Year,Use of Any Family Planning Methods,Any Modern Family Planning Method,Female Sterilization,Male Sterilization,IUD Or PPIUD,Birth Control Pill,Condom,Married Women (15-49 Years),All Women
Ahilyanagar,2015,48.4,47.5,40.3,0,2.1,1.5,3.4,12.1,4
Akola,2015,67.4,65.7,51.7,0.4,1.2,2.2,9.9,8.3,3.6
Amravati,2015,72.4,70.7,56.3,2.1,1.8,1.9,8.6,6.7,3.7
Beed,2015,67.1,65.3,54.2,0,2.2,2.1,6.5,8.4,4.1
Bhandara,2015,77.4,73.1,58,8,0.4,0.9,5.8,5.6,2.6
Buldhana,2015,73.4,69.9,50.4,1.2,1.3,3.5,13.4,5.9,1.9
Chandrapur,2015,73.2,70.6,62.3,1.9,0.6,0.5,5.3,7.7,4.8
Chhatrapati Sambhaji Nagar,2015,64.6,63,42,0,2.4,5.4,12.2,9.1,3.1
Dharashiv,2015,70.3,69,59.7,0,2.7,1,5.5,7.6,4
Dhule,2015,63.8,62.1,53.9,0.7,1.4,1.7,4.2,8.5,4.8
Gadchiroli,2015,75.1,73.8,62.8,5.6,0.8,0.7,3.9,5.5,3.5
Gondia,2015,67.7,65.6,55,6.8,0,0.3,3.5,8.8,4.2
Hingoli,2015,66.9,66,57.3,0,0.9,1.3,6.5,7.7,3.9
Jalgaon,2015,65.3,64.2,52.7,0.5,2.2,1.8,6.9,11,5.8
Jalna,2015,65,64,50.7,0,1.3,2.3,9.6,8.6,3.8
Kolhapur,2015,53.7,53.2,47.6,0,1.7,0.5,3.4,11.2,3.5
Latur,2015,67.4,65.5,58.1,0,1.8,1.6,3.6,8.9,6
Mumbai,2015,59.6,53.1,36.1,0,2,3.1,11.7,13.7,3.1
Nagpur,2015,69.1,67.9,52.4,0.1,0.9,1.4,13,8.7,4.4
Nanded,2015,60.9,59.5,54.3,0,1,0.9,3.5,10.4,5
Nandurbar,2015,55.3,53.3,47.8,1.2,0.3,1,2.9,11.7,4.8
Nashik,2015,67.5,66,51.6,0,2.6,3.7,7.3,10.2,3.5
Parbhani,2015,69.6,68.3,56.1,0.2,1.9,2.7,6.6,7.5,3.3
Pune,2015,70.6,69.8,55.5,0,1.7,2.9,8.4,8.5,5.1
Raigad,2015,63.6,60,46.7,0,3,2.8,6.7,8.7,3.4
Ratnagiri,2015,38.3,38.3,34,0.2,0.5,0.7,2.8,15.8,6.6
Sangli,2015,52,51.8,45.4,0,1.6,0.6,3.7,10.7,3.6
Satara,2015,62.5,62.3,56.9,0.4,1.3,1,2.7,12,7.1
Sindhudurg,2015,50,48.4,42.6,0.2,1.2,0.6,3.9,12,6
Solapur,2015,64.4,63.4,58.6,0,1,1.2,2.2,8.2,4.9
Thane,2015,65.5,61,47.3,0.2,1.8,2.9,8.8,9.9,3.6
Wardha,2015,78.2,75.5,65,2.1,1.3,0.9,6.1,4.6,2.7
Washim,2015,75.5,74.6,62,0.3,1.1,0.3,10.5,6.5,3.7
Yavatmal,2015,71.6,69.9,60.5,0,0.8,1.3,7,8.2,5
Ahilyanagar,2019,69.5,67.4,56.6,0,1.7,1,8,8.3,2.6
Akola,2019,77,72.8,48.6,0.6,2.9,3.8,16.3,6.8,3.7
Amravati,2019,79.2,77.7,56.4,1.3,1.3,3.7,14.4,4.6,2.5
Beed,2019,58.1,56.7,42.9,0,3,2.2,8.4,13.9,4.5
Bhandara,2019,77.5,75.6,63.3,2.5,1.1,1.6,6.7,6.1,2.4
Buldhana,2019,81.1,78.1,56.1,0.7,2.9,2.3,14.7,4.4,1.4
Chandrapur,2019,80.1,78.1,60.1,1.6,3.1,1,11.9,4.5,2.7
Chhatrapati Sambhaji Nagar,2019,48.1,46,28.8,0,2.4,2.8,11.7,17.1,5.1
Dharashiv,2019,78.9,77.1,62.1,0,1.7,3,9.7,6.4,3.3
Dhule,2019,51.9,50.3,41.2,0.3,1,1.1,6.7,13.1,5
Gadchiroli,2019,76.5,76,50.6,13,0.6,1.2,10.1,5.6,3.2
Gondia,2019,78.3,77.8,62.3,5.8,0.9,1.1,6.6,7.8,2.4
Hingoli,2019,73.1,72.9,58.7,0,1.3,3.5,8.8,10.4,5.6
Jalgaon,2019,44,43.6,35.4,0,1.8,0.6,5.6,14.9,4.9
Jalna,2019,49.7,48.9,34.7,0.1,1.6,2.6,9.6,13.1,3.9
Kolhapur,2019,71.4,69.2,60.2,0,0.4,1.7,6.6,8.1,3.5
Latur,2019,78.2,77.2,64,0,0.9,2.7,9.5,4.6,3.3
Mumbai,2019,74.3,71.7,47,0,4.1,1.9,18.1,4.9,1.9
Nagpur,2019,84.1,81.2,61,0.6,3.5,1.7,14,4.2,2.6
Nanded,2019,68.1,67.3,58.5,0,1.5,1.6,5.3,9.2,4.3
Nandurbar,2019,62.6,61.2,50.7,2,1.2,3.4,3.6,9.7,3.7
Nashik,2019,55,54,41.3,0.3,1.5,1.8,8.8,12,4.6
Palghar,2019,71.8,66,49.6,0.1,1.2,1.9,12.4,8.2,4
Parbhani,2019,42,41.5,33.5,0,1.3,1,5.4,18.5,6.1
Pune,2019,57.8,55.9,43.3,0,2.3,2.3,7.6,13.7,5.2
Raigad,2019,73.6,70.9,55.1,0,1.5,2.2,11.6,6.1,3.4
Ratnagiri,2019,62.3,60.5,50.1,0,1.6,1,7.6,10.4,3.8
Sangli,2019,67.1,64.7,56.5,0.3,1.1,0.9,5.7,10.4,4.7
Satara,2019,74.7,72.8,61.8,0.1,2.4,1,7.4,6.2,3
Sindhudurg,2019,58.7,56.8,45.9,0,1.2,1.2,8.5,12.1,4.6
Solapur,2019,75.7,74.2,66.4,0,1.7,2.3,3.7,5.6,1.7
Thane,2019,61.6,57.1,37.6,0,1.7,1.7,16.1,10.3,5.3
Wardha,2019,79.2,78.1,64.3,0.4,1.5,2.4,8.6,6.6,3.7
Washim,2019,71.3,68.3,54.8,0.3,1.3,0.9,10.7,8,4
Yavatmal,2019,78.3,75.7,64.6,0,1.7,1,7.5,5.5,2.9
