District,Year,Women (High),Men (High),Women,Men
Ahilyanagar,2015,4.3,5.1,2.1,0.9
Akola,2015,5.3,8.9,2.5,4.7
Amravati,2015,5.9,7.9,2.6,3.1
Beed,2015,4.9,0.9,2.3,0.9
Bhandara,2015,4.7,9.3,2.3,4.2
Buldhana,2015,3.5,3.1,1.6,1.8
Chandrapur,2015,4.1,7.6,1.3,2.6
Chhatrapati Sambhaji Nagar,2015,4.5,4.8,1.5,1.1
Dharashiv,2015,4.6,6.5,2.1,0
Dhule,2015,5.7,7.7,2.5,4.2
Gadchiroli,2015,4,4.4,1.1,1.4
Gondia,2015,4.6,10.4,1.9,3.5
Hingoli,2015,4.4,6.9,2.5,3
Jalgaon,2015,4.5,3.6,1.6,3
Jalna,2015,2.5,2.2,1.4,1.5
Kolhapur,2015,6.1,5,3.7,3.6
Latur,2015,3.6,6.7,1.8,4.7
Mumbai,2015,11.8,14,3.9,6.6
Nagpur,2015,4.8,10.6,2.1,6.1
Nanded,2015,2.8,6.4,1.2,2.4
Nandurbar,2015,3.7,4.9,1.2,0
Nashik,2015,4.7,6.1,1.8,1.9
Parbhani,2015,4.1,8.7,1.2,4.2
Pune,2015,4.6,4,2.3,3.4
Raigad,2015,6.3,11.1,2.7,2.9
Ratnagiri,2015,5.8,10.6,2.8,3.9
Sangli,2015,6.1,8.9,3.1,7.1
Satara,2015,4.4,2.1,2.7,2.1
Sindhudurg,2015,8.6,12.1,5.1,5.7
Solapur,2015,6.4,6.3,2.7,1.8
Thane,2015,4.1,4.5,1.6,0
Wardha,2015,4.2,3.9,1.4,2.2
Washim,2015,4,8.9,2,4
Yavatmal,2015,3.5,5.3,1.6,3
Ahilyanagar,2019,5,5.4,4.4,5.2
Akola,2019,5.1,5.7,3.5,3.2
Amravati,2019,5.1,7.1,4.5,4.9
Beed,2019,5.2,6,3.8,5.5
Bhandara,2019,5.6,5.6,4,3.9
Buldhana,2019,6.4,5.2,2.9,2.9
Chandrapur,2019,5.2,6.3,2.4,3.8
Chhatrapati Sambhaji Nagar,2019,6.5,8,5.5,5
Dharashiv,2019,4.9,5.8,3.8,4.4
Dhule,2019,5.5,6.7,6.3,6.1
Gadchiroli,2019,4.3,5.4,2.3,4.3
Gondia,2019,3.7,6,3.3,3.9
Hingoli,2019,5.3,5.5,4.5,4.6
Jalgaon,2019,5.7,7.1,5.9,7.1
Jalna,2019,5.5,7.4,4.4,4.8
Kolhapur,2019,5.8,7.9,7.2,7.1
Latur,2019,5.5,5.4,3.6,4.3
Mumbai,2019,9.2,11.4,6.3,6.1
Nagpur,2019,6,7,3.9,4.3
Nanded,2019,4.9,5.5,3.6,5.8
Nandurbar,2019,5.5,4.8,4.3,4.6
Nashik,2019,4.4,5.2,4.8,5.6
Palghar,2019,4.9,6.5,6.1,5.6
Parbhani,2019,6,5.7,4.8,6.4
Pune,2019,4.2,7.2,5.4,6.5
Raigad,2019,5.1,6.5,5.4,6.1
Ratnagiri,2019,8.1,6.2,7.7,9.3
Sangli,2019,8.3,10.5,5.6,6.1
Satara,2019,5.1,4,5.1,6.9
Sindhudurg,2019,9.6,9.4,9.7,12.7
Solapur,2019,4.8,5.2,5.1,6.4
Thane,2019,6.5,5.9,7.8,6.7
Wardha,2019,4.5,5.4,3.7,4.4
Washim,2019,4,4.9,3,3.5
Yavatmal,2019,5.8,5.4,4.3,4.1
