District,Year,Women with Mildly Elevated Blood Pressure,Women,Men with Mildly Elevated Blood Pressure,Men
Ahilyanagar,2015,4.9,2.7,5,7.8
Akola,2015,6.9,2.9,10,2.9
Amravati,2015,7.4,3,10.6,4.800000000000001
Beed,2015,6.1,1.9,7,0.8
Bhandara,2015,7.9,2.8,11.4,1.6
Buldhana,2015,8,1.8,11.7,4
Chandrapur,2015,6.1,2.5,8.6,4.7
Chhatrapati Sambhaji Nagar,2015,6.9,1.9,8,4.9
Dharashiv,2015,6.3,2.3,17.6,2.2
Dhule,2015,6.9,2.1,17.6,4.2
Gadchiroli,2015,5.5,1.4,8.9,2.4
Gondia,2015,8.4,3.8,9.2,7.5
Hingoli,2015,9.6,1.7,11.8,3.9
Jalgaon,2015,7.5,2.2,10.2,7.8
Jalna,2015,7.5,2.2,14.8,0.8
Kolhapur,2015,9,4.2,16.6,5.6
Latur,2015,5.8,1.9,12.7,4.3
Mumbai,2015,11.1,1.4,25.9,9.3
Nagpur,2015,7.2,1.5,16.3,5.1
Nanded,2015,6,2.4,14.7,2.5
Nandurbar,2015,6.5,1.7,14.8,4.800000000000001
Nashik,2015,4.7,1,10,1
Parbhani,2015,6.6,1.3,12.4,5.4
Pune,2015,6.3,1.5,6.3,7.5
Raigad,2015,7.4,1.6,15.9,2.4
Ratnagiri,2015,9,2.6,25.5,3.4
Sangli,2015,6.8,2.6,15,3.2
Satara,2015,8.1,2.3,14.1,2.8
Sindhudurg,2015,10.2,3.2,18.7,10
Solapur,2015,6.1,2.5,13.7,3.6
Thane,2015,7.2,2.3,10,4.8
Wardha,2015,7.5,2.3,10.2,0.5
Washim,2015,5.8,2.1,10.5,4.6
Yavatmal,2015,5.6,1.8,2.6,3.5
Ahilyanagar,2019,13.4,5.1,16,6.3
Akola,2019,11.7,4.2,12.6,4.2
Amravati,2019,10.9,4.8,12,4.1
Beed,2019,15,8,16.9,5.9
Bhandara,2019,12.2,4.7,11.4,4.1
Buldhana,2019,12.6,4.7,14.2,3.5
Chandrapur,2019,12.4,4.8,14,4.1
Chhatrapati Sambhaji Nagar,2019,11.5,5.2,14.3,4
Dharashiv,2019,14.1,6.3,18.1,6.4
Dhule,2019,10.4,5.8,15.8,5.3
Gadchiroli,2019,10.4,3.1,11.1,3.7
Gondia,2019,11.6,5.5,10.9,5
Hingoli,2019,10.7,3.5,11.4,3.8
Jalgaon,2019,10.9,5.4,15.6,6.2
Jalna,2019,12.5,4.2,17.9,3.3
Kolhapur,2019,17,6.6,19.1,7.1
Latur,2019,11.1,4.9,13.7,4.2
Mumbai,2019,14.1,2.1,16.9,3.3
Nagpur,2019,13.2,3.6,13.2,2.4
Nanded,2019,8.9,4.6,10.2,4.2
Nandurbar,2019,13.8,6.4,17.8,4.7
Nashik,2019,13.3,5.4,16.6,7.2
Palghar,2019,16,3.6,16,4.1
Parbhani,2019,11.2,4.7,13.5,3.7
Pune,2019,14.3,3.7,16.1,6.4
Raigad,2019,14.8,6.1,18.3,5.4
Ratnagiri,2019,18.2,8.1,21.1,8.7
Sangli,2019,18.2,6.7,21.6,5.9
Satara,2019,16.4,6.2,17.7,8.5
Sindhudurg,2019,21.4,6.9,24,6.7
Solapur,2019,16.2,6.5,18.9,5
Thane,2019,13.9,6.1,19.2,7.1
Wardha,2019,9.8,2.7,10,1.8
Washim,2019,14.4,4.7,16.2,3.2
Yavatmal,2019,10.5,3.5,12.3,4
