District,Year,100 Days or More
Ahilyanagar,2015,22.4
Akola,2015,33.8
Amravati,2015,50.2
Beed,2015,22.3
Bhandara,2015,40.5
Buldhana,2015,21.6
Chandrapur,2015,47
Chhatrapati Sambhaji Nagar,2015,19.8
Dharashiv,2015,37.4
Dhule,2015,15.7
Gadchiroli,2015,48.1
Gondia,2015,70
Hingoli,2015,42.8
Jalgaon,2015,39.7
Jalna,2015,45.6
Kolhapur,2015,46.5
Latur,2015,40.5
Mumbai,2015,52.7
Nagpur,2015,52.5
Nanded,2015,39.3
Nandurbar,2015,39
Nashik,2015,41
Parbhani,2015,31.1
Pune,2015,55.9
Raigad,2015,47.2
Ratnagiri,2015,52.4
Sangli,2015,39.4
Satara,2015,33.7
Sindhudurg,2015,28.6
Solapur,2015,50.9
Thane,2015,44.5
Wardha,2015,45.2
Washim,2015,37
Yavatmal,2015,34.8
Ahilyanagar,2019,53.3
Akola,2019,60.6
Amravati,2019,38.1
Beed,2019,28.4
Bhandara,2019,64.4
Buldhana,2019,61.2
Chandrapur,2019,69.2
Chhatrapati Sambhaji Nagar,2019,14.5
Dharashiv,2019,66.1
Dhule,2019,30.7
Gadchiroli,2019,70.8
Gondia,2019,46
Hingoli,2019,23.2
Jalgaon,2019,28.9
Jalna,2019,27.2
Kolhapur,2019,58.8
Latur,2019,53.6
Mumbai,2019,72.4
Nagpur,2019,57.1
Nanded,2019,21.7
Nandurbar,2019,38.3
Nashik,2019,43.4
Palghar,2019,65.3
Parbhani,2019,17.9
Pune,2019,50.2
Raigad,2019,61.6
Ratnagiri,2019,54.6
Sangli,2019,58.2
Satara,2019,59.5
Sindhudurg,2019,59.6
Solapur,2019,60.3
Thane,2019,54.9
Wardha,2019,50.6
Washim,2019,44.5
Yavatmal,2019,41.7
