District,Year,Women,Men
Ahilyanagar,2015,22.5,23.5
Akola,2015,25.1,18.9
Amravati,2015,26.8,20.2
Beed,2015,22.9,27.8
Bhandara,2015,33.3,29.9
Buldhana,2015,28,25.4
Chandrapur,2015,29.9,29.7
Chhatrapati Sambhaji Nagar,2015,21.5,30.4
Dharashiv,2015,21.9,20.6
Dhule,2015,30.1,25.6
Gadchiroli,2015,27.9,19.6
Gondia,2015,35.4,29.8
Hingoli,2015,29,24.5
Jalgaon,2015,18.9,14
Jalna,2015,29.1,24.3
Kolhapur,2015,23.4,24.3
Latur,2015,25.2,20
Mumbai,2015,17.8,14.9
Nagpur,2015,23,19.1
Nanded,2015,29.3,25.9
Nandurbar,2015,42.4,36.7
Nashik,2015,25.8,16.8
Parbhani,2015,31.4,26.4
Pune,2015,17.8,10.7
Raigad,2015,21.8,18.5
Ratnagiri,2015,31.7,26.9
Sangli,2015,21.1,19.3
Satara,2015,30.5,24.7
Sindhudurg,2015,29.6,17.2
Solapur,2015,19,15.7
Thane,2015,21.4,13.1
Wardha,2015,29.4,20
Washim,2015,26.6,17
Yavatmal,2015,29,25.8
Ahilyanagar,2019,21.5,
Akola,2019,16.1,
Amravati,2019,20.5,
Beed,2019,20.8,
Bhandara,2019,25.8,
Buldhana,2019,21.6,
Chandrapur,2019,26.5,
Chhatrapati Sambhaji Nagar,2019,20.3,
Dharashiv,2019,19.1,
Dhule,2019,26.5,
Gadchiroli,2019,24.3,
Gondia,2019,23.4,
Hingoli,2019,24.9,
Jalgaon,2019,22.2,
Jalna,2019,23.3,
Kolhapur,2019,19.2,
Latur,2019,24.2,
Mumbai,2019,12,
Nagpur,2019,17.1,
Nanded,2019,22.9,
Nandurbar,2019,36.1,
Nashik,2019,25.6,
Palghar,2019,27.9,
Parbhani,2019,20.4,
Pune,2019,19.6,
Raigad,2019,21.8,
Ratnagiri,2019,25.8,
Sangli,2019,15,
Satara,2019,22.9,
Sindhudurg,2019,21.5,
Solapur,2019,21.2,
Thane,2019,18.9,
Wardha,2019,17.1,
Washim,2019,20.1,
Yavatmal,2019,23.2,
