District,Year,Stunted,Wasted,Severely Wasted,Underweight,Overweight,Women BMI Below Normal (%),Men BMI Below Normal (%),Women Overweight or Obese (%),Men Overweight or Obese (%)
Ahilyanagar,2015,33.4,21.7,4.2,31.1,,22.5,23.5,18.3,20.4
Akola,2015,41.2,22.7,7.7,39.3,,25.1,18.9,20.6,18
Amravati,2015,38.1,24.7,9,33,,26.8,20.2,18.7,21.3
Beed,2015,37.8,29.5,12.9,36.9,,22.9,27.8,18.6,13.8
Bhandara,2015,40.5,16.2,2.9,32.5,,33.3,29.9,14.5,10.7
Buldhana,2015,43.9,21.1,5,41.3,,28,25.4,16.8,11.4
Chandrapur,2015,32.2,31.3,16.1,40.3,,29.9,29.7,12.2,17.4
Chh. Sambhaji Nagar,2015,38.6,20.8,6.3,36,,21.5,30.4,23.2,16.6
Dharashiv,2015,43.3,21.9,9.1,44.5,,21.9,20.6,19.4,21.5
Dhule,2015,39.6,30.3,11.3,47.5,,30.1,25.6,14,16.9
Gadchiroli,2015,32.5,45.8,22.2,42.1,,27.9,19.6,6.5,11
Gondia,2015,34.7,29.7,13.3,40.1,,35.4,29.8,6.8,9.5
Hingoli,2015,39.6,24.2,10.2,36.9,,29,24.5,13.9,7.4
Jalgaon,2015,36.4,32.5,7.9,36.4,,18.9,14,23.8,19.5
Jalna,2015,44.1,22.4,9.5,43.6,,29.1,24.3,15.5,20.3
Kolhapur,2015,26.9,25.7,5.9,31.2,,23.4,24.3,27.2,24.4
Latur,2015,34.7,22.5,7.7,34.5,,25.2,20,19.9,17.8
Mumbai,2015,25.5,25.8,7,22.7,,17.8,14.9,34,37.9
Nagpur,2015,33.9,25.6,12.1,33.6,,23,19.1,23.3,18.4
Nanded,2015,40.4,20.1,6.2,34.4,,29.3,25.9,13.6,13.4
Nandurbar,2015,47.6,39.8,15.1,55.4,,42.4,36.7,9.7,8.1
Nashik,2015,43.5,32,13.5,42.9,,25.8,16.8,22.9,23.7
Parbhani,2015,46.4,19.8,7.3,42.3,,31.4,26.4,14,13.5
Pune,2015,22.4,23.4,9,25.6,,17.8,10.7,30.2,33.4
Raigad,2015,29.9,28.9,8.5,38.6,,21.8,18.5,27.3,21.4
Ratnagiri,2015,28.3,22.3,6.4,28.9,,31.7,26.9,16.6,23.4
Sangli,2015,23.3,17.5,6.2,24.8,,21.1,19.3,28.4,29.7
Satara,2015,23.3,23.5,6.3,27.8,,30.5,24.7,19.3,28.6
Sindhudurg,2015,25.9,19.6,3,25.2,,29.6,17.2,20.8,20.7
Solapur,2015,25.4,24.1,10.3,34.6,,19,15.7,23,33.6
Thane,2015,38.5,29.2,8.9,40.3,,21.4,13.1,29,27.4
Wardha,2015,30.5,26.2,10.2,36.1,,29.4,20,17,14.4
Washim,2015,41.1,32.5,14.8,42.9,,26.6,17,11.4,18.5
Yavatmal,2015,47.4,28.8,14.6,49.1,,29,25.8,13,14.4
Ahilyanagar,2019,31.7,24.9,8.6,41.2,1.8,21.5,,23,
Akola,2019,31.8,29.4,14.7,30.8,8.6,16.1,,19.6,
Amravati,2019,29,26.2,10.7,38,2.2,20.5,,20.3,
Beed,2019,40.8,28.4,11.9,36.8,3.5,20.8,,21.9,
Bhandara,2019,31.3,28.4,13.2,33.9,4.7,25.8,,9.8,
Buldhana,2019,45,31.7,14.8,47.2,4.8,21.6,,15.7,
Chandrapur,2019,37.3,38.5,21.8,46.6,7.6,26.5,,9.4,
Chh. Sambhaji Nagar,2019,34.2,26.4,11.8,42.9,2.8,20.3,,24.4,
Dharashiv,2019,37.2,16.1,5.5,32.5,1.8,19.1,,25.1,
Dhule,2019,37.6,38.9,18.1,46,0.2,26.5,,23.9,
Gadchiroli,2019,35.7,30,13.5,35.4,9.5,24.3,,5.6,
Gondia,2019,36.9,23.7,11.1,35.6,8.3,23.4,,9.4,
Hingoli,2019,37.4,25.8,10.5,38.9,1,24.9,,16.6,
Jalgaon,2019,36.3,30.5,8,36.9,1.5,22.2,,26.2,
Jalna,2019,38,22.2,8.2,39,1.3,23.3,,20.6,
Kolhapur,2019,33.6,18.9,5.9,34.7,4.3,19.2,,23.7,
Latur,2019,43.2,18,8,33.9,5.3,24.2,,17.6,
Mumbai,2019,26.6,25.3,9.1,29.6,6.1,12,,25,
Nagpur,2019,27.6,34,20,33.9,10.1,17.1,,13.4,
Nanded,2019,36,19,8.7,35.2,3.5,22.9,,19.2,
Nandurbar,2019,45.8,30.7,13.5,57.2,3.7,36.1,,12.9,
Nashik,2019,42.2,27.2,11.4,44.8,2.2,25.6,,21.7,
Palghar,2019,33,23.9,10.5,37.1,9.3,27.9,,17,
Parbhani,2019,37.6,22.8,7.6,41.8,3,20.4,,23.7,
Pune,2019,30.7,31.4,14,32.7,1.3,19.6,,31,
Raigad,2019,35.8,19.1,8.3,34.1,2.1,21.8,,23.1,
Ratnagiri,2019,31.7,23.7,12.6,29.5,3.8,25.8,,17.7,
Sangli,2019,35,18.6,7.8,27.2,6.7,15,,27.8,
Satara,2019,20.2,20.5,5.2,28,2.3,22.9,,26.6,
Sindhudurg,2019,30.8,27.7,14.9,32,5.9,21.5,,20.8,
Solapur,2019,36.3,23.2,10,32.9,4.3,21.2,,28.2,
Thane,2019,40.8,17.8,7,30.8,5,18.9,,30.7,
Wardha,2019,27.7,28.1,12.5,31.3,4,17.1,,19.6,
Washim,2019,35.3,31.7,15.2,39.3,6.9,20.1,,14.2,
Yavatmal,2019,36.6,27.5,15.1,39.4,6.7,23.2,,10.5,
