District,Year,Women,Men
Ahilyanagar,2015,18.3,20.4
Akola,2015,20.6,18
Amravati,2015,18.7,21.3
Beed,2015,18.6,13.8
Bhandara,2015,14.5,10.7
Buldhana,2015,16.8,11.4
Chandrapur,2015,12.2,17.4
Chhatrapati Sambhaji Nagar,2015,23.2,16.6
Dharashiv,2015,19.4,21.5
Dhule,2015,14,16.9
Gadchiroli,2015,6.5,11
Gondia,2015,6.8,9.5
Hingoli,2015,13.9,7.4
Jalgaon,2015,23.8,19.5
Jalna,2015,15.5,20.3
Kolhapur,2015,27.2,24.4
Latur,2015,19.9,17.8
Mumbai,2015,34,37.9
Nagpur,2015,23.3,18.4
Nanded,2015,13.6,13.4
Nandurbar,2015,9.7,8.1
Nashik,2015,22.9,23.7
Parbhani,2015,14,13.5
Pune,2015,30.2,33.4
Raigad,2015,27.3,21.4
Ratnagiri,2015,16.6,23.4
Sangli,2015,28.4,29.7
Satara,2015,19.3,28.6
Sindhudurg,2015,20.8,20.7
Solapur,2015,23,33.6
Thane,2015,29,27.4
Wardha,2015,17,14.4
Washim,2015,11.4,18.5
Yavatmal,2015,13,14.4
Ahilyanagar,2019,23,
Akola,2019,19.6,
Amravati,2019,20.3,
Beed,2019,21.9,
Bhandara,2019,9.8,
Buldhana,2019,15.7,
Chandrapur,2019,9.4,
Chhatrapati Sambhaji Nagar,2019,24.4,
Dharashiv,2019,25.1,
Dhule,2019,23.9,
Gadchiroli,2019,5.6,
Gondia,2019,9.4,
Hingoli,2019,16.6,
Jalgaon,2019,26.2,
Jalna,2019,20.6,
Kolhapur,2019,23.7,
Latur,2019,17.6,
Mumbai,2019,25,
Nagpur,2019,13.4,
Nanded,2019,19.2,
Nandurbar,2019,12.9,
Nashik,2019,21.7,
Palghar,2019,17,
Parbhani,2019,23.7,
Pune,2019,31,
Raigad,2019,23.1,
Ratnagiri,2019,17.7,
Sangli,2019,27.8,
Satara,2019,26.6,
Sindhudurg,2019,20.8,
Solapur,2019,28.2,
Thane,2019,30.7,
Wardha,2019,19.6,
Washim,2019,14.2,
Yavatmal,2019,10.5,
