District,Year,Mothers,Children
Ahilyanagar,2015,80.9,32.8
Akola,2015,80.1,34
Amravati,2015,69.8,28.3
Beed,2015,78.4,41.1
Bhandara,2015,86.2,47.9
Buldhana,2015,78.9,42.9
Chandrapur,2015,80.8,21.8
Chhatrapati Sambhaji Nagar,2015,87,37.9
Dharashiv,2015,77.2,15.4
Dhule,2015,70.1,38.8
Gadchiroli,2015,71.4,49.8
Gondia,2015,68.8,30.2
Hingoli,2015,64.7,16.8
Jalgaon,2015,78.5,22.2
Jalna,2015,66.1,22.5
Kolhapur,2015,78.4,20.5
Latur,2015,82.3,18.3
Mumbai,2015,84.8,31.1
Nagpur,2015,84.1,41.2
Nanded,2015,65.8,29.1
Nandurbar,2015,53.3,26.2
Nashik,2015,75.8,36.3
Parbhani,2015,83.9,42.3
Pune,2015,86.1,28
Raigad,2015,64.4,28.3
Ratnagiri,2015,79.8,25.5
Sangli,2015,76.6,26.8
Satara,2015,75.3,25.5
Sindhudurg,2015,83.8,36.4
Solapur,2015,75.4,28.3
Thane,2015,85.9,21.6
Wardha,2015,85.8,22.2
Washim,2015,75.8,41.1
Yavatmal,2015,75.6,44
Ahilyanagar,2019,90.9,92.9
Akola,2019,82.3,92.2
Amravati,2019,80.2,79.4
Beed,2019,79.8,80.6
Bhandara,2019,87.5,90.1
Buldhana,2019,86.7,84.8
Chandrapur,2019,92.3,97
Chhatrapati Sambhaji Nagar,2019,76.4,82.6
Dharashiv,2019,94.4,95.1
Dhule,2019,77.2,74.9
Gadchiroli,2019,91.5,93.7
Gondia,2019,90,89.2
Hingoli,2019,82.4,85.1
Jalgaon,2019,74.5,78.5
Jalna,2019,74,78.9
Kolhapur,2019,95.2,91.5
Latur,2019,93.3,92.5
Mumbai,2019,90.6,95.9
Nagpur,2019,91.4,90.8
Nanded,2019,76.1,79.3
Nandurbar,2019,74.4,74.2
Nashik,2019,76.5,83.4
Palghar,2019,97,96.5
Parbhani,2019,64.4,66.8
Pune,2019,84.2,95.2
Raigad,2019,93,92.9
Ratnagiri,2019,89.7,92.2
Sangli,2019,95.6,95
Satara,2019,94.5,95.1
Sindhudurg,2019,96.7,98.2
Solapur,2019,89.6,89.2
Thane,2019,87.2,93.3
Wardha,2019,89.9,90.5
Washim,2019,83.4,83.4
Yavatmal,2019,85.6,91.7
