District,Year,At Birth,Total Population
Ahilyanagar,2015,843,905
Akola,2015,934,975
Amravati,2015,1052,979
Beed,2015,1046,933
Bhandara,2015,1204,1020
Buldhana,2015,907,953
Chandrapur,2015,996,961
Chh. Sambhaji Nagar,2015,1130,923
Dharashiv,2015,821,961
Dhule,2015,853,920
Gadchiroli,2015,1162,968
Gondia,2015,1009,1037
Hingoli,2015,992,1002
Jalgaon,2015,922,914
Jalna,2015,880,950
Kolhapur,2015,651,978
Latur,2015,920,966
Mumbai,2015,1033,906
Nagpur,2015,957,1004
Nanded,2015,961,1000
Nandurbar,2015,1023,1019
Nashik,2015,867,1000
Parbhani,2015,1114,1006
Pune,2015,927,924
Raigad,2015,794,924
Ratnagiri,2015,984,1134
Sangli,2015,913,1005
Satara,2015,1019,1034
Sindhudurg,2015,824,1001
Solapur,2015,816,963
Thane,2015,895,922
Wardha,2015,1298,947
Washim,2015,902,949
Yavatmal,2015,863,969
Ahilyanagar,2019,845,967
Akola,2019,896,951
Amravati,2019,1090,994
Beed,2019,843,934
Bhandara,2019,897,1004
Buldhana,2019,1036,957
Chandrapur,2019,1025,974
Chh. Sambhaji Nagar,2019,875,978
Dharashiv,2019,1050,992
Dhule,2019,919,999
Gadchiroli,2019,1098,1048
Gondia,2019,1050,994
Hingoli,2019,838,962
Jalgaon,2019,857,983
Jalna,2019,867,948
Kolhapur,2019,937,1025
Latur,2019,1265,979
Mumbai,2019,1019,939
Nagpur,2019,926,971
Nanded,2019,888,970
Nandurbar,2019,885,961
Nashik,2019,816,913
Palghar,2019,747,963
Parbhani,2019,983,966
Pune,2019,873,918
Raigad,2019,871,1003
Ratnagiri,2019,948,1069
Sangli,2019,1012,1027
Satara,2019,958,1049
Sindhudurg,2019,874,1035
Solapur,2019,960,962
Thane,2019,1029,982
Wardha,2019,1173,979
Washim,2019,991,948
Yavatmal,2019,1012,986
