District,Year,Women (Tobacco),Men (Tobacco),Women (Alcohol),Men (Alcohol)
Ahilyanagar,2019,14.7,37.7,0.2,10.5
Akola,2019,10.4,44,0.2,12.9
Amravati,2019,9,40.8,0.9,18.4
Beed,2019,6,37.8,0.5,9.8
Bhandara,2019,19.7,60.7,1.3,26
Buldhana,2019,12,42.5,0.2,14.3
Chandrapur,2019,11.3,49.1,0.5,20.8
Chhatrapati Sambhaji Nagar,2019,7.9,33.8,0.2,13.7
Dharashiv,2019,8,44.2,0.3,12.4
Dhule,2019,0,15.6,38.2,0.5
Gadchiroli,2019,26.5,61.4,3.1,34.7
Gondia,2019,17.2,55.1,0.4,22.6
Hingoli,2019,7.8,32.7,0.2,11.8
Jalgaon,2019,12.6,37.7,0.5,12.3
Jalna,2019,7,32.5,0.2,11.3
Kolhapur,2019,9.6,25.8,0,10
Latur,2019,3.7,37.5,0.2,14.2
Mumbai,2019,5.3,20.3,1.1,16
Nagpur,2019,5,40.2,0.4,17.8
Nanded,2019,5.7,36.7,0.2,14.1
Nandurbar,2019,26.7,42.6,2.8,13.1
Nashik,2019,15.4,35,0.2,12.2
Palghar,2019,8.3,26.2,1.4,22.4
Parbhani,2019,7,37.7,0.1,13.8
Pune,2019,11.7,27.9,0.2,11.6
Raigad,2019,16.2,31.8,0.4,18.7
Ratnagiri,2019,18.4,31.3,0.5,13
Sangli,2019,11.4,31.5,0.2,7.7
Satara,2019,29.5,40.6,0.5,11.7
Sindhudurg,2019,11.5,26.8,0.1,8.5
Solapur,2019,10.2,39.2,0.3,13.1
Thane,2019,6.9,24.2,0.4,15.6
Wardha,2019,9.5,52.6,0.6,24.6
Washim,2019,14.3,39.1,0.4,11.3
Yavatmal,2019,12.3,46.6,0.7,20.1
