District,Year,Fully Immunized,Bacillus Calmette Guerin (BCG),Polio Vaccine,DPT Vaccine,Measles Vaccine,Hepatitis B Vaccine,Public Health Facility,Private Health Facility,Vitamin A Dose in the Last 6 Months
Ahilyanagar,2015,42,94,58.8,59.3,76.7,38.7,84.5,15.5,77.2
Akola,2015,50.8,90.4,76.6,70.5,83.5,63.2,88.9,11.1,73
Amravati,2015,64.7,91,73,78.1,89.7,72.5,95.5,4.6,75
Beed,2015,53.9,88.5,62.2,75.7,79.6,55.2,94.9,5.2,80
Bhandara,2015,81.1,100,90.3,93.2,87.7,93.2,93.5,6.6,69.3
Buldhana,2015,64.2,91.1,70,75.8,76.5,66.3,98.5,1.5,64.6
Chandrapur,2015,60.5,96.8,72.6,88.6,93,74.1,87.7,12.4,73.2
Chhatrapati Sambhaji Nagar,2015,59.3,94.8,69.5,85.1,84.6,64.5,88.2,11.8,79.7
Dharashiv,2015,62.7,88.4,74.7,77.3,84.9,65.9,97.8,2.2,66.8
Dhule,2015,40,95.3,54.2,69.9,85.1,44.3,96.4,3.6,79.9
Gadchiroli,2015,82,96.9,87,93.7,87.7,83.8,100,0,70.3
Gondia,2015,74.4,91.3,82.3,87.6,85.4,76.2,100,0,72.7
Hingoli,2015,65.9,96,80,75.2,87.2,72.7,90.8,9.2,66.9
Jalgaon,2015,43.2,85,50.7,58.4,83.1,44.1,87.4,12.6,61.4
Jalna,2015,70,95.1,80,81.2,89,74.1,100,0,70
Kolhapur,2015,46.9,84.9,69.2,70.2,77.2,72.1,88.3,11.7,70.4
Latur,2015,59.4,92.8,72.1,79.6,87.2,67.1,87.3,12.7,61.9
Mumbai,2015,45.6,87.6,55.6,50.6,73.9,45.9,,,81.1
Nagpur,2015,76.5,96.1,84.3,89.5,92.1,88.4,84.3,15.8,78.6
Nanded,2015,51.1,88.2,66.1,71.2,82.9,60.4,94.1,5.9,64
Nandurbar,2015,32.8,73.7,38.5,48.7,70.1,43.3,93.8,6.2,71.3
Nashik,2015,62.3,91.4,67.9,82.7,86,61,85.7,13.6,65.8
Parbhani,2015,51.5,97.3,60.1,80.6,87.7,61,92.8,7.2,69.1
Pune,2015,81,98.1,86.3,92.8,98.1,79,71.9,28.1,60
Raigad,2015,47.6,94.9,50.9,84.4,92.9,52,79.1,20.9,70.1
Ratnagiri,2015,73.1,92.4,85.2,78.5,92.4,75.6,88.2,5,73.9
Sangli,2015,43.4,88.5,61.5,68.3,85,49.6,82.1,17.9,64.7
Satara,2015,59.2,89.8,89,70.9,83.8,71.6,90.3,9.7,62.1
Sindhudurg,2015,80.3,92.1,88.6,84.9,91.6,80.3,,,86.6
Solapur,2015,64.9,96.2,70.4,83.3,86.6,64.2,82.4,17.6,63.3
Thane,2015,40.9,84.5,53,62.8,72.3,49.5,76,24,66.4
Wardha,2015,76.5,95.5,93.5,81.4,80.4,93.5,93.2,6.9,77.4
Washim,2015,67.9,93.1,85.9,89.4,79.7,85.1,93.1,6.9,69.9
Yavatmal,2015,61.6,96.3,69.5,88.2,88.4,71.2,91,9,80.4
Ahilyanagar,2019,83.5,96.6,87.6,92.6,93.8,89.3,93.1,6.9,69.2
Akola,2019,69.5,97.8,77,80.1,83.8,71.6,89.8,10.2,88.3
