District,Year,Taluka,Industrial Power Consumption
Ahilyanagar,2012,Akole,30531000
Ahilyanagar,2012,Sangamner,59037000
Ahilyanagar,2012,Kopargaon,67498000
Ahilyanagar,2012,Rahata,34050000
Ahilyanagar,2012,Srirampur,43104000
Ahilyanagar,2012,Nevasa,34089000
Ahilyanagar,2012,Shevgaon,32117000
Ahilyanagar,2012,Pathardi,50687000
Ahilyanagar,2012,Nagar,104401000
Ahilyanagar,2012,Rahuri,42691000
Ahilyanagar,2012,Parner,27768000
Ahilyanagar,2012,Srigonda,29002000
Ahilyanagar,2012,Karjat,24202000
Ahilyanagar,2012,Jamkhed,30763000
Ahilyanagar,2013,Akole,31447000
Ahilyanagar,2013,Sangamner,60808000
Ahilyanagar,2013,Kopargaon,69523000
Ahilyanagar,2013,Rahata,35072000
Ahilyanagar,2013,Srirampur,44397000
Ahilyanagar,2013,Nevasa,35112000
Ahilyanagar,2013,Shevgaon,33081000
Ahilyanagar,2013,Pathardi,52208000
Ahilyanagar,2013,Nagar,107533000
Ahilyanagar,2013,Rahuri,43972000
Ahilyanagar,2013,Parner,28601000
Ahilyanagar,2013,Srigonda,29872000
Ahilyanagar,2013,Karjat,24928000
Ahilyanagar,2013,Jamkhed,31686000
Ahilyanagar,2014,Akole,7070000
Ahilyanagar,2014,Sangamner,47080000
Ahilyanagar,2014,Kopargaon,23390000
Ahilyanagar,2014,Rahata,5660000
Ahilyanagar,2014,Srirampur,40860000
Ahilyanagar,2014,Nevasa,10890000
Ahilyanagar,2014,Shevgaon,10190000
Ahilyanagar,2014,Pathardi,5410000
Ahilyanagar,2014,Nagar,360500000
Ahilyanagar,2014,Rahuri,21570000
Ahilyanagar,2014,Parner,67540000
Ahilyanagar,2014,Srigonda,9260000
Ahilyanagar,2014,Karjat,5772000
Ahilyanagar,2014,Jamkhed,3070000
Ahilyanagar,2015,Akole,4360000
Ahilyanagar,2015,Sangamner,14740000
Ahilyanagar,2015,Kopargaon,9960000
Ahilyanagar,2015,Rahata,8910000
Ahilyanagar,2015,Srirampur,10080000
Ahilyanagar,2015,Nevasa,6290000
Ahilyanagar,2015,Shevgaon,3610000
Ahilyanagar,2015,Pathardi,3280000
Ahilyanagar,2015,Nagar,63570000
Ahilyanagar,2015,Rahuri,7660000
Ahilyanagar,2015,Parner,11120000
Ahilyanagar,2015,Srigonda,4200000
Ahilyanagar,2015,Karjat,4160000
Ahilyanagar,2015,Jamkhed,2640000
Ahilyanagar,2016,Akole,6450000
Ahilyanagar,2016,Sangamner,18140000
Ahilyanagar,2016,Kopargaon,10444000
Ahilyanagar,2016,Rahata,10477000
Ahilyanagar,2016,Srirampur,12388000
Ahilyanagar,2016,Nevasa,7623000
Ahilyanagar,2016,Shevgaon,4985000
Ahilyanagar,2016,Pathardi,4900000
Ahilyanagar,2016,Nagar,66319000
Ahilyanagar,2016,Rahuri,9599000
Ahilyanagar,2016,Parner,13663000
Ahilyanagar,2016,Srigonda,5848000
Ahilyanagar,2016,Karjat,5058000
Ahilyanagar,2016,Jamkhed,3609000
Ahilyanagar,2017,Akole,3460000
Ahilyanagar,2017,Sangamner,11630000
Ahilyanagar,2017,Kopargaon,7560000
Ahilyanagar,2017,Rahata,5760000
Ahilyanagar,2017,Srirampur,9070000
Ahilyanagar,2017,Nevasa,3910000
Ahilyanagar,2017,Shevgaon,2610000
Ahilyanagar,2017,Pathardi,1760000
Ahilyanagar,2017,Nagar,55560000
Ahilyanagar,2017,Rahuri,5860000
Ahilyanagar,2017,Parner,8210000
Ahilyanagar,2017,Srigonda,2680000
Ahilyanagar,2017,Karjat,2400000
Ahilyanagar,2017,Jamkhed,2030000
Ahilyanagar,2018,Akole,3100000
Ahilyanagar,2018,Sangamner,11370000
Ahilyanagar,2018,Kopargaon,7800000
Ahilyanagar,2018,Rahata,5760000
Ahilyanagar,2018,Srirampur,7430000
Ahilyanagar,2018,Nevasa,3960000
Ahilyanagar,2018,Shevgaon,2610000
Ahilyanagar,2018,Pathardi,1820000
Ahilyanagar,2018,Nagar,61530000
Ahilyanagar,2018,Rahuri,6340000
Ahilyanagar,2018,Parner,9560000
Ahilyanagar,2018,Srigonda,2680000
Ahilyanagar,2018,Karjat,2680000
Ahilyanagar,2018,Jamkhed,2240000
Ahilyanagar,2019,Akole,6050000
Ahilyanagar,2019,Sangamner,20143000
Ahilyanagar,2019,Kopargaon,10193000
Ahilyanagar,2019,Rahata,10315000
Ahilyanagar,2019,Srirampur,11988000
Ahilyanagar,2019,Nevasa,8069000
Ahilyanagar,2019,Shevgaon,4984000
Ahilyanagar,2019,Pathardi,4498000
Ahilyanagar,2019,Nagar,64014000
Ahilyanagar,2019,Rahuri,8520000
Ahilyanagar,2019,Parner,13768000
Ahilyanagar,2019,Srigonda,5708000
Ahilyanagar,2019,Karjat,5272000
Ahilyanagar,2019,Jamkhed,4299000
Ahilyanagar,2020,Akole,6226000
Ahilyanagar,2020,Sangamner,21330000
Ahilyanagar,2020,Kopargaon,10125000
Ahilyanagar,2020,Rahata,10728000
Ahilyanagar,2020,Srirampur,11754000
Ahilyanagar,2020,Nevasa,8855000
Ahilyanagar,2020,Shevgaon,5466000
Ahilyanagar,2020,Pathardi,5035000
Ahilyanagar,2020,Nagar,66866000
Ahilyanagar,2020,Rahuri,8595000
Ahilyanagar,2020,Parner,14379000
Ahilyanagar,2020,Srigonda,5715000
Ahilyanagar,2020,Karjat,5061000
Ahilyanagar,2020,Jamkhed,4385000
Ahilyanagar,2021,Akole,5388000
Ahilyanagar,2021,Sangamner,31823000
Ahilyanagar,2021,Kopargaon,11952000
Ahilyanagar,2021,Rahata,6772000
Ahilyanagar,2021,Srirampur,19022000
Ahilyanagar,2021,Nevasa,16152000
Ahilyanagar,2021,Shevgaon,7737000
Ahilyanagar,2021,Pathardi,3862000
Ahilyanagar,2021,Nagar,177043000
Ahilyanagar,2021,Rahuri,12438000
Ahilyanagar,2021,Parner,92819000
Ahilyanagar,2021,Srigonda,9657000
Ahilyanagar,2021,Karjat,5118000
Ahilyanagar,2021,Jamkhed,1423000
Akola,2012,Telhara,2451000
Akola,2012,Akot,10055000
Akola,2012,Balapur,2119000
Akola,2012,Akola,46015000
Akola,2012,Murtijapur,5863000
Akola,2012,Patur,1186000
Akola,2012,Barshitakali,3892000
Akola,2013,Telhara,2368000
Akola,2013,Akot,9830000
Akola,2013,Balapur,2447000
Akola,2013,Akola,70740000
Akola,2013,Murtijapur,6129000
Akola,2013,Patur,1355000
Akola,2013,Barshitakali,4190000
Akola,2014,Telhara,2570000
Akola,2014,Akot,9760000
Akola,2014,Balapur,2500000
Akola,2014,Akola,48667000
Akola,2014,Murtijapur,6840000
Akola,2014,Patur,1240000
Akola,2014,Barshitakali,3810000
Akola,2015,Telhara,3488000
Akola,2015,Akot,12882000
Akola,2015,Balapur,6372000
Akola,2015,Akola,167767000
Akola,2015,Murtijapur,31632000
Akola,2015,Patur,1587000
Akola,2015,Barshitakali,10982000
Akola,2016,Telhara,4384000
Akola,2016,Akot,14918000
Akola,2016,Balapur,11560000
Akola,2016,Akola,239692000
Akola,2016,Murtijapur,8325000
Akola,2016,Patur,1727000
Akola,2016,Barshitakali,10339000
Akola,2017,Telhara,3927000
Akola,2017,Akot,17705000
Akola,2017,Balapur,12360000
Akola,2017,Akola,247204000
Akola,2017,Murtijapur,9961000
Akola,2017,Patur,1460000
Akola,2017,Barshitakali,11970000
Akola,2018,Telhara,2804000
Akola,2018,Akot,11068000
Akola,2018,Balapur,13525000
Akola,2018,Akola,119045000
Akola,2018,Murtijapur,12063000
Akola,2018,Patur,2269000
Akola,2018,Barshitakali,4016000
Akola,2019,Telhara,2793000
Akola,2019,Akot,10953000
Akola,2019,Balapur,13853000
Akola,2019,Akola,109883000
Akola,2019,Murtijapur,13115000
Akola,2019,Patur,2584000
Akola,2019,Barshitakali,4011000
Akola,2020,Telhara,2795000
Akola,2020,Akot,10974000
Akola,2020,Balapur,13872000
Akola,2020,Akola,109932000
Akola,2020,Murtijapur,13135000
Akola,2020,Patur,2598000
Akola,2020,Barshitakali,4025000
Akola,2021,Telhara,3619000
Akola,2021,Akot,14910000
Akola,2021,Balapur,3551000
Akola,2021,Akola,59158000
Akola,2021,Murtijapur,8350000
Akola,2021,Patur,2399000
Akola,2021,Barshitakali,4442000
Amravati,2012,Dharani,536000
Amravati,2012,Chikhraldara,624000
Amravati,2012,Anjangaon Su,3279000
Amravati,2012,Achalpur,20807000
Amravati,2012,Chandurbazar,12954000
Amravati,2012,Morshi,3544000
Amravati,2012,Warud,4313000
Amravati,2012,Tivas,1285000
Amravati,2012,Amravati,82989000
Amravati,2012,Bhatkuli,1154000
Amravati,2012,Daryapur,3437000
Amravati,2012,Nandgaon Kh,1169000
Amravati,2012,Chandur Railway,1421000
Amravati,2012,Dhamangaon Re,5440000
Amravati,2013,Dharani,607000
Amravati,2013,Chikhraldara,524000
Amravati,2013,Anjangaon Su,4155000
Amravati,2013,Achalpur,21406000
Amravati,2013,Chandurbazar,13764000
Amravati,2013,Morshi,4251000
Amravati,2013,Warud,4570000
Amravati,2013,Tivas,1651000
Amravati,2013,Amravati,55510000
Amravati,2013,Bhatkuli,8704000
Amravati,2013,Daryapur,3629000
Amravati,2013,Nandgaon Kh,1644000
Amravati,2013,Chandur Railway,1457000
Amravati,2013,Dhamangaon Re,5033000
Amravati,2014,Dharani,769000
Amravati,2014,Chikhraldara,523000
Amravati,2014,Anjangaon Su,4954000
Amravati,2014,Achalpur,25443000
Amravati,2014,Chandurbazar,11714000
Amravati,2014,Morshi,3442000
Amravati,2014,Warud,4736000
Amravati,2014,Tivas,10684000
Amravati,2014,Amravati,47037000
Amravati,2014,Bhatkuli,1447000
Amravati,2014,Daryapur,3473000
Amravati,2014,Nandgaon Kh,2444000
Amravati,2014,Chandur Railway,1575000
Amravati,2014,Dhamangaon Re,5017000
Amravati,2015,Dharani,727000
Amravati,2015,Chikhraldara,645000
Amravati,2015,Anjangaon Su,4834000
Amravati,2015,Achalpur,29437000
Amravati,2015,Chandurbazar,14288000
Amravati,2015,Morshi,22371000
Amravati,2015,Warud,8709000
Amravati,2015,Tivas,11149000
Amravati,2015,Amravati,50587000
Amravati,2015,Bhatkuli,1376000
Amravati,2015,Daryapur,2807000
Amravati,2015,Nandgaon Kh,2903000
Amravati,2015,Chandur Railway,1687000
Amravati,2015,Dhamangaon Re,5323000
Amravati,2016,Dharani,704800
Amravati,2016,Chikhraldara,598490
Amravati,2016,Anjangaon Su,5429330
Amravati,2016,Achalpur,24086200
Amravati,2016,Chandurbazar,17441730
Amravati,2016,Morshi,22632590
Amravati,2016,Warud,8668470
Amravati,2016,Tivas,1776420
Amravati,2016,Amravati,89415830
Amravati,2016,Bhatkuli,1502060
Amravati,2016,Daryapur,5885220
Amravati,2016,Nandgaon Kh,2907320
Amravati,2016,Chandur Railway,1773460
Amravati,2016,Dhamangaon Re,8864930
Amravati,2017,Dharani,704798
Amravati,2017,Chikhraldara,598494
Amravati,2017,Anjangaon Su,5429333
Amravati,2017,Achalpur,24086200
Amravati,2017,Chandurbazar,17441730
Amravati,2017,Morshi,22632590
Amravati,2017,Warud,8668468
Amravati,2017,Tivas,1776420
Amravati,2017,Amravati,93485830
Amravati,2017,Bhatkuli,1502056
Amravati,2017,Daryapur,5885221
Amravati,2017,Nandgaon Kh,2907323
Amravati,2017,Chandur Railway,1773459
Amravati,2017,Dhamangaon Re,10963930
Amravati,2018,Dharani,1096390
Amravati,2018,Chikhraldara,846230
Amravati,2018,Anjangaon Su,6656150
Amravati,2018,Achalpur,39804820
Amravati,2018,Chandurbazar,1710690
Amravati,2018,Morshi,22631700
Amravati,2018,Warud,13045750
Amravati,2018,Tivas,1072710
Amravati,2018,Amravati,145491430
Amravati,2018,Bhatkuli,1995320
Amravati,2018,Daryapur,6863920
Amravati,2018,Nandgaon Kh,26156750
Amravati,2018,Chandur Railway,2365340
Amravati,2018,Dhamangaon Re,20840480
Amravati,2019,Dharani,1060670
Amravati,2019,Chikhraldara,909750
Amravati,2019,Anjangaon Su,6727300
Amravati,2019,Achalpur,34272330
Amravati,2019,Chandurbazar,1780930
Amravati,2019,Morshi,5208130
Amravati,2019,Warud,9787250
Amravati,2019,Tivas,1178620
Amravati,2019,Amravati,195487440
Amravati,2019,Bhatkuli,1849650
Amravati,2019,Daryapur,6598290
Amravati,2019,Nandgaon Kh,25211890
Amravati,2019,Chandur Railway,2433480
Amravati,2019,Dhamangaon Re,19750850
Amravati,2020,Dharani,1777720
Amravati,2020,Chikhraldara,1279850
Amravati,2020,Anjangaon Su,8655900
Amravati,2020,Achalpur,14840110
Amravati,2020,Chandurbazar,2427010
Amravati,2020,Morshi,5697490
Amravati,2020,Warud,11101070
Amravati,2020,Tivas,2669430
Amravati,2020,Amravati,217024220
Amravati,2020,Bhatkuli,2545750
Amravati,2020,Daryapur,8456780
Amravati,2020,Nandgaon Kh,25127290
Amravati,2020,Chandur Railway,2817090
Amravati,2020,Dhamangaon Re,21015830
Amravati,2021,Dharani,1568310
Amravati,2021,Chikhraldara,1078840
Amravati,2021,Anjangaon Su,7265740
Amravati,2021,Achalpur,11725820
Amravati,2021,Chandurbazar,2563790
Amravati,2021,Morshi,5952360
Amravati,2021,Warud,10312130
Amravati,2021,Tivas,2394430
Amravati,2021,Amravati,228661580
Amravati,2021,Bhatkuli,2646270
Amravati,2021,Daryapur,7881460
Amravati,2021,Nandgaon Kh,28337860
Amravati,2021,Chandur Railway,2644920
Amravati,2021,Dhamangaon Re,20431810
Beed,2013,Ashti,2400000
Beed,2013,Patoda,1250000
Beed,2013,Shirur Kasar,730000
Beed,2013,Gevrai,3380000
Beed,2013,Majalgaon,2000000
Beed,2013,Wadwani,950000
Beed,2013,Beed,15190000
Beed,2013,Cage,1990000
Beed,2013,Dharur,1090000
Beed,2013,Parli,3670000
Beed,2013,Ambajogai,4690000
Beed,2014,Ashti,2110000
Beed,2014,Patoda,1410000
Beed,2014,Shirur Kasar,660000
Beed,2014,Gevrai,3630000
Beed,2014,Majalgaon,2000000
Beed,2014,Wadwani,870000
Beed,2014,Beed,15160000
Beed,2014,Cage,2000000
Beed,2014,Dharur,1100000
Beed,2014,Parli,4050000
Beed,2014,Ambajogai,5120000
Beed,2015,Ashti,7470000
Beed,2015,Patoda,1450000
Beed,2015,Shirur Kasar,710000
Beed,2015,Gevrai,11520000
Beed,2015,Majalgaon,6670000
Beed,2015,Wadwani,4840000
Beed,2015,Beed,24020000
Beed,2015,Cage,3560000
Beed,2015,Dharur,2600000
Beed,2015,Parli,29980000
Beed,2015,Ambajogai,6190000
Beed,2016,Ashti,8370000
Beed,2016,Patoda,920000
Beed,2016,Shirur Kasar,540000
Beed,2016,Gevrai,9520000
Beed,2016,Majalgaon,5870000
Beed,2016,Wadwani,7340000
Beed,2016,Beed,21980000
Beed,2016,Cage,3520000
Beed,2016,Dharur,2610000
Beed,2016,Parli,29290000
Beed,2016,Ambajogai,6820000
Beed,2017,Ashti,10044000
Beed,2017,Patoda,1104000
Beed,2017,Shirur Kasar,648000
Beed,2017,Gevrai,11424000
Beed,2017,Majalgaon,7044000
Beed,2017,Wadwani,8808000
Beed,2017,Beed,26376000
Beed,2017,Cage,4224000
Beed,2017,Dharur,3132000
Beed,2017,Parli,35148000
Beed,2017,Ambajogai,8184000
Beed,2018,Ashti,8800000
Beed,2018,Patoda,2340000
Beed,2018,Shirur Kasar,910000
Beed,2018,Gevrai,4890000
Beed,2018,Majalgaon,3280000
Beed,2018,Wadwani,3990000
Beed,2018,Beed,23940000
Beed,2018,Cage,1860000
Beed,2018,Dharur,1710000
Beed,2018,Parli,66790000
Beed,2018,Ambajogai,5220000
Beed,2019,Ashti,10560000
Beed,2019,Patoda,2808000
Beed,2019,Shirur Kasar,1092000
Beed,2019,Gevrai,5868000
Beed,2019,Majalgaon,3936000
Beed,2019,Wadwani,4788000
Beed,2019,Beed,28728000
Beed,2019,Cage,2232000
Beed,2019,Dharur,2052000
Beed,2019,Parli,80148000
Beed,2019,Ambajogai,6264000
Beed,2020,Ashti,10752000
Beed,2020,Patoda,2808000
Beed,2020,Shirur Kasar,1098000
Beed,2020,Gevrai,12745000
Beed,2020,Majalgaon,11745000
Beed,2020,Wadwani,7645000
Beed,2020,Beed,23745000
Beed,2020,Cage,22320000
Beed,2020,Dharur,1247000
Beed,2020,Parli,14550000
Beed,2020,Ambajogai,13254000
Beed,2021,Ashti,10698000
Beed,2021,Patoda,3161000
Beed,2021,Shirur Kasar,2166000
Beed,2021,Gevrai,11054000
Beed,2021,Majalgaon,7756000
Beed,2021,Wadwani,6156000
Beed,2021,Beed,41209000
Beed,2021,Cage,7091000
Beed,2021,Dharur,4526000
Beed,2021,Parli,31980000
Beed,2021,Ambajogai,11360000
Bhandara,2012,Tumsar,28900000
Bhandara,2012,Mohadi,12640000
Bhandara,2012,Bhandara,229750000
Bhandara,2012,Sakoli,2450000
Bhandara,2012,Lakhani,2180000
Bhandara,2012,Pavani,5610000
Bhandara,2012,Lakhandur,2290000
Bhandara,2013,Tumsar,6580000
Bhandara,2013,Mohadi,3530000
Bhandara,2013,Bhandara,8360000
Bhandara,2013,Sakoli,2020000
