District,Year,Taluka,Number of MSME Industries
Ahilyanagar,2018,Akole,585
Ahilyanagar,2018,Sangamner,1819
Ahilyanagar,2018,Kopargaon,1102
Ahilyanagar,2018,Rahata,1246
Ahilyanagar,2018,Srirampur,2241
Ahilyanagar,2018,Nevasa,1670
Ahilyanagar,2018,Shevgaon,583
Ahilyanagar,2018,Pathardi,759
Ahilyanagar,2018,Nagar,11175
Ahilyanagar,2018,Rahuri,1523
Ahilyanagar,2018,Parner,1101
Ahilyanagar,2018,Srigonda,764
Ahilyanagar,2018,Karjat,764
Ahilyanagar,2018,Jamkhed,663
Ahilyanagar,2019,Akole,585
Ahilyanagar,2019,Sangamner,1819
Ahilyanagar,2019,Kopargaon,1102
Ahilyanagar,2019,Rahata,1246
Ahilyanagar,2019,Srirampur,2241
Ahilyanagar,2019,Nevasa,1670
Ahilyanagar,2019,Shevgaon,583
Ahilyanagar,2019,Pathardi,759
Ahilyanagar,2019,Nagar,11175
Ahilyanagar,2019,Rahuri,1523
Ahilyanagar,2019,Parner,1101
Ahilyanagar,2019,Srigonda,764
Ahilyanagar,2019,Karjat,764
Ahilyanagar,2019,Jamkhed,663
Ahilyanagar,2020,Akole,597
Ahilyanagar,2020,Sangamner,1878
Ahilyanagar,2020,Kopargaon,1131
Ahilyanagar,2020,Rahata,1297
Ahilyanagar,2020,Srirampur,2293
Ahilyanagar,2020,Nevasa,1699
Ahilyanagar,2020,Shevgaon,591
Ahilyanagar,2020,Pathardi,769
Ahilyanagar,2020,Nagar,11325
Ahilyanagar,2020,Rahuri,1559
Ahilyanagar,2020,Parner,1120
Ahilyanagar,2020,Srigonda,781
Ahilyanagar,2020,Karjat,764
Ahilyanagar,2020,Jamkhed,681
Ahilyanagar,2021,Akole,602
Ahilyanagar,2021,Sangamner,2109
Ahilyanagar,2021,Kopargaon,1223
Ahilyanagar,2021,Rahata,1423
Ahilyanagar,2021,Srirampur,2402
Ahilyanagar,2021,Nevasa,1701
Ahilyanagar,2021,Shevgaon,597
Ahilyanagar,2021,Pathardi,795
Ahilyanagar,2021,Nagar,12180
