District,Year,Taluka,Pollution Category ,Number of Industries 
Ahilyanagar,2014,Akole,Red,7
Ahilyanagar,2014,Sangamner,Red,34
Ahilyanagar,2014,Kopargaon,Red,41
Ahilyanagar,2014,Rahata,Red,12
Ahilyanagar,2014,Srirampur,Red,76
Ahilyanagar,2014,Nevasa,Red,28
Ahilyanagar,2014,Shevgaon,Red,4
Ahilyanagar,2014,Pathardi,Red,4
Ahilyanagar,2014,Nagar,Red,246
Ahilyanagar,2014,Rahuri,Red,19
Ahilyanagar,2014,Parner,Red,54
Ahilyanagar,2014,Srigonda,Red,15
Ahilyanagar,2014,Karjat,Red,3
Ahilyanagar,2014,Jamkhed,Red,1
Ahilyanagar,2014,Akole,Orange,2
Ahilyanagar,2014,Sangamner,Orange,15
Ahilyanagar,2014,Kopargaon,Orange,13
Ahilyanagar,2014,Rahata,Orange,1
Ahilyanagar,2014,Srirampur,Orange,12
Ahilyanagar,2014,Nevasa,Orange,10
Ahilyanagar,2014,Shevgaon,Orange,2
Ahilyanagar,2014,Pathardi,Orange,1
Ahilyanagar,2014,Nagar,Orange,110
Ahilyanagar,2014,Rahuri,Orange,5
Ahilyanagar,2014,Parner,Orange,31
Ahilyanagar,2014,Srigonda,Orange,3
Ahilyanagar,2014,Karjat,Orange,1
Ahilyanagar,2014,Jamkhed,Orange,2
Ahilyanagar,2014,Akole,Green,40
Ahilyanagar,2014,Sangamner,Green,94
Ahilyanagar,2014,Kopargaon,Green,164
Ahilyanagar,2014,Rahata,Green,25
Ahilyanagar,2014,Srirampur,Green,190
Ahilyanagar,2014,Nevasa,Green,95
Ahilyanagar,2014,Shevgaon,Green,71
Ahilyanagar,2014,Pathardi,Green,32
Ahilyanagar,2014,Nagar,Green,1259
Ahilyanagar,2014,Rahuri,Green,36
Ahilyanagar,2014,Parner,Green,685
Ahilyanagar,2014,Srigonda,Green,30
Ahilyanagar,2014,Karjat,Green,17
Ahilyanagar,2014,Jamkhed,Green,20
Ahilyanagar,2015,Akole,Red,7
Ahilyanagar,2015,Sangamner,Red,50
Ahilyanagar,2015,Kopargaon,Red,41
Ahilyanagar,2015,Rahata,Red,12
Ahilyanagar,2015,Srirampur,Red,110
Ahilyanagar,2015,Nevasa,Red,56
Ahilyanagar,2015,Shevgaon,Red,25
Ahilyanagar,2015,Pathardi,Red,60
Ahilyanagar,2015,Nagar,Red,456
Ahilyanagar,2015,Rahuri,Red,41
Ahilyanagar,2015,Parner,Red,60
Ahilyanagar,2015,Srigonda,Red,15
Ahilyanagar,2015,Karjat,Red,35
Ahilyanagar,2015,Jamkhed,Red,63
Ahilyanagar,2015,Akole,Orange,5
Ahilyanagar,2015,Sangamner,Orange,18
Ahilyanagar,2015,Kopargaon,Orange,18
Ahilyanagar,2015,Rahata,Orange,5
Ahilyanagar,2015,Srirampur,Orange,46
Ahilyanagar,2015,Nevasa,Orange,12
Ahilyanagar,2015,Shevgaon,Orange,3
Ahilyanagar,2015,Pathardi,Orange,2
Ahilyanagar,2015,Nagar,Orange,125
Ahilyanagar,2015,Rahuri,Orange,10
Ahilyanagar,2015,Parner,Orange,34
Ahilyanagar,2015,Srigonda,Orange,6
Ahilyanagar,2015,Karjat,Orange,2
Ahilyanagar,2015,Jamkhed,Orange,4
Ahilyanagar,2015,Akole,Green,30
Ahilyanagar,2015,Sangamner,Green,76
Ahilyanagar,2015,Kopargaon,Green,65
Ahilyanagar,2015,Rahata,Green,30
