Year,District,Agriculture and Allied Activities,Industry,Services
2013,Nandurbar,5999,7872,33370
2013,Dhule,11736,12488,50097
2013,Jalgaon,23125,27685,110364
2013,Buldhana,14707,20529,60758
2013,Akola,40599,19259,65564
2013,Washim,1527,5731,25518
2013,Amravati,17118,23091,99023
2013,Wardha,6012,10320,52963
2013,Nagpur,31620,43526,197431
2013,Bhandara,32461,13573,41789
2013,Gondia,17142,16555,37449
2013,Gadchiroli,3489,5854,39149
2013,Chandrapur,12682,16457,75504
2013,Yavatmal,2759,10715,57361
2013,Nanded,3598,18582,72853
2013,Hingoli,3265,7806,25194
2013,Parbhani,3674,15293,41771
2013,Jalna,21443,19840,57213
2013,Chhatrapati Sambhaji Nagar,6472,27967,113429
2013,Nashik,14521,45696,158691
2013,Thane,8808,107383,335462
2013,Mumbai Suburban,2660,125928,355480
2013,Mumbai City,511,54875,214243
2013,Raigad,9963,15006,78922
2013,Pune,110938,78822,338500
2013,Ahilyanagar,108690,25872,115349
2013,Beed,55246,19049,65899
2013,Latur,7853,20765,75806
2013,Dharashiv,53775,18788,53917
2013,Solapur,213635,50969,111245
2013,Satara,222181,37778,136348
2013,Ratnagiri,7563,14445,51938
2013,Sindhudurg,7226,9766,35040
2013,Kolhapur,325925,79337,182451
2013,Sangli,182838,20937,77310
1998,Mumbai City,1240,64259,419993
1998,Thane,9815,47009,163047
1998,Raigad,3735,8258,45220
1998,Ratnagiri,5049,8236,35905
1998,Sindhudurg,3471,7583,24989
1998,Nashik,7102,21409,98904
1998,Dhule,20691,13022,62468
1998,Jalgaon,17167,11612,79092
1998,Ahilyanagar,45182,14359,74198
1998,Pune,46223,34282,160680
1998,Satara,38537,11967,54279
1998,Sangli,44847,12416,55512
1998,Solapur,19339,33561,88393
1998,Kolhapur,139717,29511,67590
1998,Chhatrapati Sambhaji Nagar,4770,10786,55878
1998,Jalna,5273,7050,28154
1998,Parbhani,2056,9919,40433
1998,Beed,8167,11229,39649
1998,Nanded,3019,12321,47243
1998,Dharashiv,8428,7652,27748
1998,Latur,635,6465,36212
1998,Buldhana,4309,8925,48941
1998,Akola,10077,13061,61400
1998,Amravati,5880,12997,70450
1998,Yavatmal,10905,12116,54741
1998,Wardha,4973,5976,30101
1998,Nagpur,10370,23019,120856
1998,Bhandara,18383,31417,48203
1998,Chandrapur,10230,11299,49254
1998,Gadchiroli,7942,4576,20665
1990,Mumbai City,1526,74576,343338
1990,Pune,24685,33648,141456
1990,Satara,15714,14577,52607
1990,Sangli,23000,15023,49179
1990,Solapur,14354,34790,77144
1990,Kolhapur,91410,29991,67439
1990,Chhatrapati Sambhaji Nagar,3223,10814,45397
1990,Jalna,727,6136,21564
1990,Parbhani,1876,10493,33774
1990,Beed,3639,10135,32220
1990,Nanded,2465,12047,37475
1990,Thane,4543,42299,122680
1990,Dharashiv,3788,6353,26378
1990,Latur,1402,9111,32369
1990,Buldhana,2369,9765,37772
1990,Akola,1748,11883,51676
1990,Amravati,2737,12342,49613
1990,Yavatmal,2198,13262,42904
1990,Wardha,1767,6901,24596
1990,Nagpur,4959,28298,80511
1990,Bhandara,4386,27628,41842
1990,Chandrapur,2232,14494,37752
1990,Raigad,2506,9865,37762
1990,Gadchiroli,1701,6386,14018
1990,Ratnagiri,1151,8408,32572
1990,Sindhudurg,884,7125,21508
1990,Nashik,5987,22170,80580
1990,Dhule,13323,13150,48714
1990,Jalgaon,10585,13813,66017
1990,Ahilyanagar,17384,16998,67083
2005,Nandurbar,,,
2005,Dhule,,,
2005,Jalgaon,,,
2005,Buldhana,,,
2005,Akola,,,
2005,Washim,,,
2005,Amravati,,,
2005,Wardha,,,
2005,Nagpur,,,
2005,Bhandara,,,
2005,Gondia,,,
2005,Gadchiroli,,,
2005,Chandrapur,,,
2005,Yavatmal,,,
2005,Nanded,,,
2005,Hingoli,,,
2005,Parbhani,,,
2005,Jalna,,,
2005,Chhatrapati Sambhaji Nagar,,,
2005,Nashik,,,
2005,Thane,,,
2005,Mumbai Suburban,,,
2005,Mumbai City,,,
2005,Raigad,,,
2005,Pune,,,
2005,Ahilyanagar,,,
2005,Beed,,,
2005,Dharashiv,,,
2005,Solapur,,,
2005,Satara,,,
2005,Ratnagiri,,,
2005,Sindhudurg,,,
2005,Kolhapur,,,
2005,Sangli,,,
