Year,District,Number of Establishments
2013,Nandurbar,46787
2013,Dhule,72618
2013,Jalgaon,158644
2013,Buldhana,94972
2013,Akola,123805
2013,Washim,32481
2013,Amravati,136909
2013,Wardha,67559
2013,Nagpur,258711
2013,Bhandara,86535
2013,Gondia,70183
2013,Gadchiroli,48074
2013,Chandrapur,102993
2013,Yavatmal,68174
2013,Nanded,93961
2013,Hingoli,35841
2013,Parbhani,59812
2013,Jalna,97618
2013,Chh. Sambhaji Nagar,143358
2013,Nashik,214336
2013,Thane,438706
2013,Mumbai Suburban,465416
2013,Mumbai,261259
2013,Raigad,101672
2013,Pune,514469
2013,Ahilyanagar,246417
2013,Beed,139347
2013,Latur,102934
2013,Dharashiv,124365
2013,Solapur,373286
2013,Satara,383647
2013,Ratnagiri,72310
2013,Sindhudurg,51216
2013,Kolhapur,570867
2013,Sangli,278060
1998,Mumbai,485492
1998,Thane,219871
1998,Raigad,57213
1998,Ratnagiri,49190
1998,Sindhudurg,36043
1998,Nashik,127415
1998,Dhule,96181
1998,Jalgaon,107871
1998,Ahilyanagar,133739
1998,Pune,241185
1998,Satara,104783
1998,Sangli,112775
1998,Solapur,141293
1998,Kolhapur,236818
1998,Chh. Sambhaji Nagar,71434
1998,Jalna,40477
1998,Parbhani,52408
1998,Beed,59045
1998,Nanded,62583
1998,Dharashiv,43828
1998,Latur,43312
1998,Buldhana,62175
1998,Akola,84538
1998,Amravati,89327
1998,Yavatmal,77762
1998,Wardha,41050
1998,Nagpur,154245
1998,Bhandara,98003
1998,Chandrapur,70783
1998,Gadchiroli,33183
1990,Mumbai,423419
1990,Pune,200061
1990,Satara,82898
1990,Sangli,87202
1990,Solapur,126293
1990,Kolhapur,188891
1990,Chh. Sambhaji Nagar,59434
1990,Jalna,28427
1990,Parbhani,46144
1990,Beed,45996
1990,Nanded,51987
1990,Thane,169524
1990,Dharashiv,36520
1990,Latur,42885
1990,Buldhana,49911
1990,Akola,65311
1990,Amravati,64693
1990,Yavatmal,58370
1990,Wardha,33264
1990,Nagpur,113877
1990,Bhandara,73857
1990,Chandrapur,54478
1990,Raigad,50287
1990,Gadchiroli,22105
1990,Ratnagiri,42205
1990,Sindhudurg,29517
1990,Nashik,108866
1990,Dhule,75187
1990,Jalgaon,90415
1990,Ahilyanagar,101478
2005,Nandurbar,29997
2005,Dhule,60199
2005,Jalgaon,131236
2005,Buldhana,71714
2005,Akola,72981
2005,Washim,32615
2005,Amravati,100564
2005,Wardha,51706
2005,Nagpur,211049
2005,Bhandara,59050
2005,Gondia,55162
2005,Gadchiroli,33988
2005,Chandrapur,73332
2005,Yavatmal,89645
2005,Nanded,82178
2005,Hingoli,21865
2005,Parbhani,45745
2005,Jalna,60183
2005,Chh. Sambhaji Nagar,116053
2005,Nashik,159157
2005,Thane,325004
2005,Mumbai Suburban,572198
2005,Mumbai,80402
2005,Raigad,339621
2005,Pune,167285
2005,Ahilyanagar,99565
2005,Beed,71996
2005,Dharashiv,67192
2005,Solapur,157142
2005,Satara,145032
2005,Ratnagiri,60301
2005,Sindhudurg,42829
2005,Kolhapur,370195
2005,Sangli,168131
