Year,District,SC,ST,OBC,Others
2013,Nandurbar,1943,12670,11133,14299
2013,Dhule,3190,6113,38058,17851
2013,Jalgaon,8051,7777,62123,62360
2013,Buldhana,8000,3197,30100,42128
2013,Akola,19908,6755,30713,55908
2013,Washim,3157,982,10226,13149
2013,Amravati,16246,7196,43677,56620
2013,Wardha,7485,4017,29447,19001
2013,Nagpur,39984,18935,100824,81762
2013,Bhandara,11110,4398,50837,12933
2013,Gondia,9712,5908,33954,13497
2013,Gadchiroli,4303,8140,13962,13781
2013,Chandrapur,10853,8727,45278,26716
2013,Yavatmal,5318,2670,23529,26489
2013,Nanded,6662,4205,19007,48589
2013,Hingoli,2299,1494,6169,19871
2013,Parbhani,3857,949,11561,36464
2013,Jalna,8423,1881,18355,58980
2013,Chh. Sambhaji Nagar,11944,3183,20785,88333
2013,Nashik,16160,11105,48624,112704
2013,Thane,30294,13410,76361,273338
2013,Mumbai Suburban,37451,10946,28991,346181
2013,Mumbai,14686,4294,10367,207778
2013,Raigad,5336,3964,23947,49430
2013,Pune,38941,17311,60914,351602
2013,Ahilyanagar,18150,11457,40188,154500
2013,Beed,8908,3944,36760,79654
2013,Latur,9099,3024,21558,58770
2013,Dharashiv,10842,3548,21805,80692
2013,Solapur,30231,10323,108329,205411
2013,Satara,25064,5889,80779,245549
2013,Ratnagiri,3431,1802,22997,30446
2013,Sindhudurg,1493,352,9327,28943
2013,Kolhapur,48838,8876,77116,407280
2013,Sangli,22214,7415,56992,173837
1998,Mumbai,25035,13050,40975,392959
1998,Thane,9681,10589,31169,158225
1998,Raigad,2077,2385,11710,31237
1998,Ratnagiri,2453,1931,14781,20710
1998,Sindhudurg,2660,519,13584,16995
1998,Nashik,11053,10056,29088,66655
1998,Dhule,6104,12098,29816,39244
1998,Jalgaon,5437,2369,28234,59314
1998,Ahilyanagar,6873,4476,19060,91085
1998,Pune,10460,5493,38743,173599
1998,Satara,5162,4606,18681,71031
1998,Sangli,7599,2259,25722,69167
1998,Solapur,9045,3462,31014,87543
1998,Kolhapur,9675,5403,25209,187791
1998,Chh. Sambhaji Nagar,4017,1738,12240,48866
1998,Jalna,2180,704,9539,24808
1998,Parbhani,2885,2505,9943,32280
1998,Beed,4659,3105,11315,36354
1998,Nanded,4247,2397,13125,38077
1998,Dharashiv,3381,1567,9987,26040
1998,Latur,2739,910,8093,28005
1998,Buldhana,4170,2259,16436,33008
1998,Akola,6919,2813,17404,53817
1998,Amravati,7610,5544,32900,34214
1998,Yavatmal,7613,5252,25609,33418
1998,Wardha,5830,2011,15262,11295
1998,Nagpur,20485,11289,47590,60628
1998,Bhandara,20575,7931,33756,26973
1998,Chandrapur,10774,6018,28722,16856
1998,Gadchiroli,2959,5233,12278,6542
1990,Mumbai,14066,4184,,405169
1990,Pune,13355,4151,,182555
1990,Satara,5829,884,,76185
1990,Sangli,7274,730,,79198
1990,Solapur,10437,2115,,113741
1990,Kolhapur,15407,2542,,170942
1990,Chh. Sambhaji Nagar,4309,1305,,53820
1990,Jalna,2997,675,,24755
1990,Parbhani,3762,1003,,41379
1990,Beed,4297,915,,40784
1990,Nanded,4309,2172,,45506
1990,Thane,6011,5638,,157875
1990,Dharashiv,3952,839,,31729
1990,Latur,4584,811,,37490
1990,Buldhana,4109,763,,45039
1990,Akola,4318,1582,,59411
1990,Amravati,4892,2392,,57409
1990,Yavatmal,3622,3595,,51153
1990,Wardha,2452,1745,,29067
1990,Nagpur,10418,12646,,90813
1990,Bhandara,16108,7711,,50038
1990,Chandrapur,5107,4809,,44562
1990,Raigad,1967,1971,,46349
1990,Gadchiroli,2181,2820,,17104
1990,Ratnagiri,1096,548,,40561
1990,Sindhudurg,1911,116,,27490
1990,Nashik,5799,6354,,96713
1990,Dhule,3649,8039,,63499
1990,Jalgaon,5068,3083,,82264
1990,Ahilyanagar,6453,2825,,92200
2005,Nandurbar,1240,5136,6603,6471
2005,Dhule,4042,3867,21890,7390
2005,Jalgaon,7295,5220,38381,18311
2005,Buldhana,4465,2366,22648,10612
2005,Akola,7466,2550,21672,10412
2005,Washim,2276,1388,9927,6414
2005,Amravati,8624,4907,37154,16333
2005,Wardha,7270,4066,21235,6722
2005,Nagpur,29308,17158,85769,23356
2005,Bhandara,8620,2863,29693,9599
2005,Gondia,7219,4722,23008,9630
2005,Gadchiroli,2695,2639,10521,9036
2005,Chandrapur,7774,5796,31122,13879
2005,Yavatmal,8310,6525,32803,12868
2005,Nanded,4728,3106,15865,14762
2005,Hingoli,1826,820,4904,5434
2005,Parbhani,2425,1522,8546,10027
2005,Jalna,4478,2346,12844,12167
2005,Chh. Sambhaji Nagar,7069,3848,21802,18054
2005,Nashik,9568,9779,39560,27111
2005,Thane,15544,14400,75171,36999
2005,Mumbai Suburban,42467,27675,88652,52960
2005,Mumbai,2820,2338,24412,19295
2005,Raigad,20474,10963,56485,47931
2005,Pune,8085,5783,31714,26243
2005,Ahilyanagar,4322,3973,18664,7933
2005,Beed,5432,2100,12311,10366
2005,Dharashiv,5085,1949,12507,12331
2005,Solapur,10205,4974,34524,26949
2005,Satara,7801,4185,33598,21496
2005,Ratnagiri,2260,1455,16666,18581
2005,Sindhudurg,1998,907,12789,10277
2005,Kolhapur,24908,9474,56331,47789
2005,Sangli,11296,5665,32344,22150
