Year,District,Self-Financed,Borrowing from Institutions,Borrowing from Non-Institutions,Financial Assistance from Govt. sources,Loans from SHGs,Donations/Transfers,Others
2013,Nandurbar,36417,774,193,5527,106,3770,
2013,Dhule,59771,2855,377,5379,286,3950,
2013,Jalgaon,125611,3956,649,10796,191,17441,
2013,Buldhana,68671,2872,251,7363,109,15706,
2013,Akola,96457,2822,166,7175,96,17089,
2013,Washim,23439,992,90,3071,71,4818,
2013,Amravati,105387,1328,424,8077,311,21382,
2013,Wardha,46472,4167,125,4647,892,11256,
2013,Nagpur,224964,4467,896,12429,600,15355,
2013,Bhandara,67739,3339,693,6012,328,8424,
2013,Gondia,56700,1018,270,5033,166,6996,
2013,Gadchiroli,35454,563,221,5832,116,5888,
2013,Chandrapur,73690,3000,453,10839,426,14585,
2013,Yavatmal,51902,1662,200,7497,149,6764,
2013,Nanded,71591,1825,557,8660,151,11177,
2013,Hingoli,25691,632,81,3030,18,6389,
2013,Parbhani,46261,1167,126,4521,71,7666,
2013,Jalna,79537,1893,198,5993,112,9885,
2013,Chhatrapati Sambhaji Nagar,114945,3335,504,10685,332,13557,
2013,Nashik,172471,7484,769,15739,379,17494,
2013,Thane,370697,9173,2385,16412,1296,38743,
2013,Mumbai Suburban,403623,11454,1551,15157,1094,32537,
2013,Mumbai City,234552,4199,1004,6190,422,14892,
2013,Raigad,70771,2952,347,9677,214,17711,
2013,Pune,431115,18969,1726,20112,1900,40647,
2013,Ahilyanagar,196895,7805,1097,13970,413,26237,
2013,Beed,114087,3627,883,9199,212,11339,
2013,Latur,84178,3102,751,7127,406,7370,
2013,Dharashiv,109528,2705,262,7041,310,4519,
2013,Solapur,331887,7644,1123,12969,549,19114,
2013,Satara,326851,14337,816,15709,2595,23339,
2013,Ratnagiri,49556,3243,288,8944,150,10129,
2013,Sindhudurg,34044,2970,203,5269,77,8653,
2013,Kolhapur,483616,30445,4670,21245,4603,26288,
2013,Sangli,224263,8200,1467,12067,790,31273,
1998,Mumbai City,425356,7762,10682,821,,,40871
1998,Thane,176307,9513,3251,9641,,,21159
1998,Raigad,35133,3549,1801,975,,,15755
1998,Ratnagiri,28056,4675,1283,1304,,,13872
1998,Sindhudurg,22649,3602,884,2092,,,6816
1998,Nashik,102175,5798,1612,1341,,,16489
1998,Dhule,71904,3362,1005,8189,,,11721
1998,Jalgaon,90252,1727,844,1652,,,13396
1998,Ahilyanagar,107741,5322,1355,966,,,18355
1998,Pune,193051,10853,4039,1658,,,31584
1998,Satara,70561,10259,2365,1215,,,20383
1998,Sangli,72234,15373,2575,930,,,21663
1998,Solapur,109957,4595,2240,1507,,,22994
1998,Kolhapur,147649,45348,10518,9180,,,24123
1998,Chhatrapati Sambhaji Nagar,55897,650,476,267,,,14144
1998,Jalna,33838,1083,195,133,,,5228
1998,Parbhani,38507,706,400,357,,,12438
1998,Beed,46545,2353,2228,632,,,7287
1998,Nanded,55167,483,229,310,,,6394
1998,Dharashiv,35207,754,384,260,,,7223
1998,Latur,32040,475,200,182,,,10415
1998,Buldhana,49377,2622,1161,651,,,8364
1998,Akola,66556,1244,678,1565,,,14495
1998,Amravati,72746,1306,595,509,,,14171
1998,Yavatmal,63535,1623,509,1063,,,11032
1998,Wardha,32283,686,287,294,,,7500
1998,Nagpur,131972,3542,1251,663,,,16817
1998,Bhandara,76965,4446,1071,1613,,,13908
1998,Chandrapur,56524,2149,322,1714,,,10074
1998,Gadchiroli,25456,591,150,355,,,6631
2005,Nandurbar,25020,1223,528,2889,,,337
2005,Dhule,53464,3204,1011,2234,,,293
2005,Jalgaon,122562,3845,1114,2787,,,1040
2005,Buldhana,62880,4986,567,2667,,,616
2005,Akola,66918,2549,990,2132,,,442
2005,Washim,29499,1087,136,1797,,,96
2005,Amravati,92150,3937,1234,2947,,,297
2005,Wardha,48142,1443,451,1360,,,344
2005,Nagpur,190185,8390,6539,4265,,,2562
2005,Bhandara,49055,5747,1917,2343,,,526
2005,Gondia,49292,2197,932,2577,,,328
2005,Gadchiroli,28710,929,503,3413,,,435
2005,Chandrapur,64622,4447,619,2981,,,678
2005,Yavatmal,82966,3202,646,2416,,,431
2005,Nanded,80055,912,699,1014,,,274
2005,Hingoli,19496,907,346,821,,,299
2005,Parbhani,41755,1730,383,1481,,,398
2005,Jalna,52428,3104,1307,2560,,,814
2005,Chhatrapati Sambhaji Nagar,108038,3522,951,2615,,,927
2005,Nashik,136014,13918,2330,5521,,,1631
2005,Thane,291332,19837,6259,6135,,,3589
2005,Mumbai Suburban,528145,19886,12417,7243,,,5403
2005,Mumbai City,69134,6443,1166,2300,,,1361
2005,Raigad,295882,26372,5892,7566,,,3986
2005,Pune,145775,12719,1572,5503,,,1826
2005,Ahilyanagar,94709,2969,267,1389,,,232
2005,Beed,66353,2892,433,2171,,,151
2005,Dharashiv,59640,2974,1057,2566,,,1065
2005,Solapur,138803,10024,1359,4942,,,2014
2005,Satara,120540,15811,2270,4683,,,1730
2005,Ratnagiri,51459,4897,858,2508,,,732
2005,Sindhudurg,35247,4443,602,1935,,,608
2005,Kolhapur,302415,46887,5407,10513,,,7044
2005,Sangli,137375,20499,1930,4766,,,3707
