Year,District,Self-Financed,Borrowings and Other Assistance
2013,Nandurbar,36417,10370
2013,Dhule,59771,12847
2013,Jalgaon,125611,33033
2013,Buldhana,68671,26301
2013,Akola,96457,27348
2013,Washim,23439,9042
2013,Amravati,105387,31522
2013,Wardha,46472,21087
2013,Nagpur,224964,33747
2013,Bhandara,67739,18796
2013,Gondia,56700,13483
2013,Gadchiroli,35454,12620
2013,Chandrapur,73690,29303
2013,Yavatmal,51902,16272
2013,Nanded,71591,22370
2013,Hingoli,25691,10150
2013,Parbhani,46261,13551
2013,Jalna,79537,18081
2013,Chh. Sambhaji Nagar,114945,28413
2013,Nashik,172471,41865
2013,Thane,370697,68009
2013,Mumbai Suburban,403623,61793
2013,Mumbai,234552,26707
2013,Raigad,70771,30901
2013,Pune,431115,83354
2013,Ahilyanagar,196895,49522
2013,Beed,114087,25260
2013,Latur,84178,18756
2013,Dharashiv,109528,14837
2013,Solapur,331887,41399
2013,Satara,326851,56796
2013,Ratnagiri,49556,22754
2013,Sindhudurg,34044,17172
2013,Kolhapur,483616,87251
2013,Sangli,224263,53797
1998,Mumbai,425356,60136
1998,Thane,176307,43564
1998,Raigad,35133,22080
1998,Ratnagiri,28056,21134
1998,Sindhudurg,22649,13394
1998,Nashik,102175,25240
1998,Dhule,71904,24277
1998,Jalgaon,90252,17619
1998,Ahilyanagar,107741,25998
1998,Pune,193051,48134
1998,Satara,70561,34222
1998,Sangli,72234,40541
1998,Solapur,109957,31336
1998,Kolhapur,147649,89169
1998,Chh. Sambhaji Nagar,55897,15537
1998,Jalna,33838,6639
1998,Parbhani,38507,13901
1998,Beed,46545,12500
1998,Nanded,55167,7416
1998,Dharashiv,35207,8621
1998,Latur,32040,11272
1998,Buldhana,49377,12798
1998,Akola,66556,17982
1998,Amravati,72746,16581
1998,Yavatmal,63535,14227
1998,Wardha,32283,8767
1998,Nagpur,131972,22273
1998,Bhandara,76965,21038
1998,Chandrapur,56524,14259
1998,Gadchiroli,25456,7727
2005,Nandurbar,25020,4977
2005,Dhule,53464,6742
2005,Jalgaon,122562,8786
2005,Buldhana,62880,8836
2005,Akola,66918,6113
2005,Washim,29499,3116
2005,Amravati,92150,8415
2005,Wardha,48142,3598
2005,Nagpur,190185,21756
2005,Bhandara,49055,10533
2005,Gondia,49292,6034
2005,Gadchiroli,28710,5280
2005,Chandrapur,64622,8725
2005,Yavatmal,82966,6695
2005,Nanded,80055,2899
2005,Hingoli,19496,2373
2005,Parbhani,41755,3992
2005,Jalna,52428,7785
2005,Chh. Sambhaji Nagar,108038,8015
2005,Nashik,136014,23400
2005,Thane,291332,35820
2005,Mumbai Suburban,528145,44949
2005,Mumbai,69134,11270
2005,Raigad,295882,43816
2005,Pune,145775,21620
2005,Ahilyanagar,94709,4857
2005,Beed,66353,5647
2005,Dharashiv,59640,7662
2005,Solapur,138803,18339
2005,Satara,120540,24494
2005,Ratnagiri,51459,8995
2005,Sindhudurg,35247,7588
2005,Kolhapur,302415,69851
2005,Sangli,137375,30902
