Year,District,Govt/PSU,Cooperative,Private Sector
2013,Nandurbar,3841,95,42851
2013,Dhule,3294,304,69020
2013,Jalgaon,6818,717,151109
2013,Buldhana,4549,204,90219
2013,Akola,3471,77,120257
2013,Washim,1960,71,30450
2013,Amravati,5009,246,131654
2013,Wardha,2705,183,64671
2013,Nagpur,7026,350,251335
2013,Bhandara,3156,224,83155
2013,Gondia,2956,183,67044
2013,Gadchiroli,4378,70,43626
2013,Chandrapur,5743,222,97028
2013,Yavatmal,5046,132,62996
2013,Nanded,6101,147,87713
2013,Hingoli,1855,44,33942
2013,Parbhani,2955,111,56746
2013,Jalna,3884,67,93667
2013,Chhatrapati Sambhaji Nagar,6764,299,136295
2013,Nashik,10290,781,203265
2013,Thane,8205,1998,428503
2013,Mumbai Suburban,7296,1593,456527
2013,Mumbai City,3283,798,257178
2013,Raigad,6546,200,94926
2013,Pune,11155,1407,501907
2013,Ahilyanagar,8711,1132,236574
2013,Beed,4747,216,134384
2013,Latur,4116,192,98626
2013,Dharashiv,4182,205,119978
2013,Solapur,8064,557,364665
2013,Satara,8072,1126,374449
2013,Ratnagiri,5836,206,66268
2013,Sindhudurg,3742,221,47253
2013,Kolhapur,8447,3458,558962
2013,Sangli,6112,818,271130
1998,Mumbai City,9039,2238,474215
1998,Thane,7887,808,211176
1998,Raigad,5775,678,50760
1998,Ratnagiri,6690,979,41521
1998,Sindhudurg,1892,312,33839
1998,Nashik,8871,1038,117506
1998,Dhule,7235,1308,87638
1998,Jalgaon,6915,1827,99129
1998,Ahilyanagar,8340,3520,121879
1998,Pune,7967,2014,231204
1998,Satara,3898,959,99926
1998,Sangli,3618,1988,107169
1998,Solapur,6719,2430,132144
1998,Kolhapur,3527,3926,229365
1998,Chhatrapati Sambhaji Nagar,3787,363,67284
1998,Jalna,2262,209,38006
1998,Parbhani,2822,522,49064
1998,Beed,3112,226,55707
1998,Nanded,3908,447,58228
1998,Dharashiv,2473,289,41066
1998,Latur,2804,530,39978
1998,Buldhana,3894,498,57783
1998,Akola,2976,308,81254
1998,Amravati,7110,679,81538
1998,Yavatmal,5222,234,72306
1998,Wardha,4515,927,35608
1998,Nagpur,9454,1397,143394
1998,Bhandara,6821,860,90322
1998,Chandrapur,6480,682,63621
1998,Gadchiroli,5302,475,27406
1990,Mumbai City,12703,6434,404282
1990,Pune,16465,2449,181147
1990,Satara,7430,2360,73108
1990,Sangli,5710,2264,79228
1990,Solapur,8751,2176,115366
1990,Kolhapur,7601,4305,176985
1990,Chhatrapati Sambhaji Nagar,4381,780,54273
1990,Jalna,1858,366,26203
1990,Parbhani,4177,592,41375
1990,Beed,4042,546,41408
1990,Nanded,3698,712,47577
1990,Thane,9132,1609,158783
1990,Dharashiv,2987,505,33028
1990,Latur,3342,664,38879
1990,Buldhana,3807,819,45285
1990,Akola,6059,794,58458
1990,Amravati,6444,893,57356
1990,Yavatmal,6633,722,51015
1990,Wardha,3177,908,29179
1990,Nagpur,6711,1707,105459
1990,Bhandara,4111,941,68805
1990,Chandrapur,5998,677,47803
1990,Raigad,7208,667,42412
1990,Gadchiroli,3342,231,18532
1990,Ratnagiri,8078,791,33336
1990,Sindhudurg,4026,695,24796
1990,Nashik,13113,2084,93669
1990,Dhule,6248,1113,67826
1990,Jalgaon,5632,2041,82742
1990,Ahilyanagar,8537,2820,90121
2005,Nandurbar,4490,298,25209
2005,Dhule,4073,885,55241
2005,Jalgaon,9326,1810,120100
2005,Buldhana,5619,808,65287
2005,Akola,6468,409,66104
2005,Washim,2939,430,29246
2005,Amravati,8099,888,91577
2005,Wardha,3264,707,47735
2005,Nagpur,12282,1374,197393
2005,Bhandara,4373,611,54066
2005,Gondia,4124,581,50457
2005,Gadchiroli,5448,605,27935
2005,Chandrapur,7091,1504,64737
2005,Yavatmal,8074,1113,80458
2005,Nanded,9345,484,72349
2005,Hingoli,3462,212,18191
2005,Parbhani,4951,504,40290
2005,Jalna,4377,478,55328
2005,Chhatrapati Sambhaji Nagar,8247,1071,106735
2005,Nashik,13659,1827,143671
2005,Thane,14965,2590,307449
2005,Mumbai Suburban,10697,5763,555738
2005,Mumbai City,9830,879,69693
2005,Raigad,19937,3669,316015
2005,Pune,12186,3015,152084
2005,Ahilyanagar,4466,525,94574
2005,Beed,5653,767,65576
2005,Dharashiv,6993,572,59627
2005,Solapur,9725,2468,144949
2005,Satara,10117,2547,132368
2005,Ratnagiri,7797,1136,51368
2005,Sindhudurg,5255,676,36898
2005,Kolhapur,10131,6966,353098
2005,Sangli,8858,2392,156881
