District,Year,Taluka,Manufacturing Category,No. of Workers
Ahilyanagar,2023,Nagar,Textile & Apparel,20
Ahilyanagar,2023,Nagar,Textile & Apparel,50
Ahilyanagar,2023,Nagar,Automotive & Transport,80
Ahilyanagar,2023,Parner,Automotive & Transport,406
Ahilyanagar,2023,Sangamner,Wood & Paper Products,22
Ahilyanagar,2023,Nagar,Metal & Engineering,24
Ahilyanagar,2023,Shrirampur,Others,2
Ahilyanagar,2023,Parner,Others,35
Ahilyanagar,2023,Nagar,Textile & Apparel,35
Ahilyanagar,2023,Nagar,Metal & Engineering,55
Ahilyanagar,2023,Nagar,Textile & Apparel,25
Ahilyanagar,2023,Nagar,Metal & Engineering,21
Ahilyanagar,2023,Nagar,Machinery & Equipment,30
Ahilyanagar,2023,Nagar,Others,11
Ahilyanagar,2023,Akole,Food & Beverages,3
Ahilyanagar,2023,Akole,Food & Beverages,652
Ahilyanagar,2023,Nagar,Others,2
Ahilyanagar,2023,Nagar,Others,100
Ahilyanagar,2023,Nagar,Others,6
Ahilyanagar,2023,Nagar,Food & Beverages,3
Ahilyanagar,2023,Nagar,Textile & Apparel,33
Ahilyanagar,2023,Rahuri,Food & Beverages,2
Ahilyanagar,2023,Rahuri,Others,5
Ahilyanagar,2023,Nagar,Metal & Engineering,22
Ahilyanagar,2023,Nagar,Plastic & Rubber,40
Ahilyanagar,2023,Nagar,Automotive & Transport,44
Ahilyanagar,2023,Karjat,Food & Beverages,600
Ahilyanagar,2023,Karjat,Food & Beverages,3
Ahilyanagar,2023,Shrirampur,Food & Beverages,3
Ahilyanagar,2023,Nagar,Food & Beverages,4
Ahilyanagar,2023,Shevgaon,Food & Beverages,3
Ahilyanagar,2023,Nagar,Others,160
Ahilyanagar,2023,Kopargaon,Metal & Engineering,16
Ahilyanagar,2023,Nagar,Automotive & Transport,45
Ahilyanagar,2023,Nagar,Others,16
Ahilyanagar,2023,Akole,Others,4
Ahilyanagar,2023,Akole,Food & Beverages,128
Ahilyanagar,2023,Nagar,Food & Beverages,1
Ahilyanagar,2023,Nagar,Wood & Paper Products,0
Ahilyanagar,2023,Pathardi,Food & Beverages,3
Ahilyanagar,2023,Shrirampur,Food & Beverages,2
Ahilyanagar,2023,Nagar,Textile & Apparel,23
Ahilyanagar,2023,Nagar,Textile & Apparel,25
Ahilyanagar,2023,Nagar,Chemical & Pharmaceutical,20
Ahilyanagar,2023,Nagar,Food & Beverages,15
Ahilyanagar,2023,Nagar,Textile & Apparel,20
Ahilyanagar,2023,Shevgaon,Textile & Apparel,25
Ahilyanagar,2023,Nagar,Machinery & Equipment,24
Ahilyanagar,2023,Nagar,Chemical & Pharmaceutical,25
Ahilyanagar,2023,Rahata,Food & Beverages,2
Ahilyanagar,2023,Nagar,Automotive & Transport,205
Ahilyanagar,2023,Nagar,Others,81
Ahilyanagar,2023,Nagar,Textile & Apparel,25
Ahilyanagar,2023,Pathardi,Textile & Apparel,30
Ahilyanagar,2023,Shrirampur,Food & Beverages,6
Ahilyanagar,2023,Shrirampur,Others,2
Ahilyanagar,2023,Shrirampur,Food & Beverages,19
Ahilyanagar,2023,Nagar,Chemical & Pharmaceutical,16
Ahilyanagar,2023,Shrirampur,Food & Beverages,980
Ahilyanagar,2023,Nagar,Automotive & Transport,20
Ahilyanagar,2023,Kopargaon,Others,12
Ahilyanagar,2023,Nagar,Plastic & Rubber,20
Ahilyanagar,2023,Nagar,Others,22
Ahilyanagar,2023,Nagar,Food & Beverages,40
Ahilyanagar,2023,Nagar,Metal & Engineering,15
Ahilyanagar,2023,Nagar,Automotive & Transport,16
Ahilyanagar,2023,Nagar,Food & Beverages,5
Ahilyanagar,2023,Nagar,Metal & Engineering,20
Ahilyanagar,2023,Shrirampur,Plastic & Rubber,10
Ahilyanagar,2023,Jamkhed,Plastic & Rubber,22
Ahilyanagar,2023,Nagar,Metal & Engineering,22
Ahilyanagar,2023,Nagar,Metal & Engineering,35
Ahilyanagar,2023,Nagar,Food & Beverages,2
Ahilyanagar,2023,Nagar,Metal & Engineering,11
Ahilyanagar,2023,Nagar,Food & Beverages,4
Ahilyanagar,2023,Nagar,Automotive & Transport,22
Ahilyanagar,2023,Nagar,Others,20
Ahilyanagar,2023,Nagar,Others,39
Ahilyanagar,2023,Nagar,Food & Beverages,9
Ahilyanagar,2023,Parner,Food & Beverages,3
Ahilyanagar,2023,Kopargaon,Metal & Engineering,20
Ahilyanagar,2023,Nagar,Metal & Engineering,21
Ahilyanagar,2023,Shrirampur,Food & Beverages,8
Ahilyanagar,2023,Kopargaon,Food & Beverages,3
Ahilyanagar,2023,Rahata,Food & Beverages,10
Ahilyanagar,2023,Karjat,Food & Beverages,3
Ahilyanagar,2023,Parner,Food & Beverages,5
Ahilyanagar,2023,Jamkhed,Food & Beverages,3
Ahilyanagar,2023,Parner,Food & Beverages,2
Ahilyanagar,2023,Kopargaon,Machinery & Equipment,27
Ahilyanagar,2023,Kopargaon,Textile & Apparel,48
Ahilyanagar,2023,Nagar,Metal & Engineering,12
Ahilyanagar,2023,Shrirampur,Others,7
Ahilyanagar,2023,Nagar,Others,10
Ahilyanagar,2023,Kopargaon,Metal & Engineering,14
Ahilyanagar,2023,Shrirampur,Food & Beverages,10
Ahilyanagar,2023,Nagar,Automotive & Transport,150
Ahilyanagar,2023,Nagar,Food & Beverages,3
Ahilyanagar,2023,Kopargaon,Metal & Engineering,9
Ahilyanagar,2023,Nagar,Food & Beverages,2
Ahilyanagar,2023,Nagar,Metal & Engineering,16
Ahilyanagar,2023,Parner,Metal & Engineering,24
Ahilyanagar,2023,Parner,Food & Beverages,3
Ahilyanagar,2023,Nagar,Metal & Engineering,15
Ahilyanagar,2023,Sangamner,Others,25
Ahilyanagar,2023,Shevgaon,Food & Beverages,3
Ahilyanagar,2023,Nagar,Chemical & Pharmaceutical,7
Ahilyanagar,2023,Nagar,Metal & Engineering,40
Ahilyanagar,2023,Nagar,Metal & Engineering,37
Ahilyanagar,2023,Nagar,Metal & Engineering,169
Ahilyanagar,2023,Pathardi,Food & Beverages,2
Ahilyanagar,2023,Rahuri,Food & Beverages,15
Ahilyanagar,2023,Nagar,Others,403
Ahilyanagar,2023,Nagar,Food & Beverages,28
