Year,District,Rural/Urban,Age Group,Main Workers,Marginal Workers,Non Workers
2011,Nandurbar,Total,05-09,2543,809,94842
2011,Nandurbar,Total,10-14,7036,3076,96212
2011,Nandurbar,Total,15-19,25834,7201,58662
2011,Nandurbar,Total,20-24,44892,7469,22562
2011,Nandurbar,Total,25-29,51206,5886,5933
2011,Nandurbar,Total,30-34,47810,4292,2036
2011,Nandurbar,Total,35-39,46971,3828,1356
2011,Nandurbar,Total,40-49,80380,6036,2140
2011,Nandurbar,Total,50-59,50714,3741,3074
2011,Nandurbar,Total,60-69,27067,2901,7637
2011,Nandurbar,Total,70-79,8483,1316,6554
2011,Nandurbar,Total,80+,1792,310,2756
2011,Nandurbar,Rural,05-09,2113,716,81187
2011,Nandurbar,Rural,10-14,6176,2878,78226
2011,Nandurbar,Rural,15-19,22859,6496,43677
2011,Nandurbar,Rural,20-24,38718,6502,14722
2011,Nandurbar,Rural,25-29,42786,4916,3937
2011,Nandurbar,Rural,30-34,39204,3563,1335
2011,Nandurbar,Rural,35-39,38401,3131,966
2011,Nandurbar,Rural,40-49,65931,4974,1515
2011,Nandurbar,Rural,50-59,42503,3137,1970
2011,Nandurbar,Rural,60-69,24167,2566,5065
2011,Nandurbar,Rural,70-79,7593,1171,4837
2011,Nandurbar,Rural,80+,1601,276,2071
2011,Nandurbar,Urban,05-09,430,93,13655
2011,Nandurbar,Urban,10-14,860,198,17986
2011,Nandurbar,Urban,15-19,2975,705,14985
2011,Nandurbar,Urban,20-24,6174,967,7840
2011,Nandurbar,Urban,25-29,8420,970,1996
2011,Nandurbar,Urban,30-34,8606,729,701
2011,Nandurbar,Urban,35-39,8570,697,390
2011,Nandurbar,Urban,40-49,14449,1062,625
2011,Nandurbar,Urban,50-59,8211,604,1104
2011,Nandurbar,Urban,60-69,2900,335,2572
2011,Nandurbar,Urban,70-79,890,145,1717
2011,Nandurbar,Urban,80+,191,34,685
2011,Dhule,Total,05-09,2259,1246,107394
2011,Dhule,Total,10-14,7059,2913,106623
2011,Dhule,Total,15-19,29009,6064,70435
2011,Dhule,Total,20-24,57569,6685,32634
2011,Dhule,Total,25-29,69477,5254,9914
2011,Dhule,Total,30-34,66475,4200,3507
2011,Dhule,Total,35-39,63363,3609,2441
2011,Dhule,Total,40-49,106821,5580,4145
2011,Dhule,Total,50-59,69253,3694,6713
2011,Dhule,Total,60-69,34981,2784,16465
2011,Dhule,Total,70-79,12055,1333,13214
2011,Dhule,Total,80+,3112,358,5240
2011,Dhule,Rural,05-09,1945,1044,80092
2011,Dhule,Rural,10-14,5994,2572,76753
2011,Dhule,Rural,15-19,23707,5153,46328
2011,Dhule,Rural,20-24,44824,5323,18102
2011,Dhule,Rural,25-29,50759,3926,4994
2011,Dhule,Rural,30-34,47450,3005,1852
2011,Dhule,Rural,35-39,45180,2597,1275
2011,Dhule,Rural,40-49,75192,3963,2194
2011,Dhule,Rural,50-59,50389,2787,3081
2011,Dhule,Rural,60-69,29337,2290,8499
2011,Dhule,Rural,70-79,10397,1173,8558
2011,Dhule,Rural,80+,2489,285,3585
2011,Dhule,Urban,05-09,314,202,27302
2011,Dhule,Urban,10-14,1065,341,29870
2011,Dhule,Urban,15-19,5302,911,24107
2011,Dhule,Urban,20-24,12745,1362,14532
2011,Dhule,Urban,25-29,18718,1328,4920
2011,Dhule,Urban,30-34,19025,1195,1655
2011,Dhule,Urban,35-39,18183,1012,1166
2011,Dhule,Urban,40-49,31629,1617,1951
2011,Dhule,Urban,50-59,18864,907,3632
2011,Dhule,Urban,60-69,5644,494,7966
2011,Dhule,Urban,70-79,1658,160,4656
2011,Dhule,Urban,80+,623,73,1655
2011,Jalgaon,Total,05-09,3120,1780,208419
2011,Jalgaon,Total,10-14,9297,3964,214276
2011,Jalgaon,Total,15-19,53137,11448,157012
2011,Jalgaon,Total,20-24,120238,16287,76589
2011,Jalgaon,Total,25-29,145859,13584,23280
2011,Jalgaon,Total,30-34,137518,10772,8044
2011,Jalgaon,Total,35-39,131958,9469,5327
2011,Jalgaon,Total,40-49,223653,14465,8920
2011,Jalgaon,Total,50-59,146836,9498,14213
2011,Jalgaon,Total,60-69,70965,7086,38200
2011,Jalgaon,Total,70-79,25536,3326,32824
2011,Jalgaon,Total,80+,6177,840,12825
2011,Jalgaon,Rural,05-09,2243,1264,145355
2011,Jalgaon,Rural,10-14,7349,3126,148936
2011,Jalgaon,Rural,15-19,42311,8826,102754
2011,Jalgaon,Rural,20-24,91816,11622,42255
2011,Jalgaon,Rural,25-29,103122,8851,10706
2011,Jalgaon,Rural,30-34,93860,6781,3585
2011,Jalgaon,Rural,35-39,89004,5838,2352
2011,Jalgaon,Rural,40-49,149977,9016,4069
2011,Jalgaon,Rural,50-59,99707,6210,6432
2011,Jalgaon,Rural,60-69,56245,5327,19498
2011,Jalgaon,Rural,70-79,20853,2639,20875
2011,Jalgaon,Rural,80+,4485,598,8293
2011,Jalgaon,Urban,05-09,877,516,63064
2011,Jalgaon,Urban,10-14,1948,838,65340
2011,Jalgaon,Urban,15-19,10826,2622,54258
2011,Jalgaon,Urban,20-24,28422,4665,34334
2011,Jalgaon,Urban,25-29,42737,4733,12574
2011,Jalgaon,Urban,30-34,43658,3991,4459
2011,Jalgaon,Urban,35-39,42954,3631,2975
2011,Jalgaon,Urban,40-49,73676,5449,4851
2011,Jalgaon,Urban,50-59,47129,3288,7781
2011,Jalgaon,Urban,60-69,14720,1759,18702
2011,Jalgaon,Urban,70-79,4683,687,11949
2011,Jalgaon,Urban,80+,1692,242,4532
2011,Buldhana,Total,05-09,3199,448,122979
2011,Buldhana,Total,10-14,6182,1308,134264
2011,Buldhana,Total,15-19,33219,5589,97872
2011,Buldhana,Total,20-24,81489,8886,43539
2011,Buldhana,Total,25-29,94798,7135,11897
2011,Buldhana,Total,30-34,85253,5382,3446
2011,Buldhana,Total,35-39,80197,4582,2299
