Year,District,Rural/Urban,Age Group,Main Workers,Marginal Workers,Non-Workers,Non-Workers Seeking Work,People Seeking Work
2011,Nandurbar,Total,05-09,2543,809,94842,620,159
2011,Nandurbar,Total,10-14,7036,3076,96212,1397,925
2011,Nandurbar,Total,15-19,25834,7201,58662,7054,3841
2011,Nandurbar,Total,20-24,44892,7469,22562,6183,4742
2011,Nandurbar,Total,25-29,51206,5886,5933,2021,3585
2011,Nandurbar,Total,30-34,47810,4292,2036,594,2458
2011,Nandurbar,Total,35-39,46971,3828,1356,334,2113
2011,Nandurbar,Total,40-49,80380,6036,2140,351,3013
2011,Nandurbar,Total,50-59,50714,3741,3074,251,1564
2011,Nandurbar,Total,60-69,27067,2901,7637,201,866
2011,Nandurbar,Total,70-79,8483,1316,6554,87,291
2011,Nandurbar,Total,80+,1792,310,2756,23,60
2011,Nandurbar,Rural,05-09,2113,716,81187,555,137
2011,Nandurbar,Rural,10-14,6176,2878,78226,1185,843
2011,Nandurbar,Rural,15-19,22859,6496,43677,4870,3491
2011,Nandurbar,Rural,20-24,38718,6502,14722,3738,4207
2011,Nandurbar,Rural,25-29,42786,4916,3937,1295,3078
2011,Nandurbar,Rural,30-34,39204,3563,1335,375,2111
2011,Nandurbar,Rural,35-39,38401,3131,966,237,1797
2011,Nandurbar,Rural,40-49,65931,4974,1515,269,2560
2011,Nandurbar,Rural,50-59,42503,3137,1970,193,1388
2011,Nandurbar,Rural,60-69,24167,2566,5065,163,761
2011,Nandurbar,Rural,70-79,7593,1171,4837,67,264
2011,Nandurbar,Rural,80+,1601,276,2071,21,59
2011,Nandurbar,Urban,05-09,430,93,13655,65,22
2011,Nandurbar,Urban,10-14,860,198,17986,212,82
2011,Nandurbar,Urban,15-19,2975,705,14985,2184,350
2011,Nandurbar,Urban,20-24,6174,967,7840,2445,535
2011,Nandurbar,Urban,25-29,8420,970,1996,726,507
2011,Nandurbar,Urban,30-34,8606,729,701,219,347
2011,Nandurbar,Urban,35-39,8570,697,390,97,316
