District,Year,Taluka,Shops,Business Organizations,Hotels and Restaurants,Cinema Halls,Organizations without Workers
Ahilyanagar,2012,Akole,517,15,103,1,
Ahilyanagar,2012,Sangamner,2854,725,94,1,
Ahilyanagar,2012,Kopargaon,2524,564,91,2,
Ahilyanagar,2012,Rahata,833,36,441,3,
Ahilyanagar,2012,Srirampur,4666,666,266,1,
Ahilyanagar,2012,Nevasa,135,10,18,1,
Ahilyanagar,2012,Shevgaon,1418,404,186,0,
Ahilyanagar,2012,Pathardi,922,149,88,0,
Ahilyanagar,2012,Nagar,19489,10657,1349,5,
Ahilyanagar,2012,Rahuri,1107,235,92,3,
Ahilyanagar,2012,Parner,60,3,47,0,
Ahilyanagar,2012,Srigonda,1082,6,71,0,
Ahilyanagar,2012,Karjat,533,19,53,0,
Ahilyanagar,2012,Jamkhed,1153,213,113,1,
Ahilyanagar,2013,Akole,527,15,105,1,
Ahilyanagar,2013,Sangamner,2911,740,96,1,
Ahilyanagar,2013,Kopargaon,2574,575,93,2,
Ahilyanagar,2013,Rahata,850,37,450,3,
Ahilyanagar,2013,Srirampur,4759,679,271,2,
Ahilyanagar,2013,Nevasa,138,10,18,1,
Ahilyanagar,2013,Shevgaon,1446,412,190,0,
Ahilyanagar,2013,Pathardi,940,152,98,0,
Ahilyanagar,2013,Nagar,19879,10870,1376,4,
Ahilyanagar,2013,Rahuri,1129,240,94,3,
Ahilyanagar,2013,Parner,61,3,48,0,
Ahilyanagar,2013,Srigonda,1104,6,72,0,
Ahilyanagar,2013,Karjat,544,19,54,0,
Ahilyanagar,2013,Jamkhed,1176,217,115,1,
Ahilyanagar,2014,Akole,,,,,
Ahilyanagar,2014,Sangamner,4183,1734,254,6,
Ahilyanagar,2014,Kopargaon,2677,641,99,1,
Ahilyanagar,2014,Rahata,,,,,
Ahilyanagar,2014,Srirampur,5558,1245,364,4,
Ahilyanagar,2014,Nevasa,,,,,
Ahilyanagar,2014,Shevgaon,1631,484,198,2,
Ahilyanagar,2014,Pathardi,1068,231,101,1,
Ahilyanagar,2014,Nagar,25623,14800,1753,25,
Ahilyanagar,2014,Rahuri,1303,354,113,1,
Ahilyanagar,2014,Parner,,,,,
Ahilyanagar,2014,Srigonda,,,,,
Ahilyanagar,2014,Karjat,,,,,
Ahilyanagar,2014,Jamkhed,,,,,
