District,Year,Taluka,Number of MSME Industries,Number of employees (in Lakh),Number of Employees
Ahilyanagar,2018,Akole,585.0,0.03,3000.0
Ahilyanagar,2018,Sangamner,1819.0,0.12,12000.0
Ahilyanagar,2018,Kopargaon,1102.0,0.06,6000.0
Ahilyanagar,2018,Rahata,1246.0,0.07,7000.0
Ahilyanagar,2018,Srirampur,2241.0,0.12,12000.0
Ahilyanagar,2018,Nevasa,1670.0,0.08,8000.0
Ahilyanagar,2018,Shevgaon,583.0,0.03,3000.0
Ahilyanagar,2018,Pathardi,759.0,0.03,3000.0
Ahilyanagar,2018,Nagar,11175.0,0.64,64000.0
Ahilyanagar,2018,Rahuri,1523.0,0.08,8000.0
Ahilyanagar,2018,Parner,1101.0,0.08,8000.0
Ahilyanagar,2018,Srigonda,764.0,0.05,5000.0
Ahilyanagar,2018,Karjat,764.0,0.03,3000.0
Ahilyanagar,2018,Jamkhed,663.0,0.03,3000.0
Ahilyanagar,2019,Akole,585.0,0.03,3000.0
Ahilyanagar,2019,Sangamner,1819.0,0.12,12000.0
Ahilyanagar,2019,Kopargaon,1102.0,0.06,6000.0
Ahilyanagar,2019,Rahata,1246.0,0.07,7000.0
Ahilyanagar,2019,Srirampur,2241.0,0.12,12000.0
Ahilyanagar,2019,Nevasa,1670.0,0.08,8000.0
Ahilyanagar,2019,Shevgaon,583.0,0.03,3000.0
Ahilyanagar,2019,Pathardi,759.0,0.03,3000.0
Ahilyanagar,2019,Nagar,11175.0,0.64,64000.0
Ahilyanagar,2019,Rahuri,1523.0,0.08,8000.0
Ahilyanagar,2019,Parner,1101.0,0.08,8000.0
Ahilyanagar,2019,Srigonda,764.0,0.05,5000.0
Ahilyanagar,2019,Karjat,764.0,0.03,3000.0
Ahilyanagar,2019,Jamkhed,663.0,0.03,3000.0
Ahilyanagar,2020,Akole,597.0,0.04,4000.0
Ahilyanagar,2020,Sangamner,1878.0,0.13,13000.0
Ahilyanagar,2020,Kopargaon,1131.0,0.06,6000.0
Ahilyanagar,2020,Rahata,1297.0,0.08,8000.0
Ahilyanagar,2020,Srirampur,2293.0,0.13,13000.0
Ahilyanagar,2020,Nevasa,1699.0,0.09,9000.0
Ahilyanagar,2020,Shevgaon,591.0,0.04,4000.0
Ahilyanagar,2020,Pathardi,769.0,0.04,4000.0
Ahilyanagar,2020,Nagar,11325.0,0.66,66000.0
Ahilyanagar,2020,Rahuri,1559.0,0.08,8000.0
Ahilyanagar,2020,Parner,1120.0,0.09,9000.0
Ahilyanagar,2020,Srigonda,781.0,0.06,6000.0
Ahilyanagar,2020,Karjat,764.0,0.03,3000.0
Ahilyanagar,2020,Jamkhed,681.0,0.04,4000.0
Ahilyanagar,2021,Akole,602.0,0.04,4000.0
Ahilyanagar,2021,Sangamner,2109.0,0.13,13000.0
Ahilyanagar,2021,Kopargaon,1223.0,0.07,7000.0
Ahilyanagar,2021,Rahata,1423.0,0.07,7000.0
Ahilyanagar,2021,Srirampur,2402.0,0.14,14000.0
Ahilyanagar,2021,Nevasa,1701.0,0.09,9000.0
Ahilyanagar,2021,Shevgaon,597.0,0.04,4000.0
Ahilyanagar,2021,Pathardi,795.0,0.04,4000.0
Ahilyanagar,2021,Nagar,12180.0,0.73,73000.0
Ahilyanagar,2021,Rahuri,1585.0,0.08,8000.0
Ahilyanagar,2021,Parner,1203.0,0.09,9000.0
Ahilyanagar,2021,Srigonda,790.0,0.05,5000.0
Ahilyanagar,2021,Karjat,772.0,0.03,3000.0
Ahilyanagar,2021,Jamkhed,670.0,0.03,3000.0
Akola,2018,Telhara,205.0,0.00615,615.0
Akola,2018,Akot,430.0,0.0129,1290.0
Akola,2018,Balapur,621.0,0.01863,1863.0
Akola,2018,Akola,2780.0,0.0834,8340.0
Akola,2018,Murtijapur,758.0,0.00761,761.0
Akola,2018,Patur,252.0,0.00756,756.0
Akola,2018,Barshitakali,75.0,0.00225,225.0
Akola,2019,Telhara,220.0,0.00645,645.0
Akola,2019,Akot,450.0,0.0133,1330.0
Akola,2019,Balapur,640.0,0.0191,1910.0
Akola,2019,Akola,2950.0,0.0852,8520.0
Akola,2019,Murtijapur,770.0,0.00782,782.0
Akola,2019,Patur,260.0,0.00765,765.0
Akola,2019,Barshitakali,80.0,0.0024,240.0
Akola,2020,Telhara,220.0,0.00648,648.0
Akola,2020,Akot,453.0,0.01332,1332.0
Akola,2020,Balapur,642.0,0.0195,1950.0
Akola,2020,Akola,2954.0,0.08525,8525.0
Akola,2020,Murtijapur,775.0,0.00784,784.0
Akola,2020,Patur,263.0,0.00768,768.0
Akola,2020,Barshitakali,82.0,0.0027,270.0
Akola,2021,Telhara,320.0,0.0096,960.0
Akola,2021,Akot,645.0,0.01935,1935.0
Akola,2021,Balapur,785.0,0.02355,2355.0
Akola,2021,Akola,5610.0,0.1122,11220.0
Akola,2021,Murtijapur,940.0,0.0188,1880.0
Akola,2021,Patur,460.0,0.0138,1380.0
Akola,2021,Barshitakali,315.0,0.0063,630.0
Amravati,2018,Dharani,32.0,0.00097,97.0
Amravati,2018,Chikhraldara,24.0,0.00335,335.0
Amravati,2018,Anjangaon Su,173.0,0.00579,579.0
Amravati,2018,Achalpur,618.0,0.01404,1404.0
Amravati,2018,Chandurbazar,139.0,0.00467,467.0
Amravati,2018,Morshi,161.0,0.00428,428.0
Amravati,2018,Warud,222.0,0.00718,718.0
Amravati,2018,Tivas,90.0,0.00289,289.0
Amravati,2018,Amravati,2681.0,0.09011,9011.0
Amravati,2018,Bhatkuli,15.0,0.00049,49.0
Amravati,2018,Daryapur,263.0,0.00797,797.0
Amravati,2018,Nandgaon Kh,83.0,0.00339,339.0
Amravati,2018,Chandur Railway,114.0,0.00337,337.0
Amravati,2018,Dhamangaon Re,80.0,0.00673,673.0
Amravati,2019,Dharani,113.0,0.00492,492.0
Amravati,2019,Chikhraldara,32.0,0.00098,98.0
Amravati,2019,Anjangaon Su,422.0,0.01471,1471.0
Amravati,2019,Achalpur,752.0,0.02136,2136.0
Amravati,2019,Chandurbazar,311.0,0.01157,1157.0
Amravati,2019,Morshi,400.0,0.01914,1914.0
Amravati,2019,Warud,553.0,0.01299,1299.0
Amravati,2019,Tivas,132.0,0.00473,473.0
Amravati,2019,Amravati,3194.0,0.10751,10751.0
Amravati,2019,Bhatkuli,52.0,0.00151,151.0
Amravati,2019,Daryapur,493.0,0.01393,1393.0
Amravati,2019,Nandgaon Kh,183.0,0.00651,651.0
Amravati,2019,Chandur Railway,170.0,0.00497,497.0
Amravati,2019,Dhamangaon Re,258.0,0.00959,959.0
Amravati,2020,Dharani,96.0,0.00302,302.0
Amravati,2020,Chikhraldara,43.0,0.001,100.0
Amravati,2020,Anjangaon Su,324.0,0.00765,765.0
Amravati,2020,Achalpur,617.0,0.01894,1894.0
Amravati,2020,Chandurbazar,384.0,0.01163,1163.0
Amravati,2020,Morshi,278.0,0.00641,641.0
Amravati,2020,Warud,792.0,0.01516,1516.0
Amravati,2020,Tivas,111.0,0.00549,549.0
Amravati,2020,Amravati,2062.0,0.07417,7417.0
Amravati,2020,Bhatkuli,81.0,0.00201,201.0
Amravati,2020,Daryapur,338.0,0.0141,1410.0
Amravati,2020,Nandgaon Kh,289.0,0.00659,659.0
Amravati,2020,Chandur Railway,284.0,0.00563,563.0
Amravati,2020,Dhamangaon Re,175.0,0.00589,589.0
Amravati,2021,Dharani,281.0,0.00863,863.0
Amravati,2021,Chikhraldara,89.0,0.00118,118.0
Amravati,2021,Anjangaon Su,609.0,0.00983,983.0
Amravati,2021,Achalpur,1559.0,0.04768,4768.0
Amravati,2021,Chandurbazar,851.0,0.01586,1586.0
Amravati,2021,Morshi,725.0,0.0099,990.0
Amravati,2021,Warud,1297.0,0.02176,2176.0
Amravati,2021,Tivas,338.0,0.00618,618.0
Amravati,2021,Amravati,6605.0,0.11992,11992.0
Amravati,2021,Bhatkuli,174.0,0.00241,241.0
Amravati,2021,Daryapur,652.0,0.01282,1282.0
Amravati,2021,Nandgaon Kh,404.0,0.00634,634.0
Amravati,2021,Chandur Railway,401.0,0.00705,705.0
Amravati,2021,Dhamangaon Re,461.0,0.00644,644.0
Beed,2018,Ashti,308.0,0.0093,930.0
Beed,2018,Patoda,42.0,0.0028,280.0
Beed,2018,Shirur Kasar,39.0,0.00174,174.0
Beed,2018,Gevrai,256.0,0.00818,818.0
Beed,2018,Majalgaon,196.0,0.00776,776.0
Beed,2018,Wadwani,50.0,0.00282,282.0
Beed,2018,Beed,570.0,0.07732,7732.0
Beed,2018,Cage,88.0,0.00434,434.0
Beed,2018,Dharur,76.0,0.00418,418.0
Beed,2018,Parli,220.0,0.0068,680.0
Beed,2018,Ambajogai,318.0,0.01009,1009.0
Beed,2019,Ashti,352.0,0.012,1200.0
Beed,2019,Patoda,64.0,0.0035,350.0
Beed,2019,Shirur Kasar,50.0,0.0019,190.0
Beed,2019,Gevrai,361.0,0.013,1300.0
Beed,2019,Majalgaon,230.0,0.0093,930.0
Beed,2019,Wadwani,62.0,0.003,300.0
Beed,2019,Beed,653.0,0.091,9100.0
Beed,2019,Cage,88.0,0.00434,434.0
Beed,2019,Dharur,78.0,0.00426,426.0
Beed,2019,Parli,328.0,0.0098,980.0
Beed,2019,Ambajogai,378.0,0.0109,1090.0
Beed,2020,Ashti,361.0,0.012,1200.0
Beed,2020,Patoda,64.0,0.0035,350.0
Beed,2020,Shirur Kasar,52.0,0.0019,190.0
Beed,2020,Gevrai,371.0,0.013,1300.0
Beed,2020,Majalgaon,238.0,0.0093,930.0
Beed,2020,Wadwani,62.0,0.003,300.0
Beed,2020,Beed,674.0,0.092,9200.0
Beed,2020,Cage,89.0,0.00434,434.0
Beed,2020,Dharur,78.0,0.00426,426.0
Beed,2020,Parli,340.0,0.0098,980.0
Beed,2020,Ambajogai,383.0,0.0109,1090.0
Beed,2021,Ashti,312.0,0.014,1400.0
Beed,2021,Patoda,94.0,0.0042,420.0
Beed,2021,Shirur Kasar,85.0,0.0021,210.0
Beed,2021,Gevrai,382.0,0.018,1800.0
Beed,2021,Majalgaon,263.0,0.003,300.0
Beed,2021,Wadwani,98.0,0.002,200.0
Beed,2021,Beed,718.0,0.098,9800.0
Beed,2021,Cage,106.0,0.002,200.0
Beed,2021,Dharur,103.0,0.0042,420.0
Beed,2021,Parli,378.0,0.0078,780.0
Beed,2021,Ambajogai,410.0,0.0096,960.0
Bhandara,2018,Tumsar,4172.0,6147.0,614700000.0
Bhandara,2018,Mohadi,2591.0,4951.0,495100000.0
Bhandara,2018,Bhandara,5426.0,7885.0,788500000.0
Bhandara,2018,Sakoli,2185.0,4254.0,425400000.0
Bhandara,2018,Lakhani,1371.0,3917.0,391700000.0
Bhandara,2018,Pavani,1587.0,3329.0,332900000.0
Bhandara,2018,Lakhandur,1427.0,3964.0,396400000.0
Bhandara,2019,Tumsar,5173.0,7273.0,727300000.0
Bhandara,2019,Mohadi,2813.0,5234.0,523400000.0
Bhandara,2019,Bhandara,7325.0,9772.0,977200000.0
Bhandara,2019,Sakoli,2478.0,4612.0,461200000.0
Bhandara,2019,Lakhani,1972.0,4340.0,434000000.0
Bhandara,2019,Pavani,1900.0,3700.0,370000000.0
Bhandara,2019,Lakhandur,1613.0,4172.0,417200000.0
Bhandara,2020,Tumsar,5173.0,7273.0,727300000.0
Bhandara,2020,Mohadi,2895.0,5348.0,534800000.0
Bhandara,2020,Bhandara,7384.0,9848.0,984800000.0
Bhandara,2020,Sakoli,2502.0,4660.0,466000000.0
Bhandara,2020,Lakhani,1994.0,4370.0,437000000.0
Bhandara,2020,Pavani,1977.0,3803.0,380300000.0
Bhandara,2020,Lakhandur,1720.0,4321.0,432100000.0
Bhandara,2021,Tumsar,5293.0,7473.0,747300000.0
Bhandara,2021,Mohadi,2975.0,5502.0,550200000.0
Bhandara,2021,Bhandara,7628.0,10304.0,1030400000.0
Bhandara,2021,Sakoli,2546.0,4740.0,474000000.0
Bhandara,2021,Lakhani,2021.0,4424.0,442400000.0
Bhandara,2021,Pavani,2021.0,3887.0,388700000.0
Bhandara,2021,Lakhandur,1822.0,4487.0,448700000.0
Buldana,2018,Jalgaon Jamod,147.0,0.0037,370.0
Buldana,2018,Sangrampur,43.0,0.002,200.0
Buldana,2018,Shegaon,225.0,0.0109,1090.0
Buldana,2018,Nandura,219.0,0.0192,1920.0
Buldana,2018,Malkapur,229.0,0.0197,1970.0
Buldana,2018,Motala,53.0,0.0026,260.0
Buldana,2018,Khamgaon,705.0,0.0485,4850.0
Buldana,2018,Mehkar,384.0,0.0193,1930.0
Buldana,2018,Chikhali,453.0,0.025,2500.0
Buldana,2018,Buldana,620.0,0.0193,1930.0
Buldana,2018,Deulgaon Raja,204.0,0.01,1000.0
Buldana,2018,Sindkhed Raja,62.0,0.0062,620.0
Buldana,2018,Lonar,116.0,0.0077,770.0
Buldana,2019,Jalgaon Jamod,147.0,0.0037,370.0
Buldana,2019,Sangrampur,43.0,0.00195,195.0
Buldana,2019,Shegaon,225.0,0.01089,1089.0
Buldana,2019,Nandura,219.0,0.01917,1917.0
Buldana,2019,Malkapur,229.0,0.0197,1970.0
Buldana,2019,Motala,53.0,0.00258,258.0
Buldana,2019,Khamgaon,705.0,0.04853,4853.0
Buldana,2019,Mehkar,384.0,0.0193,1930.0
Buldana,2019,Chikhali,453.0,0.02502,2502.0
Buldana,2019,Buldana,620.0,0.01931,1931.0
Buldana,2019,Deulgaon Raja,204.0,0.01,1000.0
Buldana,2019,Sindkhed Raja,62.0,0.00618,618.0
Buldana,2019,Lonar,116.0,0.00765,765.0
Buldana,2020,Jalgaon Jamod,192.0,0.00857,857.0
Buldana,2020,Sangrampur,154.0,0.00402,402.0
Buldana,2020,Shegaon,476.0,0.01779,1779.0
Buldana,2020,Nandura,432.0,0.02091,2091.0
Buldana,2020,Malkapur,425.0,0.01979,1979.0
Buldana,2020,Motala,184.0,0.00471,471.0
Buldana,2020,Khamgaon,1002.0,0.04292,4292.0
Buldana,2020,Mehkar,754.0,0.02323,2323.0
Buldana,2020,Chikhali,678.0,0.02245,2245.0
Buldana,2020,Buldana,915.0,0.03221,3221.0
Buldana,2020,Deulgaon Raja,241.0,0.00755,755.0
Buldana,2020,Sindkhed Raja,149.0,0.00565,565.0
Buldana,2020,Lonar,342.0,0.01077,1077.0
Buldana,2021,Jalgaon Jamod,540.0,0.02103,2103.0
