District,Year,Taluka,Shops,Business Organizations,Hotels and Restaurants,Cinema Halls
Ahilyanagar,2012,Akole,1451,111,410,10
Ahilyanagar,2012,Sangamner,3584,1256,211,3
Ahilyanagar,2012,Kopargaon,3566,909,249,9
Ahilyanagar,2012,Rahata,3430,245,5292,22
Ahilyanagar,2012,Srirampur,1835,2066,465,6
Ahilyanagar,2012,Nevasa,159,99,71,4
Ahilyanagar,2012,Shevgaon,374,316,221,0
Ahilyanagar,2012,Pathardi,223,199,105,0
Ahilyanagar,2012,Nagar,5023,10382,2020,40
Ahilyanagar,2012,Rahuri,481,607,190,9
Ahilyanagar,2012,Parner,100,24,184,0
Ahilyanagar,2012,Srigonda,1949,29,329,0
Ahilyanagar,2012,Karjat,1075,119,175,0
Ahilyanagar,2012,Jamkhed,338,245,102,4
Ahilyanagar,2013,Akole,1480,113,418,10
Ahilyanagar,2013,Sangamner,3656,1281,215,3
Ahilyanagar,2013,Kopargaon,3637,927,254,9
Ahilyanagar,2013,Rahata,3499,250,5398,22
Ahilyanagar,2013,Srirampur,1872,2107,474,6
Ahilyanagar,2013,Nevasa,162,101,72,4
Ahilyanagar,2013,Shevgaon,381,322,225,0
Ahilyanagar,2013,Pathardi,227,203,107,0
Ahilyanagar,2013,Nagar,5123,20590,2060,41
Ahilyanagar,2013,Rahuri,491,619,194,9
Ahilyanagar,2013,Parner,102,24,188,0
Ahilyanagar,2013,Srigonda,1987,30,336,0
Ahilyanagar,2013,Karjat,1097,121,179,0
Ahilyanagar,2013,Jamkhed,345,250,104,4
Ahilyanagar,2014,Akole,,,,
Ahilyanagar,2014,Sangamner,2164,3207,529,7
Ahilyanagar,2014,Kopargaon,3775,1091,259,6
Ahilyanagar,2014,Rahata,,,,
Ahilyanagar,2014,Srirampur,2215,2732,596,29
Ahilyanagar,2014,Nevasa,,,,
Ahilyanagar,2014,Shevgaon,429,416,230,2
Ahilyanagar,2014,Pathardi,277,236,128,2
Ahilyanagar,2014,Nagar,6630,13591,2678,44
