District,Religion,Number of Establishments
Nandurbar,Hindu,30736
Nandurbar,Islam,5683
Nandurbar,Christian,225
Nandurbar,Sikh,45
Nandurbar,Buddhist,54
Nandurbar,Zoroastrian,6
Nandurbar,Jain,939
Nandurbar,Others,2357
Dhule,Hindu,53551
Dhule,Islam,7608
Dhule,Christian,195
Dhule,Sikh,67
Dhule,Buddhist,233
Dhule,Zoroastrian,3
Dhule,Jain,1440
Dhule,Others,2115
Jalgaon,Hindu,104670
Jalgaon,Islam,19676
Jalgaon,Christian,320
Jalgaon,Sikh,344
Jalgaon,Buddhist,1587
Jalgaon,Zoroastrian,26
Jalgaon,Jain,2540
Jalgaon,Others,11148
Buldhana,Hindu,56994
Buldhana,Islam,12575
Buldhana,Christian,244
Buldhana,Sikh,144
Buldhana,Buddhist,3684
Buldhana,Zoroastrian,25
Buldhana,Jain,933
Buldhana,Others,8826
Akola,Hindu,60462
Akola,Islam,24490
Akola,Christian,455
Akola,Sikh,231
Akola,Buddhist,15400
Akola,Zoroastrian,53
Akola,Jain,650
Akola,Others,11543
Washim,Hindu,19113
Washim,Islam,3575
Washim,Christian,142
Washim,Sikh,46
Washim,Buddhist,1542
Washim,Zoroastrian,15
Washim,Jain,497
Washim,Others,2584
Amravati,Hindu,80361
Amravati,Islam,21827
Amravati,Christian,559
Amravati,Sikh,305
Amravati,Buddhist,8386
Amravati,Zoroastrian,39
Amravati,Jain,663
Amravati,Others,11599
Wardha,Hindu,41428
Wardha,Islam,3151
Wardha,Christian,262
Wardha,Sikh,189
Wardha,Buddhist,5602
Wardha,Zoroastrian,9
Wardha,Jain,461
Wardha,Others,8848
Nagpur,Hindu,173023
Nagpur,Islam,22644
Nagpur,Christian,1370
Nagpur,Sikh,1517
Nagpur,Buddhist,28086
Nagpur,Zoroastrian,118
Nagpur,Jain,1601
Nagpur,Others,13146
Bhandara,Hindu,65899
Bhandara,Islam,2492
Bhandara,Christian,271
Bhandara,Sikh,124
Bhandara,Buddhist,5801
Bhandara,Zoroastrian,13
Bhandara,Jain,496
Bhandara,Others,4182
Gondia,Hindu,51934
Gondia,Islam,1699
Gondia,Christian,266
Gondia,Sikh,264
Gondia,Buddhist,5270
Gondia,Zoroastrian,23
Gondia,Jain,302
Gondia,Others,3313
Gadchiroli,Hindu,31765
Gadchiroli,Islam,1654
Gadchiroli,Christian,128
Gadchiroli,Sikh,190
Gadchiroli,Buddhist,2756
Gadchiroli,Zoroastrian,51
Gadchiroli,Jain,61
Gadchiroli,Others,3581
Chandrapur,Hindu,66218
Chandrapur,Islam,5538
Chandrapur,Christian,504
Chandrapur,Sikh,589
Chandrapur,Buddhist,7583
Chandrapur,Zoroastrian,48
Chandrapur,Jain,570
Chandrapur,Others,10524
Yavatmal,Hindu,41639
Yavatmal,Islam,8276
Yavatmal,Christian,163
