Year,District,Number of Workers,Number of Establishments,Govt/PSU Workers,Cooperative Workers,Private Sector Workers
2013,Nandurbar,91465,46787,12194,3231,76040
2013,Dhule,153846,72618,13574,1650,138622
2013,Jalgaon,304714,158644,30072,4217,270425
2013,Buldhana,169289,94972,16028,841,152420
2013,Akola,219198,123805,12736,687,205775
2013,Washim,59401,32481,6893,313,52195
2013,Amravati,236197,136909,23320,1568,211309
2013,Wardha,131539,67559,9534,695,121310
2013,Nagpur,570584,258711,45041,2856,522687
2013,Bhandara,154287,86535,11909,933,141445
2013,Gondia,128009,70183,11542,850,115617
2013,Gadchiroli,82856,48074,16931,247,65678
2013,Chandrapur,192180,102993,25283,834,166063
2013,Yavatmal,139835,68174,22334,1764,115737
2013,Nanded,186096,93961,23516,2381,160199
2013,Hingoli,61355,35841,6858,236,54261
2013,Parbhani,106363,59812,11024,438,94901
2013,Jalna,157691,97618,11425,211,146055
2013,Chhatrapati Sambhaji Nagar,304720,143358,26329,1465,276926
2013,Nashik,586282,214336,53624,4874,527784
2013,Thane,1444660,438706,42852,9154,1392654
2013,Mumbai Suburban,1670999,465416,87452,8204,1575343
2013,Mumbai City,1035482,261259,78503,5668,951311
2013,Raigad,264044,101672,22593,1627,239824
2013,Pune,1595310,514469,65180,11541,1518589
2013,Ahilyanagar,543663,246417,31868,10799,500996
2013,Beed,238238,139347,18056,2388,217794
2013,Latur,205576,102934,16395,2645,186536
2013,Dharashiv,222800,124365,15647,3498,203655
2013,Solapur,636990,373286,32127,10448,594415
2013,Satara,699999,383647,29004,9159,661836
2013,Ratnagiri,156135,72310,22572,934,132629
2013,Sindhudurg,97044,51216,12917,1292,82835
2013,Kolhapur,1099451,570867,31565,25411,1042475
2013,Sangli,565844,278060,21833,11919,532092
1998,Mumbai City,2625867,485492,807844,60503,1757520
1998,Thane,930827,219871,113074,11151,806602
1998,Raigad,217186,57213,45379,4436,167371
1998,Ratnagiri,139463,49190,40019,4494,94950
1998,Sindhudurg,81971,36043,11829,1439,68703
1998,Nashik,495520,127415,99297,10012,386211
1998,Dhule,237943,96181,50321,12011,175611
1998,Jalgaon,279934,107871,85399,16408,178127
1998,Ahilyanagar,393213,133739,68968,43768,280477
1998,Pune,854206,241185,157675,40237,656294
1998,Satara,262429,104783,37735,8858,215836
1998,Sangli,265179,112775,47295,21859,196025
1998,Solapur,345043,141293,50008,27202,267833
1998,Kolhapur,594670,236818,42075,35525,517070
1998,Chhatrapati Sambhaji Nagar,212358,71434,39886,8749,163723
1998,Jalna,97562,40477,16908,1964,78690
1998,Parbhani,123180,52408,30773,2626,89781
1998,Beed,139666,59045,23916,2299,113451
1998,Nanded,141773,62583,32206,3510,106057
1998,Dharashiv,94091,43828,17330,2196,74565
1998,Latur,114370,43312,23889,5281,85200
1998,Buldhana,146996,62175,35413,4935,106648
1998,Akola,178568,84538,28055,3070,147443
1998,Amravati,211650,89327,63667,4630,143353
1998,Yavatmal,177244,77762,41033,3393,132818
1998,Wardha,106153,41050,32702,8015,65436
1998,Nagpur,485097,154245,151837,17642,315618
1998,Bhandara,225607,98003,47760,5342,172505
1998,Chandrapur,198105,70783,76363,3388,118354
1998,Gadchiroli,68847,33183,26039,1785,41023
1990,Mumbai City,2425649,423419,486216,108157,1831276
1990,Pune,847723,200061,189743,42309,615671
1990,Satara,208209,82898,49245,20017,138947
1990,Sangli,261764,87202,44024,25345,192395
1990,Solapur,346916,126293,68944,27964,250008
1990,Kolhapur,449981,188891,49698,47532,352751
1990,Chhatrapati Sambhaji Nagar,181175,59434,40371,17269,123535
1990,Jalna,62490,28427,11332,3038,48120
1990,Parbhani,111364,46144,32992,8383,69989
1990,Beed,99420,45996,27573,3973,67874
1990,Nanded,118372,51987,26213,6597,85562
1990,Thane,806295,169524,96564,22721,687010
1990,Dharashiv,79739,36520,21814,2669,55256
1990,Latur,103545,42885,26915,6517,70113
1990,Buldhana,109068,49911,24964,6460,77644
1990,Akola,155120,65311,44323,9546,101251
1990,Amravati,164132,64693,53669,7653,102810
1990,Yavatmal,137258,58370,43770,8024,85464
1990,Wardha,84795,33264,22997,7072,54726
1990,Nagpur,405738,113877,117069,28109,260560
1990,Bhandara,170485,73857,29979,6810,133696
1990,Chandrapur,150487,54478,47133,11743,91611
1990,Raigad,176643,50287,44451,17358,114834
1990,Gadchiroli,48739,22105,15842,1472,31425
1990,Ratnagiri,115526,42205,37968,3255,74303
1990,Sindhudurg,71569,29517,23072,3089,45408
1990,Nashik,369102,108866,105914,18864,244324
1990,Dhule,186353,75187,51096,13135,122122
1990,Jalgaon,232030,90415,59375,13022,159633
1990,Ahilyanagar,280453,101478,54314,37085,189054
2005,Nandurbar,62920,29997,17948,3512,41460
2005,Dhule,134681,60199,29696,11569,93416
2005,Jalgaon,247498,131236,49648,7070,190780
2005,Buldhana,148830,71714,34763,4162,109905
2005,Akola,156880,72981,40625,3380,112875
2005,Washim,61284,32615,12497,1870,46917
2005,Amravati,207759,100564,51881,6824,149054
2005,Wardha,126189,51706,24555,4163,97471
2005,Nagpur,545338,211049,109547,8992,426799
2005,Bhandara,133924,59050,26468,2511,104945
2005,Gondia,126700,55162,21590,1694,103416
2005,Gadchiroli,75202,33988,25096,2480,47626
2005,Chandrapur,178512,73332,39397,12297,126818
2005,Yavatmal,183905,89645,45100,6105,132700
2005,Nanded,169097,82178,41293,2909,124895
2005,Hingoli,42155,21865,12589,463,29103
2005,Parbhani,100312,45745,26808,1958,71546
2005,Jalna,167920,60183,24744,3051,140125
2005,Chhatrapati Sambhaji Nagar,262221,116053,44051,5599,212571
2005,Nashik,433370,159157,104320,14696,314354
2005,Thane,1122710,325004,126777,17438,978495
2005,Mumbai Suburban,2248273,572198,351828,63071,1833374
2005,Mumbai City,251859,80402,71375,6357,174127
2005,Raigad,1091360,339621,183765,30551,877044
2005,Pune,443261,167285,76606,19009,347646
2005,Ahilyanagar,212747,99565,28070,3076,181601
2005,Beed,164608,71996,32021,4455,128132
2005,Dharashiv,153618,67192,33415,2877,117326
2005,Solapur,395187,157142,75530,17496,302161
2005,Satara,291049,145032,55812,13918,221319
2005,Ratnagiri,179997,60301,38493,7711,133793
2005,Sindhudurg,88389,42829,22239,3223,62927
2005,Kolhapur,757833,370195,56485,38858,662490
2005,Sangli,342922,168131,56093,17056,269773
