Year,District,Gender,Employed (Hired),Employed (Not Hired)
2013,Nandurbar,Male,31103,43334.0
2013,Dhule,Male,56528,72830.0
2013,Jalgaon,Male,106163,150302.0
2013,Buldhana,Male,59261,86955.0
2013,Akola,Male,53940,122254.0
2013,Washim,Male,20903,29965.0
2013,Amravati,Male,66304,129045.0
2013,Wardha,Male,44668,59500.0
2013,Nagpur,Male,210730,237615.0
2013,Bhandara,Male,37410,80198.0
2013,Gondia,Male,31486,63494.0
2013,Gadchiroli,Male,26009,41009.0
2013,Chandrapur,Male,63846,86246.0
2013,Yavatmal,Male,55229,61728.0
2013,Nanded,Male,72165,87484.0
2013,Hingoli,Male,18320,33724.0
2013,Parbhani,Male,35667,55796.0
2013,Jalna,Male,41609,94036.0
2013,Chhatrapati Sambhaji Nagar,Male,117668,134468.0
2013,Nashik,Male,281520,200845.0
2013,Thane,Male,778815,423857.0
2013,Mumbai Suburban,Male,884373,461248.0
2013,Mumbai City,Male,603580,264378.0
2013,Raigad,Male,122665,89547.0
2013,Pune,Male,715947,504493.0
2013,Ahilyanagar,Male,132503,259006.0
2013,Beed,Male,63280,133605.0
2013,Latur,Male,67214,101956.0
2013,Dharashiv,Male,52971,123357.0
2013,Solapur,Male,137896,338012.0
2013,Satara,Male,127978,347547.0
2013,Ratnagiri,Male,61411,58218.0
2013,Sindhudurg,Male,29052,44800.0
2013,Kolhapur,Male,213844,512975.0
2013,Sangli,Male,106514,277142.0
1998,Mumbai City,Male,1680583,
1998,Thane,Male,584425,
1998,Raigad,Male,125640,
1998,Ratnagiri,Male,72612,
1998,Sindhudurg,Male,26643,
1998,Nashik,Male,270152,
1998,Dhule,Male,88321,
1998,Jalgaon,Male,129086,
1998,Ahilyanagar,Male,159379,
1998,Pune,Male,440408,
1998,Satara,Male,86914,
1998,Sangli,Male,97583,
1998,Solapur,Male,136344,
1998,Kolhapur,Male,189673,
1998,Chhatrapati Sambhaji Nagar,Male,97985,
1998,Jalna,Male,32998,
1998,Parbhani,Male,49078,
1998,Beed,Male,45631,
1998,Nanded,Male,54199,
1998,Dharashiv,Male,29756,
1998,Latur,Male,54188,
1998,Buldhana,Male,59159,
1998,Akola,Male,57416,
1998,Amravati,Male,88768,
1998,Yavatmal,Male,71640,
1998,Wardha,Male,49664,
1998,Nagpur,Male,254654,
1998,Bhandara,Male,68900,
1998,Chandrapur,Male,98965,
1998,Gadchiroli,Male,28022,
1990,Mumbai City,Male,1658000,
1990,Pune,Male,527812,
1990,Satara,Male,97780,
1990,Sangli,Male,148304,
1990,Solapur,Male,159158,
1990,Kolhapur,Male,183460,
1990,Chhatrapati Sambhaji Nagar,Male,99950,
1990,Jalna,Male,25375,
1990,Parbhani,Male,51788,
1990,Beed,Male,40559,
1990,Nanded,Male,48595,
1990,Thane,Male,550041,
1990,Dharashiv,Male,32185,
1990,Latur,Male,47185,
1990,Buldhana,Male,47635,
1990,Akola,Male,71996,
1990,Amravati,Male,78488,
1990,Yavatmal,Male,63590,
1990,Wardha,Male,41877,
1990,Nagpur,Male,232788,
1990,Bhandara,Male,59018,
1990,Chandrapur,Male,79672,
1990,Raigad,Male,108049,
1990,Gadchiroli,Male,20143,
1990,Ratnagiri,Male,62689,
1990,Sindhudurg,Male,31914,
1990,Nashik,Male,203462,
1990,Dhule,Male,84346,
1990,Jalgaon,Male,113549,
1990,Ahilyanagar,Male,128062,
2005,Nandurbar,Male,54168,25896.0
2005,Dhule,Male,116501,57611.0
2005,Jalgaon,Male,218714,128053.0
2005,Buldhana,Male,128289,65411.0
2005,Akola,Male,131872,66980.0
2005,Washim,Male,54176,30543.0
2005,Amravati,Male,178729,93655.0
2005,Wardha,Male,97490,43880.0
2005,Nagpur,Male,413649,196936.0
2005,Bhandara,Male,98314,53169.0
2005,Gondia,Male,86102,49661.0
2005,Gadchiroli,Male,55997,28133.0
2005,Chandrapur,Male,142693,65450.0
2005,Yavatmal,Male,147365,80882.0
2005,Nanded,Male,157001,75050.0
2005,Hingoli,Male,35119,17065.0
2005,Parbhani,Male,85109,45380.0
2005,Jalna,Male,118438,56591.0
2005,Chhatrapati Sambhaji Nagar,Male,221381,106940.0
2005,Nashik,Male,362489,148727.0
2005,Thane,Male,890202,300356.0
2005,Mumbai Suburban,Male,1904857,532673.0
2005,Mumbai City,Male,192944,59220.0
2005,Raigad,Male,821328,310708.0
2005,Pune,Male,328078,160932.0
2005,Ahilyanagar,Male,150497,92711.0
2005,Beed,Male,131257,66006.0
2005,Dharashiv,Male,108432,61298.0
2005,Solapur,Male,300306,134547.0
2005,Satara,Male,227238,131300.0
2005,Ratnagiri,Male,122242,43165.0
2005,Sindhudurg,Male,71112,34590.0
2005,Kolhapur,Male,540784,347217.0
2005,Sangli,Male,265853,158178.0
2013,Nandurbar,Female,9128,7900.0
2013,Dhule,Female,11884,12604.0
2013,Jalgaon,Female,20712,27537.0
2013,Buldhana,Female,10409,12664.0
2013,Akola,Female,12843,30161.0
2013,Washim,Female,4153,4380.0
2013,Amravati,Female,18400,22448.0
2013,Wardha,Female,11666,15705.0
2013,Nagpur,Female,67328,54911.0
2013,Bhandara,Female,12360,24319.0
2013,Gondia,Female,10498,22531.0
2013,Gadchiroli,Female,8527,7311.0
2013,Chandrapur,Female,18972,23116.0
2013,Yavatmal,Female,14790,8088.0
2013,Nanded,Female,15821,10626.0
2013,Hingoli,Female,4186,5125.0
2013,Parbhani,Female,7592,7308.0
2013,Jalna,Female,7452,14594.0
2013,Chhatrapati Sambhaji Nagar,Female,28943,23641.0
2013,Nashik,Female,61103,42814.0
2013,Thane,Female,167654,74334.0
2013,Mumbai Suburban,Female,245660,79718.0
2013,Mumbai City,Female,134681,32843.0
2013,Raigad,Female,29552,22280.0
2013,Pune,Female,204607,170263.0
2013,Ahilyanagar,Female,40088,112066.0
2013,Beed,Female,14918,26435.0
