Year,District,Number of Workers,Number of Establishments,Houses used for Commercial Purposes,Houses used for Residential cum Commercial Purposes,Govt / PSU,Private Proprietary,Private Partnership,Private Company,Private Self Help Group,Co-operative,Private Non-profit Institution,Private Other,Private Sector,Self-Financed,Borrowing from Institutions,Borrowing from Non-Institutions, Financial Assistance from Govt. sources,Loans from SHGs,Donations/Transfers,Other SOF,Perennial,Non-Perennial,SC,ST,OBC,Others,Hindu,Islam,Christian,Sikh,Buddhist,Zoroastrian,Jain,Others.1
2013,Nandurbar,91465,46787,57720.0,33745.0,12194,65240.0,898.0,5281.0,239.0,3231,1473.0,2909.0,76040,36417.0,774.0,193.0,5527.0,106.0,3770.0,,41643,5144,1943,12670,11133.0,14299,30736.0,5683.0,225.0,45.0,54.0,6.0,939.0,2357.0
2013,Dhule,153846,72618,90712.0,63134.0,13574,113911.0,5377.0,10192.0,53.0,1650,5712.0,3377.0,138622,59771.0,2855.0,377.0,5379.0,286.0,3950.0,,68848,3770,3190,6113,38058.0,17851,53551.0,7608.0,195.0,67.0,233.0,3.0,1440.0,2115.0
2013,Jalgaon,304714,158644,195665.0,109049.0,30072,233138.0,4623.0,15516.0,149.0,4217,4943.0,12056.0,270425,125611.0,3956.0,649.0,10796.0,191.0,17441.0,,148178,10466,8051,7777,62123.0,62360,104670.0,19676.0,320.0,344.0,1587.0,26.0,2540.0,11148.0
2013,Buldhana,169289,94972,108902.0,60387.0,16028,130301.0,2128.0,6621.0,34.0,841,1129.0,12207.0,152420,68671.0,2872.0,251.0,7363.0,109.0,15706.0,,89681,5291,8000,3197,30100.0,42128,56994.0,12575.0,244.0,144.0,3684.0,25.0,933.0,8826.0
2013,Akola,219198,123805,104035.0,115163.0,12736,184168.0,2429.0,6496.0,121.0,687,1710.0,10851.0,205775,96457.0,2822.0,166.0,7175.0,96.0,17089.0,,103222,20583,19908,6755,30713.0,55908,60462.0,24490.0,455.0,231.0,15400.0,53.0,650.0,11543.0
2013,Washim,59401,32481,38492.0,20909.0,6893,44275.0,632.0,2278.0,36.0,313,801.0,4173.0,52195,23439.0,992.0,90.0,3071.0,71.0,4818.0,,30425,2056,3157,982,10226.0,13149,19113.0,3575.0,142.0,46.0,1542.0,15.0,497.0,2584.0
2013,Amravati,236197,136909,132808.0,103389.0,23320,186657.0,2793.0,8130.0,121.0,1568,2836.0,10772.0,211309,105387.0,1328.0,424.0,8077.0,311.0,21382.0,,128198,8711,16246,7196,43677.0,56620,80361.0,21827.0,559.0,305.0,8386.0,39.0,663.0,11599.0
2013,Wardha,131539,67559,83201.0,48338.0,9534,97433.0,2218.0,8328.0,1619.0,695,1854.0,9858.0,121310,46472.0,4167.0,125.0,4647.0,892.0,11256.0,,65391,2168,7485,4017,29447.0,19001,41428.0,3151.0,262.0,189.0,5602.0,9.0,461.0,8848.0
2013,Nagpur,570584,258711,351135.0,219449.0,45041,459459.0,16299.0,26158.0,319.0,2856,4904.0,15548.0,522687,224964.0,4467.0,896.0,12429.0,600.0,15355.0,,250517,8194,39984,18935,100824.0,81762,173023.0,22644.0,1370.0,1517.0,28086.0,118.0,1601.0,13146.0
2013,Bhandara,154287,86535,67159.0,87128.0,11909,123435.0,1961.0,5612.0,1940.0,933,1634.0,6863.0,141445,67739.0,3339.0,693.0,6012.0,328.0,8424.0,,76069,10466,11110,4398,50837.0,12933,65899.0,2492.0,271.0,124.0,5801.0,13.0,496.0,4182.0
2013,Gondia,128009,70183,62487.0,65522.0,11542,102914.0,1147.0,5046.0,164.0,850,2004.0,4342.0,115617,56700.0,1018.0,270.0,5033.0,166.0,6996.0,,62878,7305,9712,5908,33954.0,13497,51934.0,1699.0,266.0,264.0,5270.0,23.0,302.0,3313.0
2013,Gadchiroli,82856,48074,46685.0,36171.0,16931,57423.0,208.0,2801.0,336.0,247,2222.0,2688.0,65678,35454.0,563.0,221.0,5832.0,116.0,5888.0,,44283,3791,4303,8140,13962.0,13781,31765.0,1654.0,128.0,190.0,2756.0,51.0,61.0,3581.0
