District,Year,Select Industry,Govt. Employees,Semi-Govt. Employees,Private Employees
Ahilyanagar,2012,Agriculture,1885.0,0,30
Ahilyanagar,2012,Mining,0.0,0,98
Ahilyanagar,2012,Commodity Manufacturing,211.0,0,44980
Ahilyanagar,2012,"Electricity Generation, Gas, Water And Sewage Services",6800.0,490,1805
Ahilyanagar,2012,Construction,923.0,0,2225
Ahilyanagar,2012,Wholesale And Retail Trade And Hotel Business,7550.0,0,7215
Ahilyanagar,2012,"Transportation, Warehousing And Transportation",11050.0,7733,918
Ahilyanagar,2012,"Finance, Insurance, Real Estate And Trade Services",2700.0,13025,31026
Ahilyanagar,2012,"Collective, Social And Individual Service",30.0,0,2825
Ahilyanagar,2013,Agriculture,0.0,201,132
Ahilyanagar,2013,Mining,0.0,0,48093
Ahilyanagar,2013,Commodity Manufacturing,0.0,0,30831
Ahilyanagar,2013,"Electricity Generation, Gas, Water And Sewage Services",479.0,0,87
Ahilyanagar,2013,Construction,1154.0,0,318
Ahilyanagar,2013,Wholesale And Retail Trade And Hotel Business,0.0,404,7108
Ahilyanagar,2013,"Transportation, Warehousing And Transportation",6527.0,0,203
Ahilyanagar,2013,"Finance, Insurance, Real Estate And Trade Services",576.0,0,13451
Ahilyanagar,2013,"Collective, Social And Individual Service",30.0,0,5498
Ahilyanagar,2014,Agriculture,1802.0,155,190
Ahilyanagar,2014,Mining,0.0,0,23774
Ahilyanagar,2014,Commodity Manufacturing,51.0,2595,15221
Ahilyanagar,2014,"Electricity Generation, Gas, Water And Sewage Services",2803.0,1753,2259
Ahilyanagar,2014,Construction,49.0,5086,1565
Ahilyanagar,2014,Wholesale And Retail Trade And Hotel Business,190.0,3442,5664
Ahilyanagar,2014,"Transportation, Warehousing And Transportation",25.0,86,387
Ahilyanagar,2014,"Finance, Insurance, Real Estate And Trade Services",11632.0,21760,31638
Ahilyanagar,2014,"Collective, Social And Individual Service",12.0,1,3169
Ahilyanagar,2015,Agriculture,1806.0,159,145
Ahilyanagar,2015,Mining,59.0,43,10159
Ahilyanagar,2015,Commodity Manufacturing,62.0,2584,9646
Ahilyanagar,2015,"Electricity Generation, Gas, Water And Sewage Services",3371.0,622,1526
Ahilyanagar,2015,Construction,655.0,4454,1389
Ahilyanagar,2015,Wholesale And Retail Trade And Hotel Business,212.0,3263,4598
Ahilyanagar,2015,"Transportation, Warehousing And Transportation",27.0,103,387
Ahilyanagar,2015,"Finance, Insurance, Real Estate And Trade Services",12485.0,20040,29698
Ahilyanagar,2015,"Collective, Social And Individual Service",8.0,3,1225
Ahilyanagar,2016,Agriculture,1806.0,159,189
Ahilyanagar,2016,Mining,59.0,43,23409
Ahilyanagar,2016,Commodity Manufacturing,62.0,2584,17316
Ahilyanagar,2016,"Electricity Generation, Gas, Water And Sewage Services",3905.0,622,2377
Ahilyanagar,2016,Construction,655.0,4454,1389
Ahilyanagar,2016,Wholesale And Retail Trade And Hotel Business,212.0,3263,6036
Ahilyanagar,2016,"Transportation, Warehousing And Transportation",25.0,86,391
Ahilyanagar,2016,"Finance, Insurance, Real Estate And Trade Services",13191.0,20121,31989
Ahilyanagar,2016,"Collective, Social And Individual Service",10.0,1,3135
Ahilyanagar,2018,Agriculture,1762.0,153,1533
Ahilyanagar,2018,Mining,177.0,13,25490
Ahilyanagar,2018,Commodity Manufacturing,79.0,5654,23637
Ahilyanagar,2018,"Electricity Generation, Gas, Water And Sewage Services",3835.0,669,3096
Ahilyanagar,2018,Construction,526.0,4223,2672
Ahilyanagar,2018,Wholesale And Retail Trade And Hotel Business,170.0,3071,6470
Ahilyanagar,2018,"Transportation, Warehousing And Transportation",46.0,78,1248
Ahilyanagar,2018,"Finance, Insurance, Real Estate And Trade Services",15591.0,21271,40896
Ahilyanagar,2018,"Collective, Social And Individual Service",0.0,1,1275
Ahilyanagar,2019,Agriculture,1557.0,332,1417
Ahilyanagar,2019,Mining,161.0,13,25286
Ahilyanagar,2019,Commodity Manufacturing,240.0,2582,19687
Ahilyanagar,2019,"Electricity Generation, Gas, Water And Sewage Services",2285.0,2077,3600
Ahilyanagar,2019,Construction,630.0,4298,1312
Ahilyanagar,2019,Wholesale And Retail Trade And Hotel Business,329.0,2948,6597
Ahilyanagar,2019,"Transportation, Warehousing And Transportation",21.0,90,965
Ahilyanagar,2019,"Finance, Insurance, Real Estate And Trade Services",22117.0,14615,39617
Ahilyanagar,2019,"Collective, Social And Individual Service",16.0,1,2724
Ahilyanagar,2020,Agriculture,1561.0,383,373
Ahilyanagar,2020,Mining,151.0,12,25451
Ahilyanagar,2020,Commodity Manufacturing,240.0,2582,23398
Ahilyanagar,2020,"Electricity Generation, Gas, Water And Sewage Services",2278.0,2077,3868
Ahilyanagar,2020,Construction,628.0,4114,1246
Ahilyanagar,2020,Wholesale And Retail Trade And Hotel Business,332.0,2948,6772
Ahilyanagar,2020,"Transportation, Warehousing And Transportation",21.0,94,659
Ahilyanagar,2020,"Finance, Insurance, Real Estate And Trade Services",22104.0,14568,39517
Ahilyanagar,2020,"Collective, Social And Individual Service",13.0,0,2425
