District,Year,Group,Approved Posts,Positions Filled,Number of women
Ahilyanagar,2012,Class A,742.0,648.0,38.0
Ahilyanagar,2012,Class B,1495.0,1264.0,134.0
Ahilyanagar,2012,Class C,11461.0,9370.0,967.0
Ahilyanagar,2012,Class D,6393.0,5727.0,598.0
Ahilyanagar,2013,Class A,742.0,648.0,38.0
Ahilyanagar,2013,Class B,1495.0,1264.0,134.0
Ahilyanagar,2013,Class C,11461.0,9370.0,967.0
Ahilyanagar,2013,Class D,6393.0,5727.0,598.0
Ahilyanagar,2014,Class A,947.0,760.0,128.0
Ahilyanagar,2014,Class B,1564.0,1179.0,129.0
Ahilyanagar,2014,Class C,12848.0,10015.0,1742.0
Ahilyanagar,2014,Class D,5426.0,4496.0,546.0
Ahilyanagar,2015,Class A,953.0,669.0,122.0
Ahilyanagar,2015,Class B,1579.0,1230.0,133.0
Ahilyanagar,2015,Class C,12914.0,10090.0,1747.0
Ahilyanagar,2015,Class D,5445.0,4511.0,549.0
Ahilyanagar,2016,Class A,953.0,673.0,122.0
Ahilyanagar,2016,Class B,1579.0,1216.0,133.0
Ahilyanagar,2016,Class C,12914.0,10100.0,1747.0
Ahilyanagar,2016,Class D,5445.0,4510.0,549.0
Ahilyanagar,2017,Class A,,,
Ahilyanagar,2017,Class B,,,
Ahilyanagar,2017,Class C,,,
Ahilyanagar,2017,Class D,,,
Ahilyanagar,2018,Class A,965.0,721.0,151.0
Ahilyanagar,2018,Class B,1554.0,1033.0,154.0
Ahilyanagar,2018,Class C,12572.0,9128.0,1837.0
Ahilyanagar,2018,Class D,4620.0,3395.0,445.0
Ahilyanagar,2019,Class A,964.0,672.0,145.0
Ahilyanagar,2019,Class B,1574.0,1043.0,162.0
Ahilyanagar,2019,Class C,12403.0,8782.0,1777.0
Ahilyanagar,2019,Class D,4280.0,3074.0,414.0
Ahilyanagar,2020,Class A,988.0,697.0,151.0
Ahilyanagar,2020,Class B,1529.0,1031.0,173.0
Ahilyanagar,2020,Class C,12397.0,8876.0,1862.0
Ahilyanagar,2020,Class D,4101.0,2883.0,415.0
Ahilyanagar,2021,Class A,1040.0,664.0,155.0
Ahilyanagar,2021,Class B,1527.0,1019.0,187.0
Ahilyanagar,2021,Class C,12433.0,8855.0,1918.0
Ahilyanagar,2021,Class D,4245.0,2557.0,393.0
Akola,2012,Class A,506.0,427.0,49.0
Akola,2012,Class B,1029.0,816.0,156.0
Akola,2012,Class C,6813.0,5773.0,668.0
Akola,2012,Class D,2527.0,2127.0,289.0
Akola,2013,Class A,506.0,427.0,49.0
Akola,2013,Class B,1029.0,816.0,156.0
Akola,2013,Class C,6813.0,5773.0,668.0
Akola,2013,Class D,2527.0,2127.0,289.0
Akola,2014,Class A,649.0,475.0,84.0
Akola,2014,Class B,867.0,634.0,131.0
Akola,2014,Class C,8244.0,6788.0,1333.0
Akola,2014,Class D,2635.0,1848.0,228.0
Akola,2015,Class A,,,
Akola,2015,Class B,,,
Akola,2015,Class C,,,
Akola,2015,Class D,,,
Akola,2016,Class A,649.0,456.0,82.0
Akola,2016,Class B,867.0,657.0,132.0
Akola,2016,Class C,8243.0,6771.0,1331.0
Akola,2016,Class D,2635.0,1852.0,230.0
Akola,2017,Class A,583.0,424.0,69.0
Akola,2017,Class B,1122.0,786.0,201.0
Akola,2017,Class C,7933.0,6566.0,1348.0
Akola,2017,Class D,2381.0,1626.0,237.0
Akola,2018,Class A,560.0,399.0,70.0
Akola,2018,Class B,1202.0,711.0,186.0
Akola,2018,Class C,7801.0,6354.0,1341.0
Akola,2018,Class D,2073.0,1425.0,207.0
Akola,2019,Class A,553.0,363.0,67.0
Akola,2019,Class B,1232.0,646.0,131.0
Akola,2019,Class C,7714.0,5727.0,1102.0
Akola,2019,Class D,2024.0,1060.0,151.0
Akola,2020,Class A,552.0,356.0,70.0
Akola,2020,Class B,1231.0,715.0,170.0
Akola,2020,Class C,7708.0,6180.0,1386.0
Akola,2020,Class D,1993.0,1216.0,187.0
Akola,2021,Class A,564.0,337.0,62.0
Akola,2021,Class B,1253.0,720.0,169.0
Akola,2021,Class C,7731.0,6033.0,1378.0
Akola,2021,Class D,1937.0,1117.0,178.0
Amravati,2012,Class A,1182.0,872.0,113.0
Amravati,2012,Class B,1849.0,1437.0,262.0
Amravati,2012,Class C,13121.0,10863.0,1325.0
