District,Year,Type of Industry,Govt Employees,Semi Govt Employees,Private Employees,Total Employees
Ahilyanagar,2012,Agriculture,1885,0,30,1915
Ahilyanagar,2012,Mining,0,0,98,98
Ahilyanagar,2012,Commodity Manufacturing,211,0,44980,45191
Ahilyanagar,2012,"Electricity Generation, Gas, Water And Sewage Services",6800,490,1805,9095
Ahilyanagar,2012,Construction,923,0,2225,3148
Ahilyanagar,2012,Wholesale And Retail Trade And Hotel Business,7550,0,7215,14765
Ahilyanagar,2012,"Transportation, Warehousing And Transportation",11050,7733,918,19701
Ahilyanagar,2012,"Finance, Insurance, Real Estate And Trade Services",2700,13025,31026,46751
Ahilyanagar,2012,"Collective, Social And Individual Service",30,0,2825,2855
Ahilyanagar,2013,Agriculture,0,201,132,333
Ahilyanagar,2013,Mining,0,0,48093,48093
Ahilyanagar,2013,Commodity Manufacturing,0,0,30831,30831
Ahilyanagar,2013,"Electricity Generation, Gas, Water And Sewage Services",479,0,87,566
Ahilyanagar,2013,Construction,1154,0,318,1472
Ahilyanagar,2013,Wholesale And Retail Trade And Hotel Business,0,404,7108,7512
Ahilyanagar,2013,"Transportation, Warehousing And Transportation",6527,0,203,6730
Ahilyanagar,2013,"Finance, Insurance, Real Estate And Trade Services",576,0,13451,14027
Ahilyanagar,2013,"Collective, Social And Individual Service",30,0,5498,5528
Ahilyanagar,2014,Agriculture,1802,155,190,2147
Ahilyanagar,2014,Mining,0,0,23774,23774
Ahilyanagar,2014,Commodity Manufacturing,51,2595,15221,17867
Ahilyanagar,2014,"Electricity Generation, Gas, Water And Sewage Services",2803,1753,2259,6815
Ahilyanagar,2014,Construction,49,5086,1565,6700
Ahilyanagar,2014,Wholesale And Retail Trade And Hotel Business,190,3442,5664,9296
Ahilyanagar,2014,"Transportation, Warehousing And Transportation",25,86,387,498
Ahilyanagar,2014,"Finance, Insurance, Real Estate And Trade Services",11632,21760,31638,65030
Ahilyanagar,2014,"Collective, Social And Individual Service",12,1,3169,3182
Ahilyanagar,2015,Agriculture,1806,159,145,2110
Ahilyanagar,2015,Mining,59,43,10159,10261
Ahilyanagar,2015,Commodity Manufacturing,62,2584,9646,12292
Ahilyanagar,2015,"Electricity Generation, Gas, Water And Sewage Services",3371,622,1526,5519
Ahilyanagar,2015,Construction,655,4454,1389,6498
Ahilyanagar,2015,Wholesale And Retail Trade And Hotel Business,212,3263,4598,8073
Ahilyanagar,2015,"Transportation, Warehousing And Transportation",27,103,387,517
Ahilyanagar,2015,"Finance, Insurance, Real Estate And Trade Services",12485,20040,29698,62223
Ahilyanagar,2015,"Collective, Social And Individual Service",8,3,1225,1236
Ahilyanagar,2016,Agriculture,1806,159,189,2154
Ahilyanagar,2016,Mining,59,43,23409,23511
Ahilyanagar,2016,Commodity Manufacturing,62,2584,17316,19962
Ahilyanagar,2016,"Electricity Generation, Gas, Water And Sewage Services",3905,622,2377,6904
