District,Year,Bank Accounts,Post Office Accounts
Ahilyanagar,2011,47679.0,170763.0
Ahilyanagar,2012,86797.0,134968.0
Ahilyanagar,2013,101052.0,129849.0
Ahilyanagar,2014,116451.0,124660.0
Ahilyanagar,2015,156224.0,112958.0
Ahilyanagar,2016,197403.0,102644.0
Ahilyanagar,2017,245616.0,95101.0
Ahilyanagar,2018,286312.0,90645.0
Ahilyanagar,2019,332358.0,85936.0
Ahilyanagar,2020,339572.0,85283.0
Akola,2011,7856.0,43996.0
Akola,2012,20627.0,27619.0
Akola,2013,34199.0,30265.0
Akola,2014,43583.0,31166.0
Akola,2015,55594.0,32048.0
Akola,2016,79460.0,30323.0
Akola,2017,102047.0,26974.0
Akola,2018,121905.0,26435.0
Akola,2019,140961.0,25292.0
Akola,2020,147414.0,25039.0
Amravati,2011,4162.0,162194.0
Amravati,2012,23683.0,121791.0
Amravati,2013,46260.0,128783.0
Amravati,2014,70798.0,124639.0
Amravati,2015,121896.0,115668.0
Amravati,2016,233869.0,58770.0
Amravati,2017,297395.0,36622.0
Amravati,2018,335951.0,34294.0
Amravati,2019,377042.0,32268.0
Amravati,2020,383330.0,32024.0
Beed,2011,4135.0,156665.0
Beed,2012,30342.0,138299.0
Beed,2013,36967.0,163390.0
Beed,2014,65856.0,164559.0
Beed,2015,110190.0,123306.0
Beed,2016,152694.0,108348.0
Beed,2017,190887.0,53536.0
Beed,2018,215777.0,50248.0
Beed,2019,232483.0,47131.0
Beed,2020,235357.0,46967.0
Bhandara,2011,145527.0,96991.0
Bhandara,2012,193218.0,76199.0
Bhandara,2013,233680.0,48449.0
Bhandara,2014,268316.0,22069.0
Bhandara,2015,314225.0,15710.0
Bhandara,2016,351241.0,12165.0
Bhandara,2017,381818.0,10307.0
Bhandara,2018,396393.0,9728.0
Bhandara,2019,429397.0,8485.0
Bhandara,2020,432278.0,8421.0
Buldhana,2011,1101.0,78629.0
Buldhana,2012,11496.0,63769.0
Buldhana,2013,19622.0,63248.0
Buldhana,2014,38068.0,66983.0
Buldhana,2015,68635.0,64724.0
Buldhana,2016,124092.0,55818.0
Buldhana,2017,165442.0,47283.0
Buldhana,2018,184880.0,45302.0
Buldhana,2019,200438.0,43408.0
Buldhana,2020,203581.0,43177.0
Chandrapur,2011,23667.0,57749.0
Chandrapur,2012,134807.0,37423.0
Chandrapur,2013,197160.0,26098.0
Chandrapur,2014,226769.0,22363.0
Chandrapur,2015,257953.0,18100.0
Chandrapur,2016,292892.0,15472.0
Chandrapur,2017,324588.0,13576.0
Chandrapur,2018,347069.0,12498.0
Chandrapur,2019,373152.0,11036.0
Chandrapur,2020,377409.0,10963.0
Dhule,2011,6897.0,75867.0
Dhule,2012,15827.0,56944.0
Dhule,2013,22509.0,58810.0
Dhule,2014,30155.0,58492.0
Dhule,2015,62197.0,55842.0
Dhule,2016,121800.0,47351.0
Dhule,2017,166233.0,38973.0
Dhule,2018,196087.0,36666.0
Dhule,2019,216165.0,35059.0
Dhule,2020,218307.0,34954.0
Gadchiroli,2011,124852.0,55917.0
Gadchiroli,2012,183870.0,41841.0
Gadchiroli,2013,239683.0,33158.0
Gadchiroli,2014,273670.0,27110.0
Gadchiroli,2015,306240.0,19994.0
Gadchiroli,2016,323515.0,16343.0
Gadchiroli,2017,343354.0,14672.0
Gadchiroli,2018,355389.0,14006.0
Gadchiroli,2019,371341.0,11844.0
Gadchiroli,2020,373439.0,11753.0
Gondia,2011,171004.0,20408.0
Gondia,2012,217693.0,12198.0
Gondia,2013,243208.0,8980.0
Gondia,2014,274092.0,7425.0
Gondia,2015,341012.0,5871.0
Gondia,2016,425625.0,4427.0
Gondia,2017,455668.0,4032.0
Gondia,2018,474136.0,3872.0
Gondia,2019,508973.0,3446.0
Gondia,2020,517863.0,3380.0
Hingoli,2011,48708.0,20937.0
Hingoli,2012,48527.0,11285.0
Hingoli,2013,61084.0,14246.0
Hingoli,2014,66688.0,14828.0
Hingoli,2015,76143.0,14843.0
Hingoli,2016,93557.0,12501.0
Hingoli,2017,117413.0,10470.0
Hingoli,2018,138786.0,8958.0
Hingoli,2019,152519.0,8645.0
Hingoli,2020,154787.0,8595.0
Jalna,2011,112448.0,8693.0
Jalna,2012,121395.0,5500.0
Jalna,2013,140917.0,4561.0
Jalna,2014,157404.0,4348.0
Jalna,2015,175346.0,4101.0
Jalna,2016,201129.0,3932.0
Jalna,2017,221992.0,3786.0
Jalna,2018,238012.0,3631.0
Jalna,2019,258437.0,3472.0
Jalna,2020,260304.0,3461.0
Mumbai City,2011,,
Mumbai City,2012,,
Mumbai City,2013,,
Mumbai City,2014,,
Mumbai City,2015,,
Mumbai City,2016,,
Mumbai City,2017,,
Mumbai City,2018,,
Mumbai City,2019,,
Mumbai City,2020,,
Mumbai Suburban,2011,,
Mumbai Suburban,2012,,
Mumbai Suburban,2013,,
Mumbai Suburban,2014,,
Mumbai Suburban,2015,,
Mumbai Suburban,2016,,
Mumbai Suburban,2017,,
Mumbai Suburban,2018,,
Mumbai Suburban,2019,,
Mumbai Suburban,2020,,
Nagpur,2011,39936.0,948.0
Nagpur,2012,63196.0,614.0
Nagpur,2013,80577.0,552.0
Nagpur,2014,88358.0,505.0
Nagpur,2015,121340.0,469.0
Nagpur,2016,138879.0,365.0
Nagpur,2017,158030.0,347.0
Nagpur,2018,176049.0,340.0
Nagpur,2019,208011.0,319.0
Nagpur,2020,212250.0,319.0
Nanded,2011,2722.0,287218.0
Nanded,2012,66673.0,175019.0
Nanded,2013,79280.0,191836.0
Nanded,2014,106410.0,185145.0
Nanded,2015,137792.0,175001.0
Nanded,2016,193072.0,162835.0
Nanded,2017,225159.0,122855.0
Nanded,2018,245216.0,119842.0
Nanded,2019,269716.0,115981.0
Nanded,2020,273910.0,115505.0
Nandurbar,2011,8504.0,149858.0
Nandurbar,2012,12989.0,137388.0
Nandurbar,2013,17847.0,144736.0
Nandurbar,2014,25961.0,147092.0
Nandurbar,2015,79119.0,129466.0
Nandurbar,2016,138167.0,102681.0
Nandurbar,2017,191911.0,80410.0
Nandurbar,2018,242874.0,72074.0
Nandurbar,2019,298654.0,62160.0
Nandurbar,2020,299796.0,62021.0
Nashik,2011,11207.0,153824.0
Nashik,2012,32548.0,121418.0
Nashik,2013,49671.0,118858.0
Nashik,2014,59481.0,111611.0
Nashik,2015,121001.0,99560.0
Nashik,2016,207901.0,89212.0
Nashik,2017,257305.0,83480.0
Nashik,2018,305300.0,79039.0
Nashik,2019,367877.0,74190.0
Nashik,2020,375233.0,73846.0
Parbhani,2011,19190.0,25783.0
Parbhani,2012,44491.0,20833.0
Parbhani,2013,67576.0,18421.0
Parbhani,2014,106756.0,17360.0
Parbhani,2015,118563.0,14284.0
Parbhani,2016,131524.0,13618.0
Parbhani,2017,153501.0,9430.0
Parbhani,2018,166134.0,9239.0
Parbhani,2019,183641.0,8883.0
Parbhani,2020,186891.0,8810.0
Raigad,2011,15542.0,35487.0
Raigad,2012,22897.0,29836.0
Raigad,2013,25528.0,29890.0
Raigad,2014,26261.0,29711.0
Raigad,2015,32785.0,28773.0
Raigad,2016,37194.0,20764.0
Raigad,2017,43183.0,17633.0
Raigad,2018,52302.0,17243.0
Raigad,2019,64676.0,16579.0
Raigad,2020,66920.0,16540.0
Ratnagiri,2011,8245.0,36727.0
Ratnagiri,2012,11263.0,31930.0
Ratnagiri,2013,16893.0,32045.0
Ratnagiri,2014,20565.0,31337.0
Ratnagiri,2015,30741.0,30497.0
Ratnagiri,2016,54234.0,26197.0
Ratnagiri,2017,79951.0,23478.0
Ratnagiri,2018,97718.0,22060.0
Ratnagiri,2019,114002.0,21168.0
Ratnagiri,2020,115273.0,21101.0
Sindhudurg,2011,16062.0,16683.0
Sindhudurg,2012,29468.0,13821.0
Sindhudurg,2013,37518.0,12883.0
Sindhudurg,2014,43053.0,12633.0
Sindhudurg,2015,52080.0,12005.0
Sindhudurg,2016,64361.0,11195.0
Sindhudurg,2017,73127.0,10731.0
Sindhudurg,2018,81472.0,10279.0
Sindhudurg,2019,92216.0,9929.0
Sindhudurg,2020,92855.0,9907.0
Thane,2011,24195.0,228415.0
Thane,2012,55110.0,197657.0
Thane,2013,67522.0,194696.0
Thane,2014,88044.0,187066.0
Thane,2015,44885.0,35739.0
Thane,2016,60769.0,32577.0
Thane,2017,67420.0,28531.0
Thane,2018,74972.0,27381.0
Thane,2019,84789.0,26016.0
Thane,2020,85587.0,25894.0
Wardha,2011,25213.0,49534.0
Wardha,2012,51323.0,25780.0
Wardha,2013,81822.0,23798.0
Wardha,2014,85693.0,20375.0
Wardha,2015,93753.0,17860.0
Wardha,2016,110981.0,16305.0
Wardha,2017,121233.0,15541.0
Wardha,2018,132698.0,14974.0
Wardha,2019,145972.0,14463.0
Wardha,2020,148126.0,14432.0
Washim,2011,13833.0,28525.0
Washim,2012,26510.0,22664.0
Washim,2013,46683.0,26357.0
Washim,2014,63928.0,26815.0
Washim,2015,82926.0,25737.0
Washim,2016,115031.0,23408.0
Washim,2017,136962.0,15512.0
Washim,2018,143644.0,14933.0
Washim,2019,146558.0,14456.0
Washim,2020,147221.0,14425.0
Yavatmal,2011,20828.0,85143.0
Yavatmal,2012,54536.0,61349.0
Yavatmal,2013,88656.0,55666.0
Yavatmal,2014,127157.0,50084.0
Yavatmal,2015,179871.0,42455.0
Yavatmal,2016,241111.0,36478.0
Yavatmal,2017,277934.0,32704.0
Yavatmal,2018,302701.0,31152.0
Yavatmal,2019,323527.0,29860.0
Yavatmal,2020,328044.0,29683.0
