District,Year,Job Cards Issued,SC,ST,Issued for either SC or ST
Ahilyanagar,2011,534229.0,9181.0,15072.0,509976.0
Ahilyanagar,2012,592680.0,29237.0,26299.0,537144.0
Ahilyanagar,2013,604673.0,30027.0,26830.0,547816.0
Ahilyanagar,2014,609102.0,31559.0,28003.0,549540.0
Ahilyanagar,2015,616357.0,32079.0,28374.0,555904.0
Ahilyanagar,2016,628837.0,32890.0,28950.0,566997.0
Ahilyanagar,2017,618052.0,33165.0,29208.0,555679.0
Ahilyanagar,2018,616348.0,33925.0,29323.0,553100.0
Ahilyanagar,2019,619646.0,34830.0,29411.0,555405.0
Ahilyanagar,2020,622474.0,35040.0,29450.0,557984.0
Akola,2011,134106.0,20960.0,6200.0,106946.0
Akola,2012,141295.0,28005.0,8318.0,104972.0
Akola,2013,174806.0,32455.0,9692.0,132659.0
Akola,2014,178176.0,32496.0,9567.0,136113.0
Akola,2015,181834.0,32037.0,9127.0,140670.0
Akola,2016,191464.0,33092.0,9316.0,149056.0
Akola,2017,196011.0,32719.0,9064.0,154228.0
Akola,2018,199113.0,32730.0,9041.0,157342.0
Akola,2019,212023.0,33428.0,9502.0,169093.0
Akola,2020,218378.0,33867.0,9690.0,174821.0
Amravati,2011,272793.0,13665.0,7862.0,251266.0
Amravati,2012,279450.0,25662.0,43086.0,210702.0
Amravati,2013,293035.0,28267.0,49992.0,214776.0
Amravati,2014,293492.0,28206.0,48722.0,216564.0
Amravati,2015,299251.0,28613.0,48531.0,222107.0
Amravati,2016,308977.0,30271.0,50308.0,228398.0
Amravati,2017,328833.0,32538.0,52951.0,243344.0
Amravati,2018,334855.0,33189.0,54508.0,247158.0
Amravati,2019,344884.0,34309.0,56814.0,253761.0
Amravati,2020,349526.0,34707.0,58409.0,256410.0
Beed,2011,226232.0,1093.0,166.0,224973.0
Beed,2012,241670.0,3695.0,627.0,237348.0
Beed,2013,246225.0,9117.0,1183.0,235925.0
Beed,2014,277899.0,10301.0,1380.0,266218.0
Beed,2015,297865.0,10601.0,1399.0,285865.0
Beed,2016,304376.0,11347.0,1421.0,291608.0
Beed,2017,312858.0,11845.0,1438.0,299575.0
Beed,2018,320982.0,12080.0,1448.0,307454.0
Beed,2019,359908.0,13898.0,1714.0,344296.0
Beed,2020,359558.0,13773.0,1717.0,344068.0
Bhandara,2011,202277.0,22656.0,10676.0,168945.0
Bhandara,2012,203991.0,28701.0,12656.0,162634.0
Bhandara,2013,205099.0,32734.0,13897.0,158468.0
Bhandara,2014,202732.0,31639.0,13963.0,157130.0
Bhandara,2015,199933.0,31020.0,14005.0,154908.0
