District,Year,Worked,Demanded Work,Allotted Work
Ahilyanagar,2011,86593,87995,87753
Ahilyanagar,2012,182653,187851,187680
Ahilyanagar,2013,90098,108321,108301
Ahilyanagar,2014,41484,49946,49923
Ahilyanagar,2015,47541,61794,61752
Ahilyanagar,2016,83225,102467,102404
Ahilyanagar,2017,87656,98995,98770
Ahilyanagar,2018,113015,133793,133474
Ahilyanagar,2019,108405,129763,129512
Ahilyanagar,2020,124133,136866,136661
Akola,2011,39885,40981,40548
Akola,2012,49887,50775,50721
Akola,2013,31630,35432,35432
Akola,2014,45460,50102,50033
Akola,2015,48417,54570,54536
Akola,2016,39482,45198,45088
Akola,2017,53089,58388,58328
Akola,2018,63856,71959,71683
Akola,2019,58672,67459,67051
Akola,2020,56377,63042,62552
Amravati,2011,121329,122403,122073
Amravati,2012,157601,159957,159788
Amravati,2013,99139,112185,112106
Amravati,2014,112538,132239,132166
Amravati,2015,122098,140375,140333
Amravati,2016,149340,173450,173405
Amravati,2017,184061,213842,213520
Amravati,2018,206377,239659,239267
Amravati,2019,188255,218890,218594
Amravati,2020,199182,230797,230407
Beed,2011,102406,103971,103747
Beed,2012,145330,146948,146700
Beed,2013,78511,87402,87259
Beed,2014,128092,139036,138735
Beed,2015,118511,134676,134179
Beed,2016,126123,148659,148448
Beed,2017,113631,135525,135126
Beed,2018,129714,157672,157266
Beed,2019,119538,147038,145738
Beed,2020,70992,96254,95081
Bhandara,2011,178063,178281,178280
Bhandara,2012,172294,174693,174692
Bhandara,2013,185264,218686,218682
Bhandara,2014,193969,234567,234563
Bhandara,2015,206301,248726,248720
Bhandara,2016,214345,265109,265109
Bhandara,2017,219316,273980,273985
Bhandara,2018,235416,304322,304306
Bhandara,2019,195289,263854,263841
Bhandara,2020,254543,315500,315450
Buldhana,2011,56505,57731,57691
Buldhana,2012,49580,51075,50370
Buldhana,2013,35764,44419,44408
Buldhana,2014,33761,40347,40257
Buldhana,2015,56319,64918,64882
Buldhana,2016,73100,81088,81045
Buldhana,2017,97147,106404,106225
Buldhana,2018,98342,111198,110945
Buldhana,2019,70907,79704,79583
Buldhana,2020,60276,70948,70863
Chandrapur,2011,192351,193565,193471
Chandrapur,2012,168423,170229,170112
Chandrapur,2013,144660,165715,165653
Chandrapur,2014,158805,194081,194072
Chandrapur,2015,183861,224575,224559
Chandrapur,2016,180385,229136,229130
Chandrapur,2017,193146,244505,244477
Chandrapur,2018,214514,263387,263275
Chandrapur,2019,161764,202964,202943
Chandrapur,2020,206047,257067,256995
Dhule,2011,60694,61235,61152
Dhule,2012,74092,75701,75688
Dhule,2013,51408,53799,53797
Dhule,2014,44053,46976,46970
Dhule,2015,53651,57242,57203
Dhule,2016,73343,80148,80102
Dhule,2017,116576,129582,129485
Dhule,2018,130409,145713,145422
Dhule,2019,91507,102965,102731
Dhule,2020,69863,80298,79874
Gadchiroli,2011,175607,175897,175889
Gadchiroli,2012,162996,165030,164954
Gadchiroli,2013,144020,164521,164476
Gadchiroli,2014,173719,196550,196499
Gadchiroli,2015,208575,233129,233098
Gadchiroli,2016,194270,229603,229604
Gadchiroli,2017,191783,232281,232266
Gadchiroli,2018,193937,227878,227804
Gadchiroli,2019,146143,179697,179666
