District,Year,Applied for a Job Card,Worked,Demanded Work,Allotted Work
Ahilyanagar,2011,534767.0,50351.0,51000.0,50862.0
Ahilyanagar,2012,599852.0,99499.0,101800.0,101722.0
Ahilyanagar,2013,605573.0,53003.0,61907.0,61896.0
Ahilyanagar,2014,609752.0,24957.0,29045.0,29036.0
Ahilyanagar,2015,617057.0,28813.0,36182.0,36161.0
Ahilyanagar,2016,629726.0,46993.0,56136.0,56115.0
Ahilyanagar,2017,623197.0,50121.0,55523.0,55424.0
Ahilyanagar,2018,630159.0,66429.0,75961.0,75814.0
Ahilyanagar,2019,637355.0,63768.0,73647.0,73540.0
Ahilyanagar,2020,660562.0,70942.0,76755.0,76657.0
Akola,2011,134327.0,25322.0,25829.0,25654.0
Akola,2012,170913.0,28743.0,29175.0,29147.0
Akola,2013,174880.0,19548.0,21919.0,21919.0
Akola,2014,178186.0,27222.0,29995.0,29954.0
Akola,2015,181851.0,28871.0,32344.0,32326.0
Akola,2016,191560.0,24410.0,27485.0,27429.0
Akola,2017,203595.0,34605.0,37331.0,37299.0
Akola,2018,210687.0,41422.0,45549.0,45437.0
Akola,2019,213988.0,39537.0,44397.0,44204.0
Akola,2020,221666.0,37434.0,41050.0,40773.0
Amravati,2011,277712.0,59870.0,60480.0,60302.0
Amravati,2012,285153.0,77543.0,78504.0,78416.0
Amravati,2013,293430.0,54243.0,59669.0,59635.0
Amravati,2014,293616.0,59831.0,66937.0,66908.0
Amravati,2015,299438.0,63940.0,70940.0,70921.0
Amravati,2016,309574.0,74766.0,83198.0,83179.0
Amravati,2017,332534.0,92085.0,101655.0,101506.0
Amravati,2018,341524.0,104811.0,114592.0,114435.0
Amravati,2019,349036.0,95973.0,104963.0,104835.0
Amravati,2020,356145.0,95962.0,104805.0,104673.0
Beed,2011,228161.0,43144.0,43701.0,43623.0
Beed,2012,267577.0,61710.0,62324.0,62226.0
Beed,2013,277746.0,36736.0,40213.0,40156.0
Beed,2014,289647.0,53732.0,57629.0,57509.0
Beed,2015,314150.0,56094.0,63069.0,62879.0
Beed,2016,324739.0,58025.0,67288.0,67204.0
Beed,2017,342578.0,54953.0,64611.0,64442.0
Beed,2018,357302.0,59023.0,69729.0,69569.0
Beed,2019,367897.0,46564.0,56102.0,55702.0
Beed,2020,373930.0,28970.0,36780.0,36339.0
Bhandara,2011,202781.0,98008.0,98075.0,98075.0
Bhandara,2012,204960.0,93115.0,93978.0,93978.0
Bhandara,2013,206906.0,99177.0,108087.0,108086.0
Bhandara,2014,202744.0,104177.0,115059.0,115058.0
Bhandara,2015,199955.0,106426.0,116542.0,116541.0
Bhandara,2016,202112.0,110407.0,122126.0,122126.0
Bhandara,2017,211912.0,112669.0,126044.0,126043.0
Bhandara,2018,220135.0,123468.0,139205.0,139200.0
Bhandara,2019,226345.0,107519.0,126303.0,126291.0
Bhandara,2020,244772.0,133257.0,148467.0,148426.0
Buldhana,2011,235824.0,29264.0,29807.0,29787.0
Buldhana,2012,243493.0,26482.0,27201.0,26868.0
Buldhana,2013,249090.0,20872.0,25714.0,25713.0
Buldhana,2014,248460.0,18921.0,22008.0,21962.0
Buldhana,2015,269612.0,31301.0,35578.0,35559.0
Buldhana,2016,287851.0,41334.0,44964.0,44943.0
Buldhana,2017,316611.0,60412.0,64680.0,64603.0
Buldhana,2018,324793.0,65673.0,72027.0,71888.0
Buldhana,2019,329227.0,49907.0,54592.0,54531.0
Buldhana,2020,340144.0,42225.0,47948.0,47913.0
Chandrapur,2011,244767.0,92936.0,93222.0,93208.0
Chandrapur,2012,251664.0,82674.0,83035.0,83001.0
Chandrapur,2013,256159.0,82564.0,88566.0,88546.0
Chandrapur,2014,260792.0,88144.0,97221.0,97220.0
Chandrapur,2015,264218.0,92086.0,102965.0,102963.0
Chandrapur,2016,268684.0,90182.0,103181.0,103174.0
Chandrapur,2017,280986.0,96251.0,109536.0,109523.0
Chandrapur,2018,282860.0,107286.0,119106.0,119058.0
Chandrapur,2019,279266.0,87746.0,99213.0,99204.0
Chandrapur,2020,298056.0,106944.0,120476.0,120458.0
Dhule,2011,179662.0,29683.0,29864.0,29841.0
Dhule,2012,186089.0,36196.0,36897.0,36885.0
Dhule,2013,191838.0,26692.0,27874.0,27874.0
Dhule,2014,197258.0,23116.0,24491.0,24489.0
Dhule,2015,205637.0,28998.0,30598.0,30583.0
Dhule,2016,226510.0,38981.0,41779.0,41758.0
Dhule,2017,258283.0,62282.0,67672.0,67622.0
Dhule,2018,266545.0,67938.0,73508.0,73392.0
Dhule,2019,285819.0,48774.0,53652.0,53553.0
Dhule,2020,377137.0,38951.0,43629.0,43471.0
Gadchiroli,2011,166994.0,79230.0,79281.0,79281.0
Gadchiroli,2012,178067.0,77428.0,78005.0,77973.0
Gadchiroli,2013,177764.0,75104.0,81420.0,81399.0
Gadchiroli,2014,178168.0,85220.0,91443.0,91432.0
Gadchiroli,2015,180611.0,95434.0,101182.0,101173.0
Gadchiroli,2016,173679.0,89364.0,98489.0,98489.0
Gadchiroli,2017,175706.0,87034.0,97026.0,97018.0
Gadchiroli,2018,179075.0,88486.0,96379.0,96339.0
Gadchiroli,2019,174815.0,69948.0,78947.0,78932.0
Gadchiroli,2020,183461.0,87757.0,99062.0,99051.0
Gondia,2011,212856.0,94118.0,94260.0,94244.0
Gondia,2012,216392.0,77133.0,76025.0,76015.0
Gondia,2013,218389.0,72662.0,83815.0,83804.0
Gondia,2014,220157.0,83231.0,92579.0,92576.0
Gondia,2015,225796.0,107533.0,116635.0,116629.0
Gondia,2016,238344.0,120490.0,131235.0,131228.0
Gondia,2017,262848.0,163614.0,174993.0,174995.0
Gondia,2018,272936.0,160566.0,173207.0,173195.0
Gondia,2019,279005.0,126194.0,142829.0,142782.0
Gondia,2020,317874.0,166081.0,179432.0,178955.0
Hingoli,2011,126671.0,13485.0,13794.0,13766.0
Hingoli,2012,127798.0,22621.0,22765.0,22763.0
Hingoli,2013,129875.0,14370.0,15083.0,15041.0
Hingoli,2014,129007.0,21030.0,22440.0,22436.0
Hingoli,2015,133954.0,17696.0,18580.0,18571.0
Hingoli,2016,142961.0,18973.0,21448.0,21438.0
Hingoli,2017,152359.0,23018.0,24950.0,24898.0
Hingoli,2018,158363.0,37346.0,39636.0,39627.0
Hingoli,2019,164188.0,40784.0,44826.0,44771.0
Hingoli,2020,173988.0,33628.0,36783.0,36687.0
Jalna,2011,182964.0,34349.0,36460.0,36281.0
Jalna,2012,222319.0,75903.0,77847.0,77733.0
Jalna,2013,231282.0,40000.0,47184.0,47075.0
Jalna,2014,242402.0,38992.0,45081.0,44910.0
Jalna,2015,253045.0,36657.0,44597.0,44505.0
Jalna,2016,260770.0,37279.0,47406.0,47289.0
