Year,District,Rural/Urban,Male Non Workers,Female Non Workers
2011,Ahilyanagar,Rural,820344,934380
2011,Ahilyanagar,Urban,222172,361673
2011,Akola,Rural,237259,327552
2011,Akola,Urban,174713,306228
2011,Amravati,Rural,392416,566641
2011,Amravati,Urban,250775,442291
2011,Beed,Rural,485589,498773
2011,Beed,Urban,135698,209441
2011,Bhandara,Rural,201161,249255
2011,Bhandara,Urban,59305,93308
2011,Buldhana,Rural,464421,534380
2011,Buldhana,Urban,139115,228701
2011,Chandrapur,Rural,283066,348414
2011,Chandrapur,Urban,192203,322452
2011,Chhatrapati Sambhaji Nagar,Rural,488181,548247
2011,Chhatrapati Sambhaji Nagar,Urban,420424,669351
2011,Dharashiv,Rural,311772,381359
2011,Dharashiv,Urban,75968,114561
2011,Dhule,Rural,333447,388293
2011,Dhule,Urban,150136,242616
2011,Gadchiroli,Rural,189690,225109
2011,Gadchiroli,Urban,28300,45606
2011,Gondia,Rural,224347,287961
2011,Gondia,Urban,54056,90724
2011,Hingoli,Rural,228890,257132
2011,Hingoli,Urban,46501,75640
2011,Jalgaon,Rural,663355,796160
2011,Jalgaon,Urban,347538,559293
2011,Jalna,Rural,369723,406590
2011,Jalna,Urban,96720,155127
2011,Kolhapur,Rural,569556,809179
2011,Kolhapur,Urban,285898,507314
2011,Latur,Rural,432259,539590
2011,Latur,Urban,170863,264627
2011,Mumbai City,Rural,0,0
2011,Mumbai City,Urban,663599,1137416
2011,Mumbai Suburban,Rural,0,0
2011,Mumbai Suburban,Urban,2087001,3534940
2011,Nagpur,Rural,302334,424478
2011,Nagpur,Urban,748430,1309768
2011,Nanded,Rural,563026,683644
2011,Nanded,Urban,241817,378852
2011,Nandurbar,Rural,314042,357215
2011,Nandurbar,Urban,76230,108743
2011,Nashik,Rural,779697,868759
2011,Nashik,Urban,631203,1064200
2011,Parbhani,Rural,290215,331928
2011,Parbhani,Urban,151233,239913
2011,Pune,Rural,793723,1055916
2011,Pune,Urban,1320566,2210210
2011,Raigad,Rural,366499,582950
2011,Raigad,Urban,224003,387779
2011,Ratnagiri,Rural,289780,433340
2011,Ratnagiri,Urban,64333,113540
2011,Sangli,Rural,461932,676863
2011,Sangli,Urban,173582,294662
2011,Satara,Rural,524376,754286
2011,Satara,Urban,141661,228471
2011,Sindhudurg,Rural,162925,270757
2011,Sindhudurg,Urban,24731,44060
2011,Solapur,Rural,676900,846642
2011,Solapur,Urban,344019,551800
2011,Thane,Rural,570718,805023
2011,Thane,Urban,1931237,3260403
2011,Wardha,Rural,174791,241905
2011,Wardha,Urban,101278,174565
2011,Washim,Rural,226538,258637
2011,Washim,Urban,53411,88782
2011,Yavatmal,Rural,458991,561882
2011,Yavatmal,Urban,145499,249977
