Year,District,Rural/Urban,Male Main Workers,Female Main Workers,Male Marginal Workers,Female Marginal Workers
1991,Raigad,Rural,367629,246989,10672,66713
1991,Raigad,Urban,88986,16499,914,2146
1991,Thane,Rural,513067,301380,10907,95640
1991,Thane,Urban,999621,147636,9770,13538
1991,Ratnagiri,Rural,287016,248790,13992,103774
1991,Ratnagiri,Urban,32583,7367,541,747
1991,Sindhudurg,Rural,171695,128495,12239,62691
1991,Sindhudurg,Urban,14595,3706,775,1033
1991,Nashik,Rural,662384,521414,11327,74885
1991,Nashik,Urban,335238,64966,2605,5916
1991,Jalgaon,Rural,610049,422683,6630,74352
1991,Jalgaon,Urban,208196,38949,1443,4987
1991,Ahilyanagar,Rural,740976,521968,8244,105539
1991,Ahilyanagar,Urban,134545,34922,934,2646
1991,Pune,Rural,722451,457276,15727,140828
1991,Pune,Urban,720337,151615,9586,12935
1991,Satara,Rural,513116,292010,9697,181845
1991,Satara,Urban,75133,16136,669,2631
1991,Sangli,Rural,463103,196087,6733,143734
1991,Sangli,Urban,128433,27103,1751,7898
1991,Solapur,Rural,630538,338772,7704,129232
1991,Solapur,Urban,217145,61888,1065,5170
1991,Kolhapur,Rural,598239,328522,20542,173415
1991,Kolhapur,Urban,210533,32441,3308,12191
1991,Chhatrapati Sambhaji Nagar,Rural,390743,291228,6559,47748
1991,Chhatrapati Sambhaji Nagar,Urban,171474,33035,1831,2727
1991,Jalna,Rural,303412,230808,5597,43353
1991,Jalna,Urban,55265,10334,427,1489
1991,Parbhani,Rural,443585,316272,5975,67338
1991,Parbhani,Urban,108979,21470,706,2517
1991,Beed,Rural,387906,282008,12484,82075
1991,Beed,Urban,74076,14599,861,2397
1991,Dharashiv,Rural,290887,183907,2545,44443
1991,Dharashiv,Urban,44031,10600,400,1713
1991,Latur,Rural,344112,225139,4660,70649
1991,Latur,Urban,76263,10729,376,3395
1991,Buldhana,Rural,402525,325606,6842,42537
1991,Buldhana,Urban,93263,22954,978,3864
1991,Amravati,Rural,416390,261120,20716,58895
1991,Amravati,Urban,174466,35916,2692,6514
1991,Yavatmal,Rural,470411,350852,9066,54615
1991,Yavatmal,Urban,84263,17724,983,2993
1991,Wardha,Rural,218498,153003,5622,16856
1991,Wardha,Urban,66240,12798,964,1633
1991,Nagpur,Rural,350044,238003,8650,37696
1991,Nagpur,Urban,486706,93154,7074,11442
1991,Chandrapur,Rural,350049,254009,7931,59606
1991,Chandrapur,Urban,119443,21615,1790,3251
1991,Gadchiroli,Rural,200328,135191,6041,57235
1991,Gadchiroli,Urban,16964,6080,269,1338
2001,Nandurbar,Rural,248284,155101,46359,100531
2001,Nandurbar,Urban,47394,7542,2415,2407
2001,Dhule,Rural,299402,158959,47283,104148
2001,Dhule,Urban,100907,14228,6647,6367
2001,Jalgaon,Rural,637351,384114,77310,151467
2001,Jalgaon,Urban,242103,36518,20191,14929
2001,Buldhana,Rural,448618,331279,32635,60794
2001,Buldhana,Urban,108459,20441,6895,6894
2001,Akola,Rural,260229,149155,18896,32922
2001,Akola,Urban,148003,24877,8663,5498
2001,Washim,Rural,206946,140265,18005,38119
2001,Washim,Urban,41006,7434,1785,1772
2001,Amravati,Rural,434246,222051,60051,99826
2001,Amravati,Urban,213863,38203,15859,11523
2001,Wardha,Rural,228765,118272,37748,65128
2001,Wardha,Urban,72866,11427,9232,6913
2001,Nagpur,Rural,359641,200365,66999,100296
2001,Nagpur,Urban,609554,113519,55432,32543
2001,Bhandara,Rural,200597,118743,61446,100829
2001,Bhandara,Urban,36571,9553,4422,4724
2001,Gondia,Rural,219975,131437,64476,117873
2001,Gondia,Urban,31964,8514,2606,2751
2001,Gadchiroli,Rural,199650,119385,55402,98342
2001,Gadchiroli,Urban,14520,3404,2818,3583
