District,Year,Taluka,Annual Target for Artificial Insemination,Actual Artificial Insemination Numbers,Percentage of Artificial Insemination Target Achieved
Ahilyanagar,2012,Akole,16721.0,12206.33,73.0
Ahilyanagar,2012,Sangamner,25000.0,18250.0,83.0
Ahilyanagar,2012,Kopargaon,13000.0,9490.0,73.0
Ahilyanagar,2012,Rahata,17000.0,12410.0,78.0
Ahilyanagar,2012,Srirampur,11500.0,8395.0,78.0
Ahilyanagar,2012,Nevasa,23000.0,16790.0,82.0
Ahilyanagar,2012,Shevgaon,17500.0,12775.0,88.0
Ahilyanagar,2012,Pathardi,20000.0,14600.0,82.0
Ahilyanagar,2012,Nagar,26529.0,19366.17,91.0
Ahilyanagar,2012,Rahuri,19500.0,14235.0,82.0
Ahilyanagar,2012,Parner,21400.0,15622.0,96.0
Ahilyanagar,2012,Srigonda,26000.0,18980.0,82.0
Ahilyanagar,2012,Karjat,13091.0,9556.43,88.0
Ahilyanagar,2012,Jamkhed,11870.0,8665.1,94.0
Ahilyanagar,2013,Akole,17668.0,12897.64,73.89
Ahilyanagar,2013,Sangamner,27050.0,19746.5,80.01
Ahilyanagar,2013,Kopargaon,14030.0,10241.9,65.42
Ahilyanagar,2013,Rahata,17310.0,12636.3,79.8
Ahilyanagar,2013,Srirampur,14890.0,10869.7,58.489999999999995
Ahilyanagar,2013,Nevasa,24680.0,18016.4,77.61
Ahilyanagar,2013,Shevgaon,20110.0,14680.3,81.57
Ahilyanagar,2013,Pathardi,21590.0,15760.7,81.74
Ahilyanagar,2013,Nagar,26759.0,19534.07,90.29
Ahilyanagar,2013,Rahuri,23800.0,17374.0,64.52
Ahilyanagar,2013,Parner,24320.0,17753.6,95.24
Ahilyanagar,2013,Srigonda,27210.0,19863.3,84.35
Ahilyanagar,2013,Karjat,17000.0,12410.0,64.14
Ahilyanagar,2013,Jamkhed,13280.0,9694.4,88.52
Ahilyanagar,2014,Akole,17668.0,12897.64,84.33
Ahilyanagar,2014,Sangamner,27050.0,19746.5,80.82
Ahilyanagar,2014,Kopargaon,14030.0,10241.9,66.4
Ahilyanagar,2014,Rahata,17310.0,12636.3,78.51
Ahilyanagar,2014,Srirampur,14890.0,10869.7,64.37
Ahilyanagar,2014,Nevasa,24680.0,18016.4,82.26
Ahilyanagar,2014,Shevgaon,20110.0,14680.3,92.5
Ahilyanagar,2014,Pathardi,21590.0,15760.7,88.93
Ahilyanagar,2014,Nagar,26759.0,19534.07,93.08
Ahilyanagar,2014,Rahuri,23800.0,17374.0,70.69
Ahilyanagar,2014,Parner,24320.0,17753.6,106.37
Ahilyanagar,2014,Srigonda,27210.0,19863.3,87.52
Ahilyanagar,2014,Karjat,17000.0,12410.0,63.83
Ahilyanagar,2014,Jamkhed,13280.0,9694.4,90.8
Ahilyanagar,2015,Akole,26740.0,19520.2,66.3
Ahilyanagar,2015,Sangamner,30424.0,22209.52,67.45
Ahilyanagar,2015,Kopargaon,17499.0,12774.27,58.81000000000001
Ahilyanagar,2015,Rahata,21354.0,15588.42,67.36
Ahilyanagar,2015,Srirampur,18100.0,13213.0,60.29
Ahilyanagar,2015,Nevasa,28135.0,20538.55,58.18
Ahilyanagar,2015,Shevgaon,22388.0,16343.24,77.69
Ahilyanagar,2015,Pathardi,24067.0,17568.91,72.56
Ahilyanagar,2015,Nagar,31493.0,22989.89,71.53
Ahilyanagar,2015,Rahuri,27797.0,20291.81,65.2
Ahilyanagar,2015,Parner,29325.0,21407.25,83.5
Ahilyanagar,2015,Srigonda,30437.0,22219.01,68.29
Ahilyanagar,2015,Karjat,19380.0,14147.4,46.2
Ahilyanagar,2015,Jamkhed,15061.0,10994.53,73.81
Ahilyanagar,2016,Akole,25200.0,18396.0,60.150000000000006
Ahilyanagar,2016,Sangamner,29859.0,21797.07,65.29
Ahilyanagar,2016,Kopargaon,15749.0,11496.77,54.230000000000004
Ahilyanagar,2016,Rahata,19104.0,13945.92,61.59
Ahilyanagar,2016,Srirampur,16541.0,12074.93,50.2
Ahilyanagar,2016,Nevasa,28135.0,20538.55,49.87
Ahilyanagar,2016,Shevgaon,22388.0,16343.24,66.18
Ahilyanagar,2016,Pathardi,24067.0,17568.91,61.1
Ahilyanagar,2016,Nagar,30298.0,22117.54,64.24
Ahilyanagar,2016,Rahuri,26166.0,19101.18,57.489999999999995
Ahilyanagar,2016,Parner,26975.0,19691.75,77.48
Ahilyanagar,2016,Srigonda,30437.0,22219.01,62.33
Ahilyanagar,2016,Karjat,19380.0,14147.4,45.49
Ahilyanagar,2016,Jamkhed,15061.0,10994.53,70.83
