District,Year,Items,Units
Ahilyanagar,2012,Milk Powder,
Ahilyanagar,2012,White butter,15.98
Ahilyanagar,2012,Ghee,403.96
Ahilyanagar,2012,Energy Milk,13.02
Ahilyanagar,2012,Lassi,13.48
Ahilyanagar,2012,Masala Milk,
Ahilyanagar,2012,Sustainable cow's milk,
Ahilyanagar,2013,Milk Powder,0.0
Ahilyanagar,2013,White butter,30.75
Ahilyanagar,2013,Ghee,482.92
Ahilyanagar,2013,Energy Milk,0.0
Ahilyanagar,2013,Lassi,16.19
Ahilyanagar,2013,Masala Milk,0.0
Ahilyanagar,2013,Sustainable cow's milk,2.42
Ahilyanagar,2014,Milk Powder,0.0
Ahilyanagar,2014,White butter,53.0
Ahilyanagar,2014,Ghee,443.62
Ahilyanagar,2014,Energy Milk,11.52
Ahilyanagar,2014,Lassi,33.34
Ahilyanagar,2014,Masala Milk,0.0
Ahilyanagar,2014,Sustainable cow's milk,2.41
Ahilyanagar,2015,Milk Powder,0.0
Ahilyanagar,2015,White butter,132.03
Ahilyanagar,2015,Ghee,233.36
Ahilyanagar,2015,Energy Milk,7.44
Ahilyanagar,2015,Lassi,21.72
Ahilyanagar,2015,Masala Milk,0.0
Ahilyanagar,2015,Sustainable cow's milk,2.68
Ahilyanagar,2016,Milk Powder,0.0
Ahilyanagar,2016,White butter,132.0
Ahilyanagar,2016,Ghee,233.0
Ahilyanagar,2016,Energy Milk,7.36
Ahilyanagar,2016,Lassi,23.72
Ahilyanagar,2016,Masala Milk,0.0
Ahilyanagar,2016,Sustainable cow's milk,2.57
Ahilyanagar,2017,Milk Powder,0.0
Ahilyanagar,2017,White butter,130.0
Ahilyanagar,2017,Ghee,342.0
Ahilyanagar,2017,Energy Milk,7.2
Ahilyanagar,2017,Lassi,27.72
Ahilyanagar,2017,Masala Milk,0.0
Ahilyanagar,2017,Sustainable cow's milk,2.7
Ahilyanagar,2018,Milk Powder,256.0
Ahilyanagar,2018,White butter,133.0
Ahilyanagar,2018,Ghee,377.0
Ahilyanagar,2018,Energy Milk,7.2
Ahilyanagar,2018,Lassi,27.79
Ahilyanagar,2018,Masala Milk,0.0
Ahilyanagar,2018,Sustainable cow's milk,2.7
