District,Year,Taluka,Dairy Development Cooperative Societies,Memberships in Dairy Co-op Societies,Milk collected across the year,Average milk collected per day,Number of cold storage units,Cold Storage Capacity,Unnamed: 9,Unnamed: 10,Unnamed: 11
Ahilyanagar,2012,Akole,239.0,12189.0,21778000.0,60000.0,3.0,70000.0,,,
Ahilyanagar,2012,Sangamner,261.0,13311.0,98956000.0,271000.0,1.0,300000.0,,milk,litres
Ahilyanagar,2012,Kopargaon,146.0,7446.0,19559000.0,54000.0,1.0,100000.0,,number,number
Ahilyanagar,2012,Rahata,125.0,6375.0,16594000.0,45000.0,2.0,155000.0,,capacity,litres
Ahilyanagar,2012,Srirampur,110.0,5610.0,2111000.0,6000.0,0.0,0.0,,,
Ahilyanagar,2012,Nevasa,112.0,5712.0,21174000.0,58000.0,1.0,40000.0,,,
Ahilyanagar,2012,Shevgaon,149.0,7599.0,7000.0,1000.0,1.0,10000.0,,,
Ahilyanagar,2012,Pathardi,291.0,14841.0,3646000.0,10000.0,2.0,30000.0,,,
Ahilyanagar,2012,Nagar,232.0,11832.0,1591000.0,4000.0,3.0,120000.0,,,
Ahilyanagar,2012,Rahuri,193.0,9843.0,5396000.0,15000.0,0.0,0.0,,,
Ahilyanagar,2012,Parner,317.0,16167.0,5760000.0,16000.0,2.0,20000.0,,,
Ahilyanagar,2012,Srigonda,187.0,9537.0,5692000.0,15000.0,1.0,20000.0,,,
Ahilyanagar,2012,Karjat,484.0,24684.0,0.0,0.0,2.0,30000.0,,,
Ahilyanagar,2012,Jamkhed,128.0,6528.0,1106000.0,3000.0,1.0,20000.0,,,
Ahilyanagar,2013,Akole,239.0,14579.0,20742000.0,57000.0,3.0,70000.0,,,
Ahilyanagar,2013,Sangamner,261.0,15921.0,97495000.0,267000.0,1.0,300000.0,,,
Ahilyanagar,2013,Kopargaon,154.0,9394.0,18977000.0,52000.0,1.0,100000.0,,,
Ahilyanagar,2013,Rahata,125.0,7625.0,7462000.0,20000.0,2.0,155000.0,,,
Ahilyanagar,2013,Srirampur,110.0,6710.0,1360000.0,4000.0,0.0,0.0,,,
Ahilyanagar,2013,Nevasa,112.0,6832.0,17792000.0,49000.0,1.0,40000.0,,,
Ahilyanagar,2013,Shevgaon,149.0,9089.0,0.0,0.0,1.0,10000.0,,,
Ahilyanagar,2013,Pathardi,291.0,17751.0,3088000.0,9000.0,2.0,30000.0,,,
Ahilyanagar,2013,Nagar,232.0,14152.0,1580000.0,4000.0,3.0,120000.0,,,
Ahilyanagar,2013,Rahuri,193.0,11773.0,5789000.0,16000.0,0.0,0.0,,,
Ahilyanagar,2013,Parner,317.0,19337.0,4290000.0,12000.0,2.0,20000.0,,,
Ahilyanagar,2013,Srigonda,187.0,11407.0,4409000.0,12000.0,1.0,20000.0,,,
Ahilyanagar,2013,Karjat,484.0,29524.0,0.0,0.0,2.0,30000.0,,,
Ahilyanagar,2013,Jamkhed,128.0,8708.0,902000.0,2000.0,1.0,20000.0,,,
Ahilyanagar,2014,Akole,192.0,11712.0,22365000.0,61000.0,2.0,60000.0,,,
Ahilyanagar,2014,Sangamner,257.0,15677.0,92463000.0,253000.0,1.0,300000.0,,,
Ahilyanagar,2014,Kopargaon,132.0,8052.0,17566000.0,48000.0,1.0,100000.0,,,
Ahilyanagar,2014,Rahata,102.0,6222.0,2046000.0,6000.0,1.0,115000.0,,,
Ahilyanagar,2014,Srirampur,65.0,3965.0,1770000.0,5000.0,1.0,10000.0,,,
Ahilyanagar,2014,Nevasa,68.0,4148.0,22428000.0,61000.0,1.0,40000.0,,,
Ahilyanagar,2014,Shevgaon,49.0,2989.0,1564000.0,4000.0,1.0,10000.0,,,
Ahilyanagar,2014,Pathardi,47.0,2867.0,3976000.0,11000.0,1.0,10000.0,,,
Ahilyanagar,2014,Nagar,181.0,8941.0,1678000.0,5000.0,1.0,100000.0,,,
Ahilyanagar,2014,Rahuri,188.0,9028.0,8746000.0,24000.0,1.0,30000.0,,,
Ahilyanagar,2014,Parner,72.0,3782.0,4371000.0,12000.0,0.0,0.0,,,
Ahilyanagar,2014,Srigonda,63.0,3233.0,5445000.0,15000.0,1.0,10000.0,,,
Ahilyanagar,2014,Karjat,45.0,2623.0,15000.0,0.0,0.0,0.0,,,
Ahilyanagar,2014,Jamkhed,46.0,2806.0,1784000.0,5000.0,0.0,0.0,,,
Ahilyanagar,2015,Akole,144.0,7488.0,22162000.0,61000.0,2.0,60000.0,,,
Ahilyanagar,2015,Sangamner,213.0,11076.0,106072000.0,291000.0,1.0,300000.0,,,
Ahilyanagar,2015,Kopargaon,116.0,6032.0,26682000.0,73000.0,1.0,100000.0,,,
Ahilyanagar,2015,Rahata,84.0,4368.0,21376000.0,59000.0,1.0,115000.0,,,
Ahilyanagar,2015,Srirampur,34.0,1768.0,2132000.0,6000.0,1.0,10000.0,,,
Ahilyanagar,2015,Nevasa,30.0,1560.0,8305000.0,23000.0,1.0,40000.0,,,
Ahilyanagar,2015,Shevgaon,33.0,1716.0,3398000.0,9000.0,1.0,10000.0,,,
Ahilyanagar,2015,Pathardi,33.0,1716.0,2644000.0,7000.0,1.0,10000.0,,,
Ahilyanagar,2015,Nagar,48.0,2496.0,963000.0,3000.0,1.0,100000.0,,,
Ahilyanagar,2015,Rahuri,38.0,1976.0,6729000.0,18000.0,1.0,30000.0,,,
Ahilyanagar,2015,Parner,50.0,2600.0,4660000.0,13000.0,0.0,0.0,,,
Ahilyanagar,2015,Srigonda,38.0,1976.0,4138000.0,11000.0,1.0,10000.0,,,
Ahilyanagar,2015,Karjat,48.0,2496.0,695000.0,2000.0,0.0,0.0,,,
Ahilyanagar,2015,Jamkhed,30.0,1560.0,1597000.0,4000.0,0.0,0.0,,,
Ahilyanagar,2016,Akole,148.0,9028.0,19155000.0,52000.0,2.0,60000.0,,,
Ahilyanagar,2016,Sangamner,213.0,12993.0,94645000.0,259000.0,1.0,300000.0,,,
Ahilyanagar,2016,Kopargaon,117.0,7137.0,18704000.0,51000.0,1.0,100000.0,,,
Ahilyanagar,2016,Rahata,86.0,5246.0,15788000.0,43000.0,1.0,115000.0,,,
Ahilyanagar,2016,Srirampur,33.0,2013.0,1893000.0,5000.0,1.0,10000.0,,,
Ahilyanagar,2016,Nevasa,30.0,1830.0,7428000.0,20000.0,1.0,40000.0,,,
Ahilyanagar,2016,Shevgaon,33.0,2013.0,1593000.0,4000.0,1.0,10000.0,,,
Ahilyanagar,2016,Pathardi,31.0,1891.0,2349000.0,6000.0,1.0,10000.0,,,
Ahilyanagar,2016,Nagar,47.0,2867.0,668000.0,1000.0,1.0,100000.0,,,
Ahilyanagar,2016,Rahuri,37.0,2257.0,5977000.0,16000.0,1.0,30000.0,,,
Ahilyanagar,2016,Parner,50.0,3721.0,5878000.0,16000.0,0.0,0.0,,,
Ahilyanagar,2016,Srigonda,39.0,2379.0,3026000.0,8000.0,1.0,10000.0,,,
Ahilyanagar,2016,Karjat,48.0,2928.0,1438000.0,4000.0,0.0,0.0,,,
Ahilyanagar,2016,Jamkhed,30.0,1830.0,1612000.0,4000.0,0.0,0.0,,,
Ahilyanagar,2017,Akole,138.0,7038.0,19963000.0,53000.0,2.0,60000.0,,,
Ahilyanagar,2017,Sangamner,216.0,11016.0,106231000.0,291000.0,1.0,300000.0,,,
Ahilyanagar,2017,Kopargaon,113.0,5763.0,24510000.0,67000.0,1.0,100000.0,,,
Ahilyanagar,2017,Rahata,84.0,4284.0,15058000.0,41000.0,1.0,115000.0,,,
Ahilyanagar,2017,Srirampur,28.0,1428.0,1749000.0,8000.0,1.0,10000.0,,,
Ahilyanagar,2017,Nevasa,28.0,1428.0,9132000.0,25000.0,1.0,40000.0,,,
Ahilyanagar,2017,Shevgaon,27.0,1377.0,1116000.0,3000.0,1.0,10000.0,,,
Ahilyanagar,2017,Pathardi,27.0,1377.0,2020000.0,5000.0,1.0,10000.0,,,
Ahilyanagar,2017,Nagar,39.0,1989.0,909000.0,2000.0,1.0,10000.0,,,
Ahilyanagar,2017,Rahuri,34.0,1734.0,4884000.0,13000.0,1.0,30000.0,,,
Ahilyanagar,2017,Parner,45.0,2295.0,9995000.0,27000.0,0.0,0.0,,,
Ahilyanagar,2017,Srigonda,35.0,1785.0,3270000.0,9000.0,1.0,10000.0,,,
Ahilyanagar,2017,Karjat,46.0,2346.0,1315000.0,4000.0,0.0,0.0,,,
Ahilyanagar,2017,Jamkhed,19.0,969.0,1142000.0,3000.0,0.0,0.0,,,
Ahilyanagar,2018,Akole,137.0,8357.0,20146000.0,55000.0,2.0,60000.0,,,
Ahilyanagar,2018,Sangamner,218.0,13298.0,120195000.0,329000.0,1.0,300000.0,,,
Ahilyanagar,2018,Kopargaon,111.0,6771.0,51425000.0,141000.0,1.0,100000.0,,,
Ahilyanagar,2018,Rahata,83.0,5063.0,12715000.0,35000.0,2.0,155000.0,,,
Ahilyanagar,2018,Srirampur,28.0,1708.0,600000.0,1000.0,1.0,10000.0,,,
Ahilyanagar,2018,Nevasa,28.0,4708.0,5547000.0,15000.0,1.0,50000.0,,,
Ahilyanagar,2018,Shevgaon,28.0,1708.0,0.0,0.0,1.0,10000.0,,,
Ahilyanagar,2018,Pathardi,32.0,1952.0,2513000.0,7000.0,2.0,30000.0,,,
