District,Year,Taluka,Length of Rivers,"Number of Lakes, Ponds or Reservoirs Suitable for Fishing",Area Suitable for Fishing,Area Used for Commercial Fisheries,Groundwater Fish Production,Price Received by Producers for Fish Caught,Fish Seeds Used,Fish Business Cooperatives,Members in Fish Business Cooperatives
Ahilyanagar,2012,Akole,55.0,12.0,1371.0,1086.0,200.0,8000000.0,800000.0,4.0,300.0
Ahilyanagar,2012,Sangamner,58.0,8.0,149.0,87.0,220.0,8800000.0,900000.0,5.0,351.0
Ahilyanagar,2012,Kopargaon,24.0,0.0,0.0,0.0,10.0,400000.0,0.0,2.0,85.0
Ahilyanagar,2012,Rahata,8.0,9.0,31.0,31.0,90.0,1800000.0,400000.0,1.0,53.0
Ahilyanagar,2012,Srirampur,64.0,1.0,124.0,93.0,77.0,1540000.0,500000.0,4.0,263.0
Ahilyanagar,2012,Nevasa,62.0,0.0,0.0,0.0,10.0,2000000.0,0.0,6.0,404.0
Ahilyanagar,2012,Shevgaon,32.0,0.0,0.0,0.0,14.0,2800000.0,0.0,5.0,188.0
Ahilyanagar,2012,Pathardi,52.0,7.0,372.0,37.0,110.0,4400000.0,200000.0,4.0,174.0
Ahilyanagar,2012,Nagar,28.0,10.0,567.0,346.0,150.0,6000000.0,100000.0,5.0,230.0
Ahilyanagar,2012,Rahuri,48.0,3.0,3583.0,3563.0,90.0,3600000.0,600000.0,3.0,378.0
Ahilyanagar,2012,Parner,50.0,10.0,447.0,297.0,100.0,4000000.0,300000.0,7.0,362.0
Ahilyanagar,2012,Srigonda,58.0,8.0,2573.0,2504.0,40.0,1600000.0,800000.0,13.0,866.0
Ahilyanagar,2012,Karjat,48.0,9.0,1440.0,1175.0,19.0,760000.0,300000.0,10.0,413.0
Ahilyanagar,2012,Jamkhed,0.0,11.0,618.0,618.0,70.0,2800000.0,300000.0,7.0,477.0
Ahilyanagar,2013,Akole,55.0,12.0,1371.0,1371.0,218.0,10900000.0,700000.0,4.0,300.0
Ahilyanagar,2013,Sangamner,58.0,8.0,149.0,116.0,30.0,1500000.0,300000.0,5.0,351.0
Ahilyanagar,2013,Kopargaon,24.0,0.0,0.0,0.0,2.0,100000.0,0.0,2.0,85.0
Ahilyanagar,2013,Rahata,8.0,9.0,31.0,30.0,25.0,1250000.0,0.0,1.0,51.0
Ahilyanagar,2013,Srirampur,64.0,1.0,124.0,96.0,24.0,1200000.0,100000.0,4.0,263.0
Ahilyanagar,2013,Nevasa,62.0,0.0,0.0,0.0,5.0,250000.0,0.0,6.0,404.0
Ahilyanagar,2013,Shevgaon,32.0,0.0,0.0,0.0,5.0,250000.0,0.0,6.0,188.0
Ahilyanagar,2013,Pathardi,52.0,7.0,372.0,343.0,114.0,5700000.0,700000.0,5.0,220.0
Ahilyanagar,2013,Nagar,28.0,10.0,567.0,346.0,115.0,5750000.0,800000.0,5.0,227.0
Ahilyanagar,2013,Rahuri,48.0,3.0,3583.0,3563.0,219.0,10950000.0,1600000.0,4.0,828.0
Ahilyanagar,2013,Parner,50.0,10.0,447.0,297.0,265.0,13250000.0,1000000.0,7.0,362.0
Ahilyanagar,2013,Srigonda,58.0,8.0,2573.0,2573.0,530.0,26500000.0,1500000.0,13.0,868.0
Ahilyanagar,2013,Karjat,48.0,9.0,1440.0,1406.0,360.0,18000000.0,900000.0,10.0,413.0
Ahilyanagar,2013,Jamkhed,0.0,11.0,618.0,597.0,253.0,12650000.0,600000.0,7.0,477.0
Ahilyanagar,2014,Akole,55.0,12.0,1371.0,1371.0,95.0,4750000.0,1350000.0,2.0,300.0
Ahilyanagar,2014,Sangamner,58.0,8.0,149.0,116.0,56.0,2800000.0,210000.0,3.0,351.0
Ahilyanagar,2014,Kopargaon,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,85.0
Ahilyanagar,2014,Rahata,8.0,9.0,31.0,30.0,0.0,0.0,0.0,1.0,51.0
Ahilyanagar,2014,Srirampur,64.0,1.0,124.0,96.0,30.0,1500000.0,100000.0,4.0,263.0
Ahilyanagar,2014,Nevasa,62.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,404.0
Ahilyanagar,2014,Shevgaon,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,188.0
Ahilyanagar,2014,Pathardi,52.0,7.0,372.0,343.0,124.86,6243000.0,1019999.9999999999,2.0,220.0
Ahilyanagar,2014,Nagar,28.0,10.0,567.0,346.0,204.0,10200000.0,650000.0,2.0,227.0
Ahilyanagar,2014,Rahuri,48.0,3.0,3583.0,3563.0,36.0,1800000.0,150000.0,4.0,828.0
Ahilyanagar,2014,Parner,50.0,10.0,447.0,297.0,348.0,17400000.0,964000.0,7.0,362.0
Ahilyanagar,2014,Srigonda,58.0,8.0,2573.0,2573.0,608.0,30400000.0,2106000.0,8.0,868.0
Ahilyanagar,2014,Karjat,48.0,9.0,1440.0,1406.0,377.0,18850000.0,1000000.0,4.0,413.0
Ahilyanagar,2014,Jamkhed,0.0,11.0,618.0,597.0,341.0,17050000.0,1150000.0,6.0,477.0
Ahilyanagar,2015,Akole,55.0,12.0,1371.0,1371.0,114.0,5700000.0,800000.0,4.0,300.0
Ahilyanagar,2015,Sangamner,58.0,8.0,149.0,116.0,36.0,1800000.0,300000.0,5.0,351.0
Ahilyanagar,2015,Kopargaon,24.0,0.0,0.0,0.0,14.0,700000.0,0.0,2.0,85.0
Ahilyanagar,2015,Rahata,8.0,9.0,31.0,30.0,15.0,750000.0,0.0,1.0,51.0
Ahilyanagar,2015,Srirampur,64.0,1.0,124.0,96.0,30.0,1500000.0,0.0,4.0,263.0
Ahilyanagar,2015,Nevasa,62.0,0.0,0.0,0.0,14.0,700000.0,0.0,6.0,404.0
Ahilyanagar,2015,Shevgaon,32.0,0.0,0.0,0.0,10.0,500000.0,0.0,6.0,188.0
Ahilyanagar,2015,Pathardi,52.0,7.0,372.0,343.0,142.0,7100000.0,400000.0,5.0,220.0
Ahilyanagar,2015,Nagar,28.0,10.0,567.0,346.0,122.0,6100000.0,500000.0,5.0,227.0
Ahilyanagar,2015,Rahuri,48.0,3.0,3583.0,3563.0,45.0,2250000.0,500000.0,4.0,828.0
Ahilyanagar,2015,Parner,50.0,10.0,447.0,297.0,174.0,8700000.0,900000.0,7.0,362.0
Ahilyanagar,2015,Srigonda,58.0,8.0,2573.0,2573.0,180.0,9000000.0,800000.0,13.0,868.0
Ahilyanagar,2015,Karjat,48.0,9.0,1440.0,1406.0,156.0,7800000.0,400000.0,10.0,413.0
Ahilyanagar,2015,Jamkhed,0.0,11.0,618.0,597.0,187.0,9350000.0,400000.0,7.0,477.0
Ahilyanagar,2016,Akole,55.0,12.0,1371.0,1371.0,115.0,3450000.0,1500000.0,2.0,145.0
Ahilyanagar,2016,Sangamner,58.0,8.0,149.0,116.0,103.0,3090000.0,1000000.0,0.0,0.0
Ahilyanagar,2016,Kopargaon,24.0,0.0,0.0,0.0,4.0,120000.0,0.0,1.0,25.0
Ahilyanagar,2016,Rahata,8.0,9.0,31.0,30.0,34.0,1019999.9999999999,200000.0,0.0,0.0
Ahilyanagar,2016,Srirampur,64.0,1.0,124.0,96.0,57.0,1710000.0000000002,200000.0,0.0,0.0
Ahilyanagar,2016,Nevasa,62.0,0.0,0.0,0.0,72.0,2160000.0,0.0,1.0,201.0
Ahilyanagar,2016,Shevgaon,32.0,0.0,0.0,0.0,20.0,600000.0,100000.0,1.0,72.0
Ahilyanagar,2016,Pathardi,52.0,7.0,372.0,343.0,182.0,5460000.0,1000000.0,4.0,153.0
Ahilyanagar,2016,Nagar,28.0,10.0,567.0,346.0,25.0,750000.0,800000.0,2.0,100.0
Ahilyanagar,2016,Rahuri,48.0,3.0,3583.0,3563.0,114.0,3420000.0000000005,300000.0,3.0,828.0
Ahilyanagar,2016,Parner,50.0,10.0,447.0,297.0,129.0,3870000.0000000005,1500000.0,4.0,220.0
Ahilyanagar,2016,Srigonda,58.0,8.0,2573.0,2573.0,262.0,7859999.999999999,1000000.0,8.0,510.0
Ahilyanagar,2016,Karjat,48.0,9.0,1440.0,1406.0,141.0,4230000.0,900000.0,8.0,364.0
Ahilyanagar,2016,Jamkhed,0.0,11.0,618.0,597.0,121.0,3629999.9999999995,1200000.0,6.0,335.0
Ahilyanagar,2017,Akole,55.0,12.0,1371.0,1371.0,123.0,7380000.0,1000000.0,2.0,145.0
Ahilyanagar,2017,Sangamner,58.0,8.0,149.0,116.0,109.0,6540000.000000001,900000.0,0.0,0.0
Ahilyanagar,2017,Kopargaon,24.0,0.0,0.0,0.0,6.0,360000.0,0.0,1.0,25.0
Ahilyanagar,2017,Rahata,8.0,9.0,31.0,30.0,38.0,2280000.0,200000.0,0.0,0.0
Ahilyanagar,2017,Srirampur,64.0,1.0,124.0,96.0,60.0,3600000.0,200000.0,0.0,0.0
Ahilyanagar,2017,Nevasa,62.0,0.0,0.0,0.0,74.0,4440000.0,0.0,1.0,201.0
Ahilyanagar,2017,Shevgaon,32.0,0.0,0.0,0.0,22.0,1320000.0,100000.0,1.0,72.0
Ahilyanagar,2017,Pathardi,52.0,7.0,372.0,343.0,188.0,11280000.0,700000.0,4.0,153.0
Ahilyanagar,2017,Nagar,28.0,10.0,567.0,346.0,30.0,1800000.0,800000.0,3.0,150.0
Ahilyanagar,2017,Rahuri,48.0,3.0,3583.0,3563.0,330.0,19800000.0,1800000.0,3.0,828.0
Ahilyanagar,2017,Parner,50.0,10.0,447.0,297.0,142.0,8520000.0,700000.0,4.0,220.0
Ahilyanagar,2017,Srigonda,58.0,8.0,2573.0,2573.0,312.0,18720000.0,1400000.0,8.0,510.0
Ahilyanagar,2017,Karjat,48.0,9.0,1440.0,1406.0,216.0,12960000.0,1100000.0,8.0,364.0
Ahilyanagar,2017,Jamkhed,0.0,11.0,618.0,597.0,141.0,8460000.0,1100000.0,6.0,335.0
Ahilyanagar,2018,Akole,55.0,12.0,1371.0,1371.0,130.0,3900000.0,800000.0,2.0,145.0
Ahilyanagar,2018,Sangamner,58.0,8.0,149.0,116.0,120.0,3600000.0,500000.0,0.0,0.0
Ahilyanagar,2018,Kopargaon,24.0,0.0,0.0,0.0,10.0,300000.0,0.0,1.0,25.0
Ahilyanagar,2018,Rahata,8.0,9.0,31.0,30.0,40.0,1200000.0,200000.0,0.0,0.0
Ahilyanagar,2018,Srirampur,64.0,1.0,124.0,96.0,75.0,2250000.0,200000.0,0.0,0.0
Ahilyanagar,2018,Nevasa,62.0,0.0,0.0,0.0,75.0,2250000.0,0.0,0.0,0.0
Ahilyanagar,2018,Shevgaon,32.0,0.0,0.0,0.0,20.0,600000.0,100000.0,1.0,70.0
Ahilyanagar,2018,Pathardi,52.0,7.0,372.0,343.0,190.0,5700000.0,400000.0,4.0,153.0
Ahilyanagar,2018,Nagar,28.0,10.0,567.0,346.0,50.0,1500000.0,500000.0,3.0,150.0
Ahilyanagar,2018,Rahuri,48.0,3.0,3583.0,3563.0,350.0,10500000.0,1100000.0,3.0,828.0
Ahilyanagar,2018,Parner,50.0,10.0,447.0,297.0,150.0,4500000.0,500000.0,4.0,220.0
Ahilyanagar,2018,Srigonda,58.0,8.0,2573.0,2573.0,350.0,10500000.0,1200000.0,8.0,510.0
Ahilyanagar,2018,Karjat,48.0,9.0,1440.0,1406.0,230.0,6900000.0,1000000.0,8.0,364.0
Ahilyanagar,2018,Jamkhed,0.0,11.0,618.0,597.0,150.0,4500000.0,1000000.0,6.0,335.0
Ahilyanagar,2019,Akole,55.0,11.0,390.0,237.0,227.0,6809999.999999999,1000000.0,2.0,145.0
Ahilyanagar,2019,Sangamner,58.0,8.0,149.0,116.0,190.0,5700000.0,900000.0,1.0,26.0
Ahilyanagar,2019,Kopargaon,24.0,0.0,0.0,0.0,22.0,660000.0,0.0,1.0,25.0
Ahilyanagar,2019,Rahata,8.0,0.0,0.0,0.0,14.0,420000.0,0.0,0.0,0.0
Ahilyanagar,2019,Srirampur,64.0,2.0,124.0,98.0,205.0,6150000.0,500000.0,0.0,0.0
Ahilyanagar,2019,Nevasa,62.0,0.0,0.0,0.0,23.0,690000.0,0.0,1.0,75.0
Ahilyanagar,2019,Shevgaon,32.0,0.0,0.0,0.0,27.0,810000.0,0.0,1.0,72.0
Ahilyanagar,2019,Pathardi,52.0,7.0,373.0,343.0,144.0,4320000.0,600000.0,4.0,153.0
Ahilyanagar,2019,Nagar,28.0,10.0,568.0,346.0,185.0,5550000.0,500000.0,3.0,175.0
Ahilyanagar,2019,Rahuri,48.0,3.0,3584.0,3563.0,443.0,13290000.0,1700000.0,3.0,822.0
Ahilyanagar,2019,Parner,50.0,11.0,497.0,297.0,257.0,7709999.999999999,800000.0,4.0,220.0
Ahilyanagar,2019,Srigonda,58.0,8.0,3074.0,3000.0,476.0,14280000.000000002,1400000.0,8.0,510.0
Ahilyanagar,2019,Karjat,48.0,9.0,1440.0,1404.0,325.0,9750000.0,1000000.0,8.0,364.0
Ahilyanagar,2019,Jamkhed,0.0,11.0,466.0,466.0,192.0,5760000.0,800000.0,6.0,335.0
Ahilyanagar,2020,Akole,55.0,12.0,500.0,350.0,245.0,7350000.0,1000000.0,2.0,145.0
Ahilyanagar,2020,Sangamner,58.0,8.0,149.0,116.0,135.0,4050000.0,600000.0,1.0,26.0
Ahilyanagar,2020,Kopargaon,24.0,0.0,0.0,0.0,25.0,750000.0,100000.0,1.0,25.0
Ahilyanagar,2020,Rahata,8.0,0.0,0.0,0.0,15.0,450000.0,100000.0,0.0,0.0
Ahilyanagar,2020,Srirampur,64.0,2.0,124.0,124.0,225.0,6750000.0,500000.0,1.0,30.0
