District,Year,Hybrid Cows,Native Cows,Buffalo
Ahilyanagar,2012.0,136746.0,14433.0,24834.0
Ahilyanagar,2013.0,140938.0,4396.0,26460.0
Ahilyanagar,2014.0,160472.0,8203.0,27425.0
Ahilyanagar,2015.0,143839.0,10270.0,26073.0
Ahilyanagar,2016.0,133604.0,12754.0,23359.0
Ahilyanagar,2017.0,143870.0,18239.0,25239.0
Ahilyanagar,2018.0,299555.0,88449.0,76772.0
Ahilyanagar,2019.0,299555.0,88449.0,76772.0
Ahilyanagar,2020.0,299555.0,88449.0,76772.0
Ahilyanagar,2021.0,447574.0,20645.0,38692.0
Akola,2012.0,4146.0,26.0,9799.0
Akola,2013.0,3779.0,46.0,9855.0
Akola,2014.0,4238.0,4416.0,9635.0
Akola,2015.0,4277.0,5106.0,9103.0
Akola,2016.0,7286.0,9249.0,12714.0
Akola,2017.0,4125.0,5356.0,18916.0
Akola,2018.0,4083.0,38708.0,20946.0
Akola,2019.0,4083.0,38708.0,20946.0
Akola,2020.0,4083.0,38708.0,20946.0
Akola,2021.0,2335.0,3994.0,11160.0
Amravati,2012.0,6144.0,2169.0,6049.0
Amravati,2013.0,6647.0,3305.0,6556.0
Amravati,2014.0,7181.0,3954.0,7060.0
Amravati,2015.0,12225.0,6822.0,10715.0
Amravati,2016.0,12210.0,7918.0,10946.0
Amravati,2017.0,12531.0,14013.0,10704.0
Amravati,2018.0,13841.0,77004.0,45333.0
Amravati,2019.0,13841.0,77004.0,45333.0
Amravati,2020.0,13841.0,77004.0,45333.0
Amravati,2021.0,10429.0,6336.0,10139.0
Chh. Sambhaji Nagar,2017.0,28170.0,2110.0,6305.0
Chh. Sambhaji Nagar,2018.0,52305.0,52225.0,35812.0
Chh. Sambhaji Nagar,2019.0,53933.0,88405.0,50874.0
Chh. Sambhaji Nagar,2020.0,53933.0,88405.0,50874.0
Chh. Sambhaji Nagar,2021.0,59476.0,5927.0,19330.0
Beed,2013.0,23539.0,4380.0,18964.0
Beed,2014.0,29312.0,6178.0,20737.0
Beed,2015.0,27089.0,7651.0,19944.0
Beed,2016.0,25945.0,9506.0,20631.0
Beed,2017.0,27757.0,12006.0,21136.0
Beed,2018.0,38017.0,47452.0,119635.0
Beed,2019.0,38017.0,47452.0,119635.0
Beed,2020.0,38017.0,47452.0,119635.0
Beed,2021.0,42756.0,8024.0,31740.0
Bhandara,2012.0,25237.0,32.0,4472.0
Bhandara,2013.0,32069.0,53.0,6232.0
Bhandara,2014.0,36604.0,258.0,7268.0
Bhandara,2015.0,39269.0,568.0,6979.0
Bhandara,2016.0,44356.0,1916.0,8498.0
Bhandara,2017.0,46654.0,8498.0,7052.0
Bhandara,2018.0,20548.0,13884.0,22995.0
Bhandara,2019.0,20548.0,13884.0,22995.0
Bhandara,2020.0,20548.0,13884.0,22995.0
Bhandara,2021.0,33646.0,371.0,6012.0
Buldhana,2013.0,11416.0,0.0,15527.0
Buldhana,2014.0,12120.0,1996.0,17078.0
Buldhana,2015.0,12418.0,4129.0,15374.0
Buldhana,2016.0,11488.0,3299.0,16299.0
Buldhana,2017.0,12118.0,9154.0,16909.0
Buldhana,2018.0,15028.0,57599.0,45360.0
Buldhana,2019.0,15028.0,57599.0,45360.0
