District,Year,Taluka,Veterinary Hospitals,Veterinary First-Aid Centres,Other Veterinary Facilities,Total Veterinary Facilities
Ahilyanagar,2011,Akole,1,18,,
Ahilyanagar,2011,Sangamner,0,15,,
Ahilyanagar,2011,Kopargaon,1,7,,
Ahilyanagar,2011,Rahata,1,9,,
Ahilyanagar,2011,Srirampur,1,6,,
Ahilyanagar,2011,Nevasa,0,9,,
Ahilyanagar,2011,Shevgaon,0,11,,
Ahilyanagar,2011,Pathardi,0,11,,
Ahilyanagar,2011,Nagar,1,15,,
Ahilyanagar,2011,Rahuri,1,8,,
Ahilyanagar,2011,Parner,1,12,,
Ahilyanagar,2011,Srigonda,0,12,,
Ahilyanagar,2011,Karjat,0,9,,
Ahilyanagar,2011,Jamkhed,0,8,,
Ahilyanagar,2012,Akole,1,18,,
Ahilyanagar,2012,Sangamner,0,15,,
Ahilyanagar,2012,Kopargaon,1,7,,
Ahilyanagar,2012,Rahata,1,7,,
Ahilyanagar,2012,Srirampur,1,6,,
Ahilyanagar,2012,Nevasa,0,8,,
Ahilyanagar,2012,Shevgaon,0,9,,
Ahilyanagar,2012,Pathardi,0,10,,
Ahilyanagar,2012,Nagar,1,14,,
Ahilyanagar,2012,Rahuri,1,8,,
Ahilyanagar,2012,Parner,1,9,,
Ahilyanagar,2012,Srigonda,0,12,,
Ahilyanagar,2012,Karjat,0,8,,
Ahilyanagar,2012,Jamkhed,0,7,,
Ahilyanagar,2013,Akole,1,18,,
Ahilyanagar,2013,Sangamner,0,15,,
Ahilyanagar,2013,Kopargaon,1,6,,
Ahilyanagar,2013,Rahata,1,7,,
Ahilyanagar,2013,Srirampur,1,6,,
Ahilyanagar,2013,Nevasa,0,8,,
Ahilyanagar,2013,Shevgaon,0,9,,
Ahilyanagar,2013,Pathardi,0,10,,
Ahilyanagar,2013,Nagar,1,13,,
Ahilyanagar,2013,Rahuri,1,8,,
Ahilyanagar,2013,Parner,1,9,,
Ahilyanagar,2013,Srigonda,0,11,,
Ahilyanagar,2013,Karjat,0,8,,
Ahilyanagar,2013,Jamkhed,0,7,,
Ahilyanagar,2014,Akole,0,27,,
Ahilyanagar,2014,Sangamner,0,24,,
Ahilyanagar,2014,Kopargaon,0,10,,
Ahilyanagar,2014,Rahata,0,15,,
Ahilyanagar,2014,Srirampur,0,9,,
Ahilyanagar,2014,Nevasa,0,15,,
Ahilyanagar,2014,Shevgaon,0,16,,
Ahilyanagar,2014,Pathardi,0,16,,
Ahilyanagar,2014,Nagar,0,20,,
Ahilyanagar,2014,Rahuri,0,15,,
Ahilyanagar,2014,Parner,0,19,,
Ahilyanagar,2014,Srigonda,0,17,,
Ahilyanagar,2014,Karjat,0,12,,
Ahilyanagar,2014,Jamkhed,0,11,,
Ahilyanagar,2015,Akole,1,27,,
Ahilyanagar,2015,Sangamner,0,24,,
Ahilyanagar,2015,Kopargaon,1,10,,
Ahilyanagar,2015,Rahata,1,15,,
Ahilyanagar,2015,Srirampur,1,9,,
Ahilyanagar,2015,Nevasa,0,15,,
Ahilyanagar,2015,Shevgaon,0,16,,
Ahilyanagar,2015,Pathardi,0,16,,
Ahilyanagar,2015,Nagar,1,20,,
Ahilyanagar,2015,Rahuri,1,15,,
Ahilyanagar,2015,Parner,1,19,,
Ahilyanagar,2015,Srigonda,0,17,,
Ahilyanagar,2015,Karjat,0,12,,
Ahilyanagar,2015,Jamkhed,0,11,,
Ahilyanagar,2016,Akole,1,27,,
Ahilyanagar,2016,Sangamner,0,24,,
Ahilyanagar,2016,Kopargaon,1,10,,
Ahilyanagar,2016,Rahata,1,15,,
Ahilyanagar,2016,Srirampur,1,9,,
Ahilyanagar,2016,Nevasa,0,15,,
Ahilyanagar,2016,Shevgaon,0,16,,
Ahilyanagar,2016,Pathardi,0,16,,
Ahilyanagar,2016,Nagar,1,20,,
Ahilyanagar,2016,Rahuri,1,15,,
Ahilyanagar,2016,Parner,1,19,,
Ahilyanagar,2016,Srigonda,0,17,,
Ahilyanagar,2016,Karjat,0,12,,
Ahilyanagar,2016,Jamkhed,0,11,,
Ahilyanagar,2017,Akole,1,27,,
Ahilyanagar,2017,Sangamner,0,24,,
Ahilyanagar,2017,Kopargaon,1,10,,
Ahilyanagar,2017,Rahata,1,15,,
Ahilyanagar,2017,Srirampur,1,9,,
Ahilyanagar,2017,Nevasa,0,15,,
Ahilyanagar,2017,Shevgaon,0,16,,
Ahilyanagar,2017,Pathardi,0,16,,
Ahilyanagar,2017,Nagar,1,20,,
Ahilyanagar,2017,Rahuri,1,15,,
Ahilyanagar,2017,Parner,1,19,,
Ahilyanagar,2017,Srigonda,0,17,,
Ahilyanagar,2017,Karjat,0,12,,
Ahilyanagar,2017,Jamkhed,0,11,,
Ahilyanagar,2018,Akole,1,18,1,30
Ahilyanagar,2018,Sangamner,0,15,0,24
Ahilyanagar,2018,Kopargaon,1,7,0,11
Ahilyanagar,2018,Rahata,1,7,0,15
Ahilyanagar,2018,Srirampur,1,6,0,10
Ahilyanagar,2018,Nevasa,0,8,0,14
Ahilyanagar,2018,Shevgaon,0,9,0,14
Ahilyanagar,2018,Pathardi,0,10,0,15
Ahilyanagar,2018,Nagar,1,14,0,20
Ahilyanagar,2018,Rahuri,1,8,0,16
Ahilyanagar,2018,Parner,1,9,0,17
Ahilyanagar,2018,Srigonda,0,12,0,17
Ahilyanagar,2018,Karjat,0,8,0,11
Ahilyanagar,2018,Jamkhed,0,7,0,10
Ahilyanagar,2019,Akole,1,18,1,30
Ahilyanagar,2019,Sangamner,0,15,0,24
Ahilyanagar,2019,Kopargaon,1,7,0,11
Ahilyanagar,2019,Rahata,1,7,0,15
Ahilyanagar,2019,Srirampur,1,6,0,10
Ahilyanagar,2019,Nevasa,0,8,0,14
Ahilyanagar,2019,Shevgaon,0,9,0,14
Ahilyanagar,2019,Pathardi,0,10,0,15
Ahilyanagar,2019,Nagar,1,14,0,20
Ahilyanagar,2019,Rahuri,1,8,0,16
