District,Year,Type of Court,Regular,Miscellaneous,All Appeal Cases
Ahilyanagar,2006,Civil Court,3875.0,855.0,473.0
Ahilyanagar,2006,Consumer Forum,,,
Ahilyanagar,2006,Criminal Court,459.0,2257.0,2716.0
Ahilyanagar,2006,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2006,Family Court,,,
Ahilyanagar,2006,Industrial Court,14.0,4.0,144.0
Ahilyanagar,2006,Labor Court,544.0,,544.0
Ahilyanagar,2006,Public Court,,,
Ahilyanagar,2008,Civil Court,167.0,1142.0,139.0
Ahilyanagar,2008,Consumer Forum,,,
Ahilyanagar,2008,Criminal Court,1162.0,159.0,2752.0
Ahilyanagar,2008,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2008,Family Court,,,
Ahilyanagar,2008,Industrial Court,139.0,7.0,146.0
Ahilyanagar,2008,Labor Court,,,
Ahilyanagar,2008,Public Court,,,
Ahilyanagar,2009,Civil Court,2119.0,99.0,328.0
Ahilyanagar,2009,Consumer Forum,,,
Ahilyanagar,2009,Criminal Court,52.0,1333.0,6335.0
Ahilyanagar,2009,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2009,Family Court,,,
Ahilyanagar,2009,Industrial Court,12.0,11.0,23.0
Ahilyanagar,2009,Labor Court,,,
Ahilyanagar,2009,Public Court,,,
Ahilyanagar,2010,Civil Court,2193.0,934.0,3127.0
Ahilyanagar,2010,Consumer Forum,,,
Ahilyanagar,2010,Criminal Court,1179.0,3333.0,4512.0
Ahilyanagar,2010,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2010,Family Court,,,
Ahilyanagar,2010,Industrial Court,111.0,,111.0
Ahilyanagar,2010,Labor Court,,,
Ahilyanagar,2010,Public Court,,,
Ahilyanagar,2011,Civil Court,3459.0,1818.0,5277.0
Ahilyanagar,2011,Consumer Forum,,,
Ahilyanagar,2011,Criminal Court,1199.0,432.0,5519.0
Ahilyanagar,2011,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2011,Family Court,,,
Ahilyanagar,2011,Industrial Court,211.0,,211.0
Ahilyanagar,2011,Labor Court,,,
Ahilyanagar,2011,Public Court,,,
Ahilyanagar,2012,Civil Court,1255.0,2773.0,428.0
Ahilyanagar,2012,Consumer Forum,,,
Ahilyanagar,2012,Criminal Court,986.0,93.0,116.0
Ahilyanagar,2012,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2012,Family Court,,,
Ahilyanagar,2012,Industrial Court,29.0,,29.0
Ahilyanagar,2012,Labor Court,,,
Ahilyanagar,2012,Public Court,,,
Ahilyanagar,2013,Civil Court,958.0,2496.0,3454.0
Ahilyanagar,2013,Consumer Forum,,,
Ahilyanagar,2013,Criminal Court,1358.0,3322.0,468.0
Ahilyanagar,2013,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2013,"Family Court
",,,
Ahilyanagar,2013,Industrial Court,18.0,,18.0
Ahilyanagar,2013,Labor Court,,,
Ahilyanagar,2013,Public Court,,,
Ahilyanagar,2014,Civil Court,1167.0,2442.0,369.0
Ahilyanagar,2014,Consumer Forum,,,
Ahilyanagar,2014,Criminal Court,159.0,3518.0,4577.0
Ahilyanagar,2014,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2014,"Family Court
",,,
Ahilyanagar,2014,Industrial Court,47.0,,47.0
Ahilyanagar,2014,Labor Court,,,
Ahilyanagar,2014,Public Court,,,
Ahilyanagar,2015,Civil Court,968.0,2679.0,3647.0
Ahilyanagar,2015,Consumer Forum,,,
Ahilyanagar,2015,Criminal Court,897.0,368.0,4577.0
Ahilyanagar,2015,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2015,"Family Court
",,,
Ahilyanagar,2015,Industrial Court,15.0,,15.0
Ahilyanagar,2015,Labor Court,,,
Ahilyanagar,2015,Public Court,,,
Ahilyanagar,2016,Civil Court,162.0,34.0,4462.0
Ahilyanagar,2016,Consumer Forum,,,
Ahilyanagar,2016,Criminal Court,1414.0,3986.0,54.0
Ahilyanagar,2016,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2016,Family Court,,,
Ahilyanagar,2016,Industrial Court,65.0,,65.0
Ahilyanagar,2016,Labor Court,,,
Ahilyanagar,2016,Public Court,,,
Ahilyanagar,2017,Civil Court,162.0,34.0,
Ahilyanagar,2017,Consumer Forum,,,
Ahilyanagar,2017,Criminal Court,1414.0,3986.0,54.0
Ahilyanagar,2017,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2017,Family Court,,,
Ahilyanagar,2017,Industrial Court,65.0,,65.0
Ahilyanagar,2017,Labor Court,,,
Ahilyanagar,2017,Public Court,,,
Ahilyanagar,2018,Civil Court,162.0,34.0,4462.0
Ahilyanagar,2018,Consumer Forum,,,
Ahilyanagar,2018,Criminal Court,1414.0,3986.0,54.0
Ahilyanagar,2018,District Magistrate And Executive Magistrate,,,
Ahilyanagar,2018,"Family Court
",,,
Ahilyanagar,2018,Industrial Court,65.0,,65.0
Ahilyanagar,2018,Labor Court,,,
Ahilyanagar,2018,Public Court,,,
Ahilyanagar,2019,Civil Court,114.0,3275.0,4289.0
Ahilyanagar,2019,Consumer Forum,,,
Ahilyanagar,2019,Criminal Court,1856.0,5144.0,7.0
Ahilyanagar,2019,District Magistrate And Executive Magistrate,234.0,,234.0
Ahilyanagar,2019,"Family Court
",,,
Ahilyanagar,2019,Industrial Court,65.0,,65.0
Ahilyanagar,2019,Labor Court,,,
Ahilyanagar,2019,Public Court,,,
Ahilyanagar,2020,Civil Court,316.0,3351.0,3667.0
Ahilyanagar,2020,Consumer Forum,,,
Ahilyanagar,2020,Criminal Court,796.0,487.0,4883.0
Ahilyanagar,2020,District Magistrate And Executive Magistrate,234.0,,234.0
Ahilyanagar,2020,"Family Court
",,,
Ahilyanagar,2020,Industrial Court,6.0,,6.0
Ahilyanagar,2020,Labor Court,,,
Ahilyanagar,2020,Public Court,,,
Ahilyanagar,2021,Civil Court,555.0,1579.0,2134.0
Ahilyanagar,2021,Consumer Forum,,,
Ahilyanagar,2021,Criminal Court,164.0,5393.0,6457.0
Ahilyanagar,2021,District Magistrate And Executive Magistrate,234.0,,234.0
Ahilyanagar,2021,"Family Court
",,,
Ahilyanagar,2021,Industrial Court,74.0,,74.0
Ahilyanagar,2021,Labor Court,,,
Ahilyanagar,2021,Public Court,,,
Akola,2012,Civil Court,84.0,597.0,681.0
Akola,2012,Consumer Forum,,,
Akola,2012,Criminal Court,21.0,1126.0,1327.0
Akola,2012,District Magistrate And Executive Magistrate,,,
Akola,2012,Family Court,,,
Akola,2012,Industrial Court,,,
Akola,2012,Labor Court,,,
Akola,2012,Public Court,19.0,,19.0
Akola,2013,Civil Court,18.0,61.0,718.0
Akola,2013,Consumer Forum,,,
Akola,2013,Criminal Court,41.0,1697.0,1738.0
Akola,2013,District Magistrate And Executive Magistrate,,,
Akola,2013,"Family Court
",,,
Akola,2013,Industrial Court,91.0,,91.0
Akola,2013,Labor Court,1.0,2.0,12.0
Akola,2013,Public Court,19.0,,19.0
Akola,2014,Civil Court,583.0,38.0,891.0
Akola,2014,Consumer Forum,,,
Akola,2014,Criminal Court,615.0,1389.0,24.0
Akola,2014,District Magistrate And Executive Magistrate,,,
Akola,2014,"Family Court
",,,
Akola,2014,Industrial Court,,,
Akola,2014,Labor Court,81.0,1.0,82.0
Akola,2014,Public Court,53.0,,53.0
Akola,2015,Civil Court,247.0,847.0,194.0
Akola,2015,Consumer Forum,,,
Akola,2015,Criminal Court,165.0,1612.0,1777.0
Akola,2015,District Magistrate And Executive Magistrate,658.0,63.0,721.0
Akola,2015,"Family Court
",,,
Akola,2015,Industrial Court,153.0,,153.0
Akola,2015,Labor Court,2.0,,2.0
Akola,2015,Public Court,,,
Akola,2016,Civil Court,974.0,1949.0,2923.0
Akola,2016,Consumer Forum,,,
Akola,2016,Criminal Court,591.0,2146.0,2737.0
